Head,Program,Description,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
0,,"Default Value ( Non- Depart-
mental)",-,"2,596,600","- 2,596,600",-,417,0
,1002004610,"Environment Management and
Protection",-,-,-,-,417,0
,703004610,"Economic Policy and County
Planning",-,-,-,-,417,0
,701004610,"General Administration, Plan-
ning and Support Services",-,"2,096,600","- 2,096,600",-,417,0
,4610,Default - Non Programmatic,-,"500,000","- 500,000",-,417,0
4611000100,,"county Assembly Headquar-
ters","311,129,231","3,431,358","307,697,873",1.1,417,0
,725004610,,-,-,-,-,417,0
,704004610,Legislation and Representation,"311,129,231","3,431,358","307,697,873",1.1,417,0
,722004610,,-,-,-,-,417,0
,701004610,"General Administration, Plan-
ning and Support Services",-,-,-,-,417,0
4611000200,,Office of the Speaker,"13,460,000","2,579,700","10,880,300",19.2,417,0
,722004610,,-,-,-,-,417,0
,704004610,Legislation and Representation,"13,460,000","2,579,700","10,880,300",19.2,417,0
4611000300,,"County Assembly Adminis-
tration","403,394,425","1,935,730","401,458,695",0.5,417,0
,722004610,,-,-,-,-,417,0
,701004610,"General Administration, Plan-
ning and Support Services","403,394,425","1,935,730","401,458,695",0.5,417,0
4611000400,,County Legislature,"8,700,000",-,"8,700,000",-,417,0
,704004610,Legislation and Representation,"8,700,000",-,"8,700,000",-,417,0
4611000500,,Finance Management Services,"12,610,000","1,556,400","11,053,600",12.3,417,0
,722004610,,-,-,-,-,417,0
,702004610,Public Finance Management,-,-,-,-,417,0
,701004610,"General Administration, Plan-
ning and Support Services","12,610,000","1,556,400","11,053,600",12.3,418,0
4611000600,,Policy And Research,"6,600,544",-,"6,600,544",-,418,0
,704004610,Legislation and Representation,"6,600,544",-,"6,600,544",-,418,0
,724004610,,-,-,-,-,418,0
4611000700,,Administrative Services,"63,916,800","14,416,650","49,500,150",22.6,418,0
,701004610,"General Administration, Plan-
ning and Support Services","63,916,800","14,416,650","49,500,150",22.6,418,0
4611000800,,"County Assembly Service
Board","6,000,000","157,000","5,843,000",2.6,418,0
,704004610,Legislation and Representation,"6,000,000","157,000","5,843,000",2.6,418,0
,722004610,,-,-,-,-,418,0
4611000900,,"Procedure and Committee
Services","31,079,000","6,956,280","24,122,720",22.4,418,0
,701004610,"General Administration, Plan-
ning and Support Services","31,079,000","6,956,280","24,122,720",22.4,418,0
,722004610,,-,-,-,-,418,0
4612000100,,County Executive,"140,870,000","8,040,750","132,829,250",5.7,418,0
,725004610,,-,-,-,-,418,0
,701004610,"General Administration, Plan-
ning and Support Services","140,870,000","8,040,750","132,829,250",5.7,418,0
4612000200,,"County Executive Adminis-
tration",-,-,-,-,418,0
,701004610,"General Administration, Plan-
ning and Support Services",-,-,-,-,418,0
,725004610,,-,-,-,-,418,0
4612000300,,"County Public Service Man-
agement",-,-,-,-,418,0
,725004610,,-,-,-,-,418,0
,701004610,"General Administration, Plan-
ning and Support Services",-,-,-,-,418,0
4612000400,,Internal Audit,-,-,-,-,418,0
,729004610,,-,-,-,-,418,0
4613000100,,Finance & Economic Planning,"28,609,819","2,068,505","26,541,314",7.2,418,0
,702004610,Public Finance Management,-,-,-,-,418,0
,202004610,ICT Services,-,-,-,-,418,0
,703004610,"Economic Policy and County
Planning","28,609,819","2,068,505","26,541,314",7.2,418,0
,706004610,,-,-,-,-,418,0
4613000200,,Procurement,"80,427,102","13,327,940","67,099,162",16.6,418,0
,702004610,Public Finance Management,"80,427,102","13,327,940","67,099,162",16.6,418,0
4613000300,,"Revenue Management Ser-
vices","169,527,722","41,175,905","128,351,817",24.3,418,0
,702004610,Public Finance Management,"169,527,722","41,175,905","128,351,817",24.3,419,0
4613000400,,County Treasury,"560,699,468","106,138,870","454,560,598",18.9,419,0
,703004610,"Economic Policy and County
Planning","560,699,468","106,138,870","454,560,598",18.9,419,0
,702004610,Public Finance Management,-,-,-,-,419,0
4613000500,,Accounting Services,"35,876,419","240,200","35,636,219",0.7,419,0
,702004610,Public Finance Management,"35,876,419","240,200","35,636,219",0.7,419,0
4613000600,,"Budget Formulation, Coordi-
nation and Management","41,860,423","1,767,790","40,092,633",4.2,419,0
,702004610,Public Finance Management,"41,860,423","1,767,790","40,092,633",4.2,419,0
4613000700,,Internal Audit,"63,360,386","1,247,800","62,112,586",2.0,419,0
,702004610,Public Finance Management,"63,360,386","1,247,800","62,112,586",2.0,419,0
4613000800,,,"55,828,661","990,600","54,838,061",1.8,419,0
,202004610,ICT Services,"55,828,661","990,600","54,838,061",1.8,419,0
4614000100,,"Public Works and Infrastruc-
ture","758,190,509","128,109,123","630,081,386",16.9,419,0
,201004610,"Roads Transport and Public
Works","758,190,509","128,109,123","630,081,386",16.9,419,0
,107004610,Urban Mobility and Transport,-,-,-,-,419,0
,202004610,ICT Services,-,-,-,-,419,0
4614000200,,Roads And Transport,"100,386,773","5,920,015","94,466,758",5.9,419,0
,201004610,"Roads Transport and Public
Works","100,386,773","5,920,015","94,466,758",5.9,419,0
,202004610,ICT Services,-,-,-,-,419,0
4614000300,,,"169,962,718","19,442,643","150,520,075",11.4,419,0
,201004610,"Roads Transport and Public
Works","169,962,718","19,442,643","150,520,075",11.4,419,0
4615000100,,Education,"1,162,448,893","349,151,814","813,297,079",30.0,419,0
,901004610,"Social Development and Chil-
dren Services",-,-,-,-,419,0
,501004610,"General Administration and
policy formulation",-,-,-,-,419,0
,502004610,"Manpower Development,
Employment and Productivity
Management","1,162,448,893","349,151,814","813,297,079",30.0,419,0
4615000200,,Gender and Youth Affairs,"145,110,830","176,000","144,934,830",0.1,419,0
,901004610,"Social Development and Chil-
dren Services","145,110,830","176,000","144,934,830",0.1,419,0
4615000300,,"Vocational Education and
Training","114,374,448","1,167,000","113,207,448",1.0,420,0
,901004610,"Social Development and Chil-
dren Services","114,374,448","1,167,000","113,207,448",1.0,420,0
4615000400,,Sports,-,-,-,-,420,0
,901004610,"Social Development and Chil-
dren Services",-,-,-,-,420,0
4615000500,,"Arts, Culture and Heritage","19,852,699","200,000","19,652,699",1.0,420,0
,901004610,"Social Development and Chil-
dren Services","19,852,699","200,000","19,652,699",1.0,420,0
4615000600,,Social services and Recreation,"21,803,130",-,"21,803,130",-,420,0
,901004610,"Social Development and Chil-
dren Services","21,803,130",-,"21,803,130",-,420,0
4616000100,,"Environment, Protection,
Energy, Water& Natural Re-
sources","652,450,000","2,374,540","650,075,460",0.4,420,0
,1002004610,"Environment Management and
Protection","652,450,000","2,374,540","650,075,460",0.4,420,0
,1001004610,,-,-,-,-,420,0
4617000100,,County Public Service Board,"95,580,000","7,855,900","87,724,100",8.2,420,0
,907004610,,-,-,-,-,420,0
,701004610,"General Administration, Plan-
ning and Support Services","95,580,000","7,855,900","87,724,100",8.2,420,0
4618000100,,Crop Production,"524,843,912","45,190,825","479,653,087",8.6,420,0
,102004610,"Crop Development and man-
agement","524,843,912","45,190,825","479,653,087",8.6,420,0
,108004610,,-,-,-,-,420,0
,103004610,"Livestock Resources manage-
ment and development",-,-,-,-,420,0
4618000200,,Livestock Production,"165,882,138",-,"165,882,138",-,420,0
,112004610,,-,-,-,-,420,0
,102004610,"Crop Development and man-
agement","94,551,137",-,"94,551,137",-,420,0
,103004610,"Livestock Resources manage-
ment and development","71,331,001",-,"71,331,001",-,420,0
4618000300,,Fisheries,"29,682,503",-,"29,682,503",-,420,0
,104004610,"Fisheries development and
management","29,682,503",-,"29,682,503",-,420,0
,111004610,,-,-,-,-,420,0
4618000400,,veterinary Services,"61,891,447",-,"61,891,447",-,421,0
,112004610,,-,-,-,-,421,0
,103004610,"Livestock Resources manage-
ment and development","61,891,447",-,"61,891,447",-,421,0
4619000100,,Health- Medical Services,"3,419,311,816","893,424,245","2,525,887,571",26.1,421,0
,703004610,"Economic Policy and County
Planning",,,,,421,0
,401004610,"Preventive &Promotive Health
Services","981,400,000","205,189,235","776,210,765",20.9,421,0
,403004610,"General Administration,
Planning & Support Services","2,437,911,816","688,235,010","1,749,676,806",28.2,421,0
4619000200,,Public Health,"343,898,184","28,786,446","315,111,738",8.4,421,0
,404004610,,,,,,421,0
,402004610,Curative Health Services,"343,898,184","28,786,446","315,111,738",8.4,421,0
4620000100,,"Land, Housing & Survey","59,227,117",-,"59,227,117",-,421,0
,107004610,Urban Mobility and Transport,-,-,-,-,421,0
,101004610,"General administration, plan-
ning and support services",-,-,-,-,421,0
,102004610,"Crop Development and man-
agement",-,-,-,-,421,0
,106004610,"Housing Development and Hu-
man Settlement",-,-,-,-,421,0
,105004610,Land Policy and Planning,"59,227,117",-,"59,227,117",-,421,0
4620000200,,Town Management,"243,368,217","44,854,235","198,513,982",18.4,421,0
,105004610,Land Policy and Planning,-,-,-,-,421,0
,107004610,Urban Mobility and Transport,"243,368,217","44,854,235","198,513,982",18.4,421,0
4620000300,,Physical Planning,"149,074,666",-,"149,074,666",-,421,0
,106004610,"Housing Development and Hu-
man Settlement","149,074,666",-,"149,074,666",-,421,0
4621000100,,ICT & E-Government,-,-,-,-,421,0
,202004610,ICT Services,-,-,-,-,421,0
,210004610,,-,-,-,-,421,0
4622000100,,Tourism,"602,690,000","171,139,400","431,550,600",28.4,421,0
,303004610,"Tourism Development and
Promotion","602,690,000","171,139,400","431,550,600",28.4,421,0
,306004610,,-,-,-,-,421,0
4622000200,,Wildlife,-,-,-,-,421,0
,301004610,"General Administration and
Support Services",-,-,-,-,421,0
,1003004610,,-,-,-,-,421,0
4622000300,,Trade and Industry,-,-,-,-,422,0
,302004610,"Wildlife Conservation and Se-
curity",-,-,-,-,422,0
,301004610,"General Administration and
Support Services",-,-,-,-,422,0
4622000400,,Cooperatives,-,-,-,-,422,0
,301004610,"General Administration and
Support Services",-,-,-,-,422,0
4622000500,,,-,-,-,-,422,0
,301004610,"General Administration and
Support Services",-,-,-,-,422,0
4623000100,,,"556,106,185","33,760,683","522,345,502",6.1,422,0
,701004610,"General Administration, Plan-
ning and Support Services","320,876,185","33,760,683","287,115,502",10.5,422,0
,704004610,Legislation and Representation,"235,230,000",-,"235,230,000",-,422,0
4623000200,,,"407,179,034","23,671,700","383,507,334",5.8,422,0
,701004610,"General Administration, Plan-
ning and Support Services","407,179,034","23,671,700","383,507,334",5.8,422,0
4623000300,,,"62,044,781",-,"62,044,781",-,422,0
,701004610,"General Administration, Plan-
ning and Support Services","62,044,781",-,"62,044,781",-,422,0
4624000100,,,"179,253,822",-,"179,253,822",-,422,0
,301004610,"General Administration and
Support Services","179,253,822",-,"179,253,822",-,422,0
4624000200,,,"23,486,530",-,"23,486,530",-,422,0
,301004610,"General Administration and
Support Services","23,486,530",-,"23,486,530",-,422,0
4624000300,,,"7,189,648",-,"7,189,648",-,422,0
,301004610,"General Administration and
Support Services","7,189,648",-,"7,189,648",-,422,0
4919000100,,County Assembly,-,-,-,-,422,0
,401004610,"Preventive &Promotive Health
Services",-,-,-,-,422,0
,,Grand Total,"12,109,240,000","1,963,852,646","10,145,387,354",16.2,422,0
