Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expendi-
ture (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,334,0
ASSEMBLY,,,,,,334,0
"Legislation and
Representation","Legislation and Repre-
sentation","400,606,993","181,666,192","218,940,801",45.3,334,0
Legislative Oversight,Legislative Oversight,"266,597,315","88,361,133","178,236,182",33.1,334,0
"General Admin,
Planning & Support","General Admin, Plan-
ning & Support","491,233,290","227,972,675","263,260,615",46.4,334,0
Total,,"1,158,437,598","498,000,000","660,437,598",43.0,334,0
DEPARTMENT: OFFICE OF THE GOVERNOR,,,,,-,334,0
General Administration,General Administration,"83,296,861","28,568,840","54,728,021",34.3,334,0
"Governor Press/
Communication and Events","Governor Press/Com-
munication and Events","19,620,000","1,590,000","18,030,000",8.1,334,0
Efficiency Monitoring,Efficiency Monitoring,"11,376,180","995,200","10,380,980",8.7,334,0
Research and Strategy,Research and Strategy,"13,350,000","2,505,000","10,845,000",18.8,334,0
"Disaster Management,
Rescue & Emergency
Services","Disaster Management,
Rescue & Emergency
Services","17,366,780","1,195,000","16,171,780",6.9,334,0
"External Linkages
& Partnership","External Linkages &
Partnership","15,200,000","2,280,000","12,920,000",15.0,334,0
'County Secretary,County Secretary,"10,118,766","1,850,000","8,268,766",18.3,334,0
Total,,"170,328,587","38,984,040","131,344,547",22.9,334,0
General Administration,Administration,"134,954,356","38,935,331","96,019,025",28.9,334,0
Admin,Office Affairs,"19,940,766","2,231,450","17,709,316",11.2,334,0
Procurement,Procurement,"11,400,000","2,799,968","8,600,032",24.6,334,0
Internal Audit,Internal Audit,"10,805,200","3,361,805","7,443,395",31.1,334,0
Budget and Policy,Budget and Policy,"28,891,725","3,256,029","25,635,696",11.3,334,0
Accounts,Accounts,"10,510,000","2,632,200","7,877,800",25.0,334,0
"Semi-Autonomous Agencies:
Investment Corporation","Meru Investment Cor-
poration","157,340,051","10,000,000","147,340,051",6.4,334,0
Microfinance Corporation,"Meru Micro-Finance
Corporation","82,155,481","54,120,241","28,035,240",65.9,334,0
Revenue Board,Revenue Board,"338,539,303","174,517,179","164,022,125",51.6,334,0
ICT Development,ICT Development,"22,620,000","1,316,653","21,303,347",5.8,334,0
"Economic Planning and
Coordination Services","Economic Planning and
Coordination Services","20,845,000","4,434,500","16,410,500",21.3,334,0
Fleet Management,Fleet Management,"123,000,000","41,745,982","81,254,018",33.9,334,0
Total,,"961,001,883","339,351,337","621,650,546",35.3,334,0
General Administration,General Administration,"20,100,000","563,520","19,536,480",2.8,334,0
Livestock,Livestock,"121,000,000","593,000","120,407,000",0.5,334,0
Fisheries,Fisheries,"7,000,000","682,200","6,317,800",9.7,334,0
Agricultural Services,Agricultural Services,"517,986,689","49,795,369","468,191,320",9.6,334,0
,,A,B,C=A-B,D=B/A*100,335,0
"Animal Disease
Management","Animal Disease Man-
agement","5,000,000","367,750","4,632,250",7.4,335,0
"Agricultural Training
Centre (ATC) & AMS","Agricultural Training
Centre (ATC)","33,600,000","11,548,966","22,051,034",34.4,335,0
Total,,"704,686,689","63,550,806","641,135,883",9.0,335,0
DEPARTMENT: WATER & IRRIGATION,,,,,-,335,0
General Administration,Administration Services,"372,202,628","3,251,800","368,950,828",0.9,335,0
Total,,"372,202,628","3,251,800","368,950,828",0.9,335,0
"DEPARTMENT: EDUCATION, TECHNOLOGY, GENDER & SOCIAL
DEVELOPMENT",,,,,-,335,0
General Administration,General Administration,"22,714,999","1,089,300","21,625,699",4.8,335,0
"Early Childhood
Development
Education(ECDE)","Early Childhood Devel-
opment Education(-
ECDE)","237,450,000","130,000","237,320,000",0.1,335,0
"'Technical and
Vocation Education","'Technical and Vocation
Education","69,827,375",-,"69,827,375",-,335,0
Youth Services,"'Gender Mainstreaming
and Social Services","98,550,000","2,701,500","95,848,500",2.7,335,0
Total,,"428,542,374","3,920,800","424,621,574",0.9,335,0
"DEPARTMENT: HEALTH
SERVICES",,,,,-,335,0
General Administration,General Administration,-,-,-,-,335,0
Curative Health,Curative Health,"742,073,704","76,469,801","665,603,903",10.3,335,0
"Preventive and
Promotive Health","Preventive and Promo-
tive Health","216,886,029","5,377,060","211,508,969",2.5,335,0
Total,,"958,959,733","81,846,861","877,112,872",8.5,335,0
"DEPARTMENT: LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT & PUBLIC
WORKS",,,,,-,335,0
General Administration,General Administration,"30,000,000",-,"30,000,000",-,335,0
Lands & Public Works,Lands & Public Works,"70,000,000","4,110,960","65,889,040",5.9,335,0
"Physical Planning, House
& Urban Development","Physical Planning,
House & Urban Devel-
opment","311,890,200","2,751,000","309,139,200",0.9,335,0
Meru Municipality,Meru Municipality,"30,000,000","1,689,150","28,310,850",5.6,335,0
Total,,"441,890,200","8,551,110","433,339,090",1.9,335,0
"DEPARTMENT: PUBLIC SERVICE ADMINISTRATION & LEGAL
AFFAIRS",,,,,-,335,0
General Administration,General Administration,"14,731,241","3,719,273","11,011,968",25.2,335,0
"Coordination of
County Government
Functions Sub County","Coordination of County
Government Functions
Sub County","20,786,914","7,197,050","13,589,864",34.6,335,0
"County Office
Accommodation and
Enforcement Services","County Office Accom-
modation and Enforce-
ment Services","49,371,069","29,497,623","19,873,446",59.7,335,0
Human Resource,Human Resource,"4,869,449,646","2,921,616,572","1,947,833,074",60.0,335,0
,,A,B,C=A-B,D=B/A*100,336,0
"Office of the County
Attorney","Office of the County
Attorney","72,609,776","2,234,193","70,375,583",3.1,336,0
"Towns Management
& Administration","Towns Management &
Administration","3,300,000","100,000","3,200,000",3.0,336,0
Total,,"5,030,248,646","2,964,364,712","2,065,883,934",58.9,336,0
"DEPARTMENT: 'ROADS, TRANSPORT & ENERGY",,,,,-,336,0
"General Administra-
tion-Roads","General Administra-
tion-Roads","592,470,127","741,600","591,728,527",0.1,336,0
Energy,Energy,"24,590,814","524,800","24,066,014",2.1,336,0
Total,,"617,060,941","1,266,400","615,794,541",0.2,336,0
"DEPARTMENT: 'TRADE, TOURISM & CO-OPERATIVES DEVELOP-
MENT",,,,,-,336,0
Headquarters,Headquarters,-,-,-,-,336,0
Co-operatives Development,"Co-operatives Devel-
opment","40,628,097","2,003,000","38,625,097",4.9,336,0
Tourism Development,Tourism Development,"55,000,000","3,468,507","51,531,493",6.3,336,0
Trade Development,Trade Development,"80,000,000","2,046,231","77,953,769",2.6,336,0
Total,,"175,628,097","7,517,738","168,110,359",4.3,336,0
DEPARTMENT: 'YOUTH AFFAIRS & SPORTS,,,,,-,336,0
General Administration,General Administration,-,-,-,-,336,0
Youth Affairs,Youth Affairs,"161,650,000","10,928,696","150,721,304",6.8,336,0
Sports Development,Sports Development,"40,000,000","22,864,900","17,135,100",57.2,336,0
"Arts and Culture
Development","Arts and Culture Devel-
opment","35,000,000","3,091,300","31,908,700",8.8,336,0
Total,,"236,650,000","36,884,896","199,765,104",15.6,336,0
"DEPARTMENT: COUNTY PUBLIC SERVICE
BOARD",,,,,-,336,0
"Human Resource Manage-
ment","Human Resource Man-
agement","30,000,000","9,840,996","20,159,004",32.8,336,0
Total,,"30,000,000","9,840,996","20,159,004",32.8,336,0
"DEPARTMENT: ENVIRONMENT, NATURAL RESOURCES & CLIMATE
CHANGE",,,,,-,336,0
General Administration,General Administration,"45,500,592","2,933,090","42,567,502",6.4,336,0
"Environmental
Managemental and climate
change mitigation plans","Environmental Man-
agemental and climate
change mitigation plans","31,600,000",-,"31,600,000",-,336,0
Total,,"77,100,592","2,933,090","74,167,502",3.8,336,0
Grand Total,,"11,362,737,968","4,060,264,586","7,302,473,382",35.7,336,0
