Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Cumulative
Expenditure –
Half-Year",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,378,0
"0701000 P1 General Ad-
ministration Planning and
Support Services","0701010 SP.1.1 General
Administration Planning and
Support Services","131,339,056","26,802,705","104,536,351",20.4,378,0
,"Total 5311000000 COUNTY
PUBLIC SERVICE BOARD","131,339,056","26,802,705","104,536,351",20.4,378,0
"0718005310 General Admin-
istrative Services","0718015310 Sp1 General
Administration & Support
Services","558,487,666","221,610,295","336,877,371",39.7,378,0
,"0718025310 Sp2 Sub County
Administration","1,403,680,796","731,214,929","672,465,867",52.1,378,0
,"0718075310 Sp7 County
Executive","307,356,337","20,795,463","286,560,874",6.8,378,0
,0718095310 Sp9 Audit,"69,338,168","27,103,883","42,234,285",39.1,378,0
,"5312001400 Research Policy &
Development","2,340,733",-,"2,340,733",-,378,0
,"5312001500 Records Manage-
ment","4,000,000",-,"4,000,000",-,378,0
,"5312001600 Donor Coor-
dination and Stakeholders
Engagement","80,000,000",-,"80,000,000",-,378,0
"0724005310 P 24 Security
and Safety Management",0724055310 Inspectorate,"1,539,246,814","618,274,449","920,972,365",40.2,378,0
,"0724015310 sp 24.1 investiga-
tive Services","48,056,981","11,739,545","36,317,436",24.4,378,0
"P; 0726005310: Disaster
Management Coordination","072601510: Fire & Disaster
Management","488,443,380","139,921,282","348,522,098",28.6,378,0
"0725005310 P 25 manage-
ment of legal affairs","0725015310 sp 25.1 legal
services","298,060,917","63,700,819","234,360,098",21.4,378,0
,"Total 5312000000 OFFICE
OF GOVERNOR & DEPUTY
GOVERNOR","4,799,011,792","1,834,360,664","2,964,651,128",38.2,378,0
"0207000 P1: General Ad-
ministration Planning and
Support Services","0207010 SP 1: General Ad-
ministration, Planning and
Support Services","86,774,048","47,316,398","39,457,650",54.5,378,0
"0208000 P2: Information
and Communication Ser-
vices","0208010 SP 2.1: News and
Information Services","39,411,418","1,181,368","38,230,050",3.0,378,0
,"0208030 SP 2.3: ICT and Me-
dia Regulatory Services","17,854,301",-,"17,854,301",-,378,0
,"0208040 SP 2.4 E-Government
Services","9,493,789",-,"9,493,789",-,378,0
,,A,B,C=A-B,D=B/A*100,379,0
"0210005310 ICT Infrastruc-
ture Development","0210010 SP1: ICT Infrastruc-
ture Connectivity","175,881,048","100,000","175,781,048",0.1,379,0
,"0210035310 sp 3: Information
Security","9,504,365",-,"9,504,365",-,379,0
,"Total 5313000000 ICT,
E-GOVT & PUBLIC COM-
MUNICATIONS","338,918,969","48,597,766","290,321,203",14.3,379,0
"0701005310 Public Financial
Management","0701015310 Assets Manage-
ment Services","163,142,268","135,308,417","27,833,851",82.9,379,0
,"0701065310 sp1.6 Accounting
Services","4,437,130","13,085,133","(8,648,003)",294.9,379,0
,"0701075310 sp1.7 Budget
Formulation Coordination
and mgt","139,761,559","16,904,400","122,857,159",12.1,379,0
,"0701085310 sp1.8 Resource
Mobilisation","320,955,697","146,368,398","174,587,299",45.6,379,0
,"070115310 Debt Management
Services","454,574,567","137,210,310","317,364,257",30.2,379,0
,"0718085310 Sp8 Supply Chain
Management","229,881,091","69,701,374","160,179,717",30.3,379,0
"0718015310 Sp1 General
Administration & Support
Services","0718015310 Sp1 General
Administration & Support
Services","497,912,311","175,198,291","322,714,020",35.2,379,0
"0719000 P3: Economic and
Financial Policy Formulation
and Management","0719010 SP 3.1 Fiscal Policy
Formulation, Development
and Management","162,229,200","54,703,267","107,525,933",33.7,379,0
,"Total 5314000000 FINANCE &
ECONOMIC PLANNING","1,972,893,823","748,479,590","1,224,414,233",37.9,379,0
"0401115310 HIV/AIDS Pre-
vention & Control Unit","5315000900 HIV/AIDS pre-
vention and control unit","1,600,057",-,"1,600,057",-,379,0
0401125310 TB Control,5315001000 TB control unit,"1,200,042",-,"1,200,042",-,379,0
"0401135310 Malaria Control
& Other Communicable
Diseases","5315001100 Malaria control &
Other Communicable Diseases
unit","1,200,042",-,"1,200,042",-,379,0
"0401145310 Reproductive
Health & Maternal Health
(RMNCAH)","5315001200 Reproductive
Health, Maternal Health (RM-
NCAH)","98,992,017",-,"98,992,017",-,379,0
"0401155310 Environmental
Public Health","5315001300 Environmental
Public Health","99,100,006",-,"99,100,006",-,379,0
"0402065310 sp.2.6 County
Referral Hospitals","5315000300 Mbagathi District
Hospital","155,680,299",-,"155,680,299",-,379,0
,"5315000400 Pumwani Mater-
nity Hospital","195,523,761",-,"195,523,761",-,379,0
,Pumwani Nursing School.,"20,400,000",-,"20,400,000",-,379,0
,"5315000500 Mama Lucy
Hospital","439,724,895",-,"439,724,895",-,379,0
,,A,B,C=A-B,D=B/A*100,380,0
,5315000600 Mutuini Hospital,"71,900,000",-,"71,900,000",-,380,0
"0402075310 sp.2.7 Health
Centres & dispensaries","5315001600 Health centres &
dispensaries","849,083,513",-,"849,083,513",-,380,0
"0404015310 Sp4.1 Adminis-
tration/Human Resource for
Health","5315001800 Administration
unit","3,591,741,213","422,867,975","3,168,873,238",11.8,380,0
"0404025310 Sp4.2 Health
Policy, Planning & Financing","5315001700 Health policy,
planning and financing Unit","22,600,000",-,"22,600,000",-,380,0
"0404035310 sp 4.3 Health
Commodities","5315001900 Health Commod-
ities",-,-,-,-,380,0
"0404055310 sp 4.5 Coroner
services unit","5315002100 Coroner Services
unit","41,818,371",-,"41,818,371",-,380,0
"5315002200 Nairobi County
Covid-19 Response","5315002200 Nairobi County
Covid-19 Response","4,000,000",-,"4,000,000",-,380,0
,Total 5315000000 HEALTH,"5,594,564,216","422,867,975","5,171,696,241",7.6,380,0
"0106010 SP.6.1 Administra-
tion, Planning & Support
Services",5316000100 Headquarters,"181,996,138","21,273,983","160,722,155",11.7,380,0
"0114015310 sp 8.1 Urban
planning",5316000200 Physical Planning,"105,973,075",-,"105,973,075",-,380,0
"0115025310 sp 9.2 land
survey","5316000500 Survey and GIS
Department","111,878,602",-,"111,878,602",-,380,0
,5316000400 Valuation,"35,000,000",-,"35,000,000",-,380,0
"Total 5316000000 URBAN
PLANNING AND LANDS",,"434,847,815","21,273,983","413,573,832",4.9,380,0
"0207010 SP 1: General Ad-
ministration, Planning And
Support Services",5317000100 Headquarters,"1,014,711,402","104,161,352","910,550,050",10.3,380,0
"0211015310 sp 5.1 Construc-
tion Roads & Drainages &
Maintenance",5317000200 Roads,"1,683,566,420",-,"1,683,566,420",-,380,0
"0212015310 sp 6.1 Transport
Facilities & Traffic Manage-
ment",5317000300 Transport,"760,722,444","39,999,915","720,722,529",5.3,380,0
,,A,B,C=A-B,D=B/A*100,381,0
,5317000400 Public Works,"62,218,517",-,"62,218,517",-,381,0
"0213015310 sp 7.1 Public
streetlighting Installations &
Maintenances",5317000800 Electrical,"384,000,208",-,"384,000,208",-,381,0
"0213025310 sp 7.2 Motor
Vehicle, Machinery & Plant
Maintenance","5317000900 Garage/Transpor-
taion","15,800,097",-,"15,800,097",-,381,0
"0213035310 sp 7.3 Institu-
tional Buildings Mainte-
nance",5317001000 Building Works,"13,786,878",-,"13,786,878",-,381,0
,"5317001200 Road Mainte-
nance Levy","1,127,000,000","927,334,931","199,665,069",82.3,381,0
,"Total 5317000000 PUBLIC
WORKS, TRANSPORT &
INFRASTRUCTURE","5,061,805,966","1,071,496,198","3,990,309,768",21.2,381,0
"0508005310 General ad-
ministration, planning and
support services","0508025310 sp 8.2 General
Administration & Support
Services","1,909,625,209","481,215,829","1,428,409,380",25.2,381,0
"0509005310 P9 Education
services","0509015310 sp 9.1 Quality
Assurance and Co-curriculum","339,228",-,"339,228",-,381,0
,"0509025310 sp 9.2 Early Child-
hood Development Centres","449,841,331",-,"449,841,331",-,381,0
,"0509035310 sp 9.3 Technical
and Vocational Training","76,005,445",-,"76,005,445",-,381,0
"0902005310 2.1 Social
Services","0902015310 General Adminis-
tration & Support Services","180,943,809","93,616,841","87,326,968",51.7,381,0
,"0902025310 Sp.2.2 Gender and
Community Empowerment","760,026",-,"760,026",-,381,0
,"0902035310 Sp2.3 Devel-
opment and promotion of
culture/ heritage",-,-,-,-,381,0
,"0902045310 Sp2.4 Develop-
ment and promotion of sports","350,163,678",-,"350,163,678",-,381,0
,"0902055310 Sp2.5 Youth Em-
powerment and Promotion","43,955,077",-,"43,955,077",-,381,0
,"0902065310 Sp 2.6 Social wel-
fare and care for the Aged","35,579,142",-,"35,579,142",-,381,0
,"0902075310 Sp 2.7 Promotion
of Library and Information
Services","2,999,990",-,"2,999,990",-,381,0
,,A,B,C=A-B,D=B/A*100,382,0
,"0902085310 Sp.2 8 Rescue and
Rehabilitation of Children
Services","23,339,366",-,"23,339,366",-,382,0
,"Total 5318000000 EDUCA-
TION, YOUTH AFFAIRS,
SPORTS, CULTURE & SO-
CIAL SERVICES","3,073,552,301","574,832,670","2,498,719,631",18.7,382,0
"0301000 P.1 General Ad-
ministration Planning and
Support Services","0301010 SP1 General Admin-
istration Planning and Support
Services","223,072,543","149,223,837","73,848,706",66.9,382,0
"0310005310 P.10 Co-opera-
tive Development and Audit
Services","0310015310 sp 10.1 Coopera-
tive Development Services","4,292,326","578,400","3,713,926",13.5,382,0
,"0310025310 sp 10.2 Coopera-
tive Audit Services","2,420,819",-,"2,420,819",-,382,0
"0311005310 P.11 Tourism
Promotion and Marketing","0311015310 sp 11.1 Tourism
Development","6,155,512","280,000","5,875,512",4.5,382,0
