Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expen-
diture Q2 FY
2022/23 (Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index,"Actual Expenditure
Q2 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)"
,GRAND TOTAL,"7,047,661,529","1,868,778,498","5,178,883,031",26.5,467,0,,,
,,A,,,,474,1,B,C=A-B,D=B/A*100
COUNTY ASSEMBLY,,,,,,474,1,,,
Legislation,Legislation,"512,163,413",,,,474,1,"174,347,349","337,816,064",34.0
Oversight,Oversight,"40,000,000",,,,474,1,"9,369,500","30,630,500",23.4
"General
Administration","General Adminis-
tration","356,105,467",,,,474,1,"129,623,308","226,482,159",36.4
"General
Administration","General Adminis-
tration","763,888,752",,,,474,1,"46,721,826","717,166,926",6.1
,Total,"1,672,157,632",,,,474,1,"360,061,983","1,312,095,649",21.5
GOVERNANCE AND ADMINISTRATION,,,,,,474,1,,,
"County Executive
Administration","County Executive
Administration","276,141,761",,,,474,1,"106,758,315","169,383,446.04",38.7
"Office of Governor
and Deputy
Governor","Office of Governor
and Deputy Gov-
ernor","110,044,725",,,,474,1,"42,126,149","67,918,575.70",38.3
,,A,,,,475,0,B,C=A-B,D=B/A*100
"County Public
Service Board","County Public
Service Board","62,651,031",,,,475,0,"27,945,085","34,705,945.53",44.6
"Public Participation
and Civic
Education","Public Participation
and Civic Education","2,600,000",,,,475,0,"819,678","1,780,321.52",31.5
"Coordination of
Devolved Unit","Coordination of
Devolved Unit","97,657,046",,,,475,0,"46,533,566","51,123,479.96",47.6
"Human Capital
Management","Human Capital
Management","31,994,879",,,,475,0,"14,785,171","17,209,708.42",46.2
"Monitoring and
Evaluation","Monitoring and
Evaluation","2,414,267",,,,475,0,"761,124","1,653,142.88",31.5
"Communication
and Public
Relations","Communication
and Public Relations","1,953,581",,,,475,0,"615,888","1,337,693.19",31.5
"Office of the
County Attorney","Office of the County
Attorney","31,092,239",,,,475,0,"11,453,202","19,639,036.71",36.8
,Total,"616,549,529",,,,475,0,"251,798,179.05","364,751,349.95",40.8
FINANCE AND ECONOMIC PLANNING,,,,,,475,0,,,
Financial Services,Financial Services,"45,828,966",,,,475,0,"20,013,622","25,815,344",43.7
Fiscal Planning,Fiscal Planning,"22,854,736",,,,475,0,"5,991,149","16,863,587",26.2
Administration,Administration,"718,737,009",,,,475,0,"259,063,276","459,673,732.70",36.0
,Total,"787,420,711",,,,475,0,"285,068,047.40","502,352,663.60",36.2
"AGRICULTURE, IRRIGATION, FOOD,8 LIVESTOCK AND FISHERIES",,,,,,475,0,,,
"General Admin-
istration, Plan-
ning and Support
Services","General Admin-
istration, Plan-
ning and Support
Services","48,244,572",,,,475,0,"15,782,632","32,461,939.61",32.7
