"Pro-
gram",Sub Program,Description,"Final Budget
(Kshs.)","Actual Expenditure
(Kshs.)","Absorption
Rate
(%)",page_number,table_index,col_6
Livestock resource management and development,,,"8,955,651.00","8,252,000.00",92,137,1,
,101023510,Livestock Production,"8,955,651.00","8,252,000.00",92,137,1,
Fisheries development,,,"-1,336,000.00",-,-,137,1,
,102043510,,"-1,336,000.00",-,-,137,1,
Crop Productivity Improvement,,,"772,157,098.25","293,427,927.75",38,137,1,
,104013510,"Increase food productivity & output
by 30%.","101,630,743.50","28,903,580.75",28,137,1,
,104033510,"Promote sustainable land use and
environmental conservation","-1,500,000.00",-,-,137,1,
,104043510,Establishment of Demo Farms,"30,951,342.75",-,-,137,1,
,104053510,"Administration Climate Change
Mitigation","642,304,834.50","264,524,347.00",41,137,1,
,104063510,Irrigation,"-1,229,822.50",-,-,137,1,
Value Addition,,,"-3,062,500.00",-,-,138,0,
,105013510,Veterinary Support Services,"-3,062,500.00",-,-,138,0,
"Planning and Survey of Urban Areas (Modogashe and Ol ndo-
nyiro)",,,"-1,750,000.00",-,-,138,0,
,107013510,"Administration and Planning Ser-
vices","-1,750,000.00",-,-,138,0,
Land Survey and land use planning,,,"23,400,000.00",-,-,138,0,
,109023510,County Land Survey and Mapping,"23,400,000.00",-,-,138,0,
Public Works.,,,"69,636,410.00",-,-,138,0,
,204023510,Estate Flood lighting facilities.,"-3,375,014.00",-,-,138,0,
,204033510,"Bridge Infrastructure and Engineer-
ing Designs","6,000,000.00",-,-,138,0,
,204043510,Roads Maintenance Emergency,"67,011,424.00",-,-,138,0,
Municipal Administration,,,"114,292,000.50","47,581,777.95",42,138,0,
,207013510,"General Administration and Plan-
ning","5,250,000.00","7,500,000.00",143,138,0,
,207023510,Infrastructural Development,"109,042,000.50","40,081,777.95",37,138,0,
Trade development and promotion,,,"-4,397,586.75",-,-,138,0,
,301013510,"Entrepreneurship and business man-
agement training","-1,272,586.75",-,-,138,0,
,301023510,"Micro and Small Business Support
Services","-625,000.00",-,-,138,0,
,301033510,Infrastructure support,"-2,500,000.00",-,-,138,0,
Tourism Promotion,,,"7,000,000.00",-,-,138,0,
,304013510,Tourism Promotion and Marketing,"1,500,000.00",-,-,138,0,
,304023510,Tourism Development,"3,250,000.00",-,-,138,0,
,304033510,"Protection of endangered wildlife
animals.","2,250,000.00",-,-,138,0,
Health Preventive and Promotive Services,,,"84,455,366.75","5,699,152.05",7,138,0,
,401023510,"Preventive and Promotive Health
Services","43,935,896.25","788,530.00",2,138,0,
,401033510,"Disease Surveillance And Epidemic
preparedness","40,519,470.50","4,910,622.05",12,138,0,
Administration and Planning,,,"13,911,712.50",-,-,138,0,
,403013510,"Curative and Rehabilitative Health
Services","13,911,712.50",-,-,138,0,
Provision of education and training services,,,"4,600,000.00",-,-,138,0,
,502013510,ECDE Classroom Infrastructure,"7,150,000.00",-,-,138,0,
,502043510,"Promotion of Quality Youth empow-
erment","-1,000,000.00",-,-,138,0,
,502053510,Sanitation for ECDE,"-1,550,000.00",-,-,138,0,
Cultural and Arts Empowerment,,,"3,283,888.75",-,-,138,0,
,503053510,,"3,283,888.75",-,-,139,0,
Management and development of Sports and sports facilities,,,"23,499,958.00",-,-,139,0,
,504013510,Sports Academy Centre,"28,499,958.00",-,-,139,0,
,504023510,Youth and Women Empowerment,"-5,000,000.00",-,-,139,0,
Culture and Social Services,,,"4,435,310.75",-,-,139,0,
,505013510,Culture Development,"4,435,310.75",-,-,139,0,
Administration and support services,,,"364,418,179.00",-,-,139,0,
,709083510,"Administrative Infrastructure sup-
port","364,418,179.00",-,-,139,0,
Economic Planning and Coordination ion,,,"7,500,000.00",-,-,139,0,
,711023510,"Economic Policy and County Devel-
opment Plans","7,500,000.00",-,-,139,0,
Cohesion and Peace Building,,,"-2,500,000.00",-,-,139,0,
,712013510,"Administrative and Civic Education
Services","-2,500,000.00",-,-,139,0,
"Town administration, planning and support services",,,"-1,000,000.00",-,-,139,0,
,719023510,"General Administration Support
Services","-1,000,000.00",-,-,139,0,
Administration and support services,,,"2,000,000.00",-,-,139,0,
,724033510,"Fencing and Rehabilitation of Payroll
Office","2,000,000.00",-,-,139,0,
Special programmes,,,"82,500,000.00","85,980,000.00",104,139,0,
,725023510,Disaster management,"82,500,000.00","85,980,000.00",104,139,0,
,,,"-2,500,000.00",-,-,139,0,
,902023510,"Marginalised Group Empowerment
support services","-2,500,000.00",-,-,139,0,
,902033510,"Empowerment Support Support
Services",-,-,-,139,0,
Water Supply and Storage Services,,,"84,543,853.00",-,-,139,0,
,1002023510,Water Supply and Storage,"82,293,853.00",-,-,139,0,
,1002043510,"Civil Works-Establishment of Dams
& Pans","2,250,000.00",-,-,139,0,
Conservation of Environment & Natural Resources,,,"10,105,237.25",-,-,139,0,
,1003023510,Environmental Conservation,"10,105,237.25",-,-,139,0,
