Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expenditure
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,316,1
"Agricultural and Livestock
Sector Support",Food security Initiatives,"253,678,884","34,300,240","219,378,644",13.5,316,1
,Livestock Production,"47,050,000","18,401,680","28,648,320",39.1,316,1
,,"300,728,884","34,300,240","248,026,964",11.4,316,1
Administration Services,"Administration and
Compensation","3,280,625,131","1,373,241,382","2,388,125,240",41.9,316,1
,Sub Total,"3,280,625,131","1,373,241,382","2,388,125,240",41.9,316,1
