Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expenditure
Q2 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,162,0
Agriculture,,,,,,162,0
101004810,"Livestock develop-
ment","217,395,523.00","11,261,078.10","206,134,444.90",5.18,162,0
101014810,Dairy Development,"131,816,524","4,163,122","127,653,402",3.16,162,0
101024810,Poultry development,"10,000,000","4,860,000","5,140,000",48.60,162,0
101034810,"Livestock disease and
pest prevention","33,523,057","2,237,956","31,285,101",6.68,162,0
101044810,"Livestock Market Infra-
structure Improvement","42,055,942",-,"42,055,942",-,162,0
102004810,"Fish Farming Produc-
tivity Programme","65,000,000.00","10,090,000.00","54,910,000.00",15.52,162,0
102024810,"Promotion of Fish
Farming","65,000,000","10,090,000","54,910,000",15.52,162,0
103004810,"Crop Production and
Management Services","984,727,549.00","91,065,926.20","893,661,622.80",9.25,162,0
103014810,Cash crop development,"6,000,000",0,"6,000,000",-,162,0
103024810,Food crop production,"480,045,044","88,065,926","391,979,118",18.35,162,0
103034810,"Crop pest and disease
management","6,000,000",0,"6,000,000",-,162,0
103044810,"Agricultural Extension
and Research","492,682,505","3,000,000","489,682,505",0.61,162,0
105004810,"Agricultural Exten-
sion and Research","14,845,466.00","2,427,100.00","12,418,366.00",16.35,162,0
105014810,"Training and demon-
stration","14,845,466","2,427,100","12,418,366",16.35,162,0
106004810,"Co-operative Devel-
opment","25,294,594.00","1,099,808.00","24,194,786.00",4.35,162,0
106014810,"Marketing and value
addition","25,294,594","1,099,808","24,194,786",4.35,162,0
120004810,"Irrigation and Drain-
age Development","14,820,954.00","382,348.70","14,438,605.30",2.58,162,0
120014810,"Small Holder Irrigation
and Drainage","14,820,954","382,349","14,438,605",2.58,162,0
Total,,"1,322,084,086.00","116,326,261.00","1,205,757,825.00",8.80,162,0
Land,,,,,,162,0
107004810,"Land Management
Services","171,128,047.00","44,659,458.60","126,468,588.40",26.10,162,0
107014810,"Land use policy and
planning","86,918,713","19,932,135","66,986,578",22.93,162,0
,,A,B,C=A-B,D=B/A*100,163,0
107024810,"Land Administration
and Planning","76,228,335","23,395,728","52,832,607",30.69,163,0
107034810,Survey Services,"7,980,999","1,331,595","6,649,404",16.68,163,0
108004810,"Housing Management
Services","57,529,349.00","14,068,396.25","43,460,952.75",24.45,163,0
108014810,"Housing Infrastructure
development","6,729,349","1,164,473","5,564,877",17.30,163,0
108024810,Slum Upgrading,"50,800,000","12,903,924","37,896,076",25.40,163,0
110004810,"Urban Development
Service","434,956,887.00","23,525,038.55","411,431,848.45",5.41,163,0
110024810,"Social Amenities and
Sanitary Services","434,956,887","23,525,039","411,431,848",5.41,163,0
Total,,"663,614,283.00","82,252,893.40","581,361,389.60",12.39,163,0
Roads,,,,,,163,0
201004810,"Road Infrastructure
Development","1,038,232,683.00","430,369,797.00","607,862,886.00",41.45,163,0
201014810,Road Maintenance,"131,000,000","57,884,559","73,115,441",44.19,163,0
201024810,"Bridges Culverts Con-
struction","27,500,000","4,845,624","22,654,376",17.62,163,0
201034810,Road construction,"879,732,683","367,639,614","512,093,069",41.79,163,0
203004810,Energy Reticulation,"47,440,742.00","8,965,608.00","38,475,134.00",18.90,163,0
203014810,Electrification,"13,000,000","7,397,897","5,602,103",56.91,163,0
203024810,Renewable Energy,"34,440,742","1,567,711","32,873,031",4.55,163,0
