Department,Programme,Programme/ Sub Programme,"FY2022/23
Budget","Actual Expen-
diture as of 30th
December 2022","Absorption Rate
(%)",page_number,table_index
"Agriculture,
Livestock &
Fisheries","Program 3: Agribusiness
and information man-
agement","Sub-Program 3. 1 Agribusiness
and information management","163,260,305","27,079,500",16.6,306,1
,"Programme 1: Gen-
eral administration &
planning","Sub-Program 1. 1 General
administration & planning","452,972,306","140,184,515",30.9,306,1
,"Programme 2: Land,
Crop development &
productivity","Sub-Program 2. 1 Land, Crop
development & productivity","235,975,562","98,039,275",41.5,306,1
,"Programme 4: Livestock
Production, Manage-
ment and Development","Sub-Program 4. 1 Livestock
Production, Management and
Development","76,386,173","250,000",0.3,306,1
,"Programme 5: Cooper-
ative development and
management","Sub-Program 5. 1 Cooperative
development and management","10,000,000",-,-,306,1
"1.1.1.1.1.1.1.1 Agriculture, Livestock & Fisheries Total",,,"938,594,346","265,553,290",28.3,306,1
"County Assem-
bly",Legislation & Oversight,Legislation & Oversight,"796,051,128","402,498,928",50.6,306,1
1.1.1.1.1.1.1.2 County Assembly Total,,,"796,051,128","402,498,928",50.6,306,1
"County Attor-
ney","Programme 1: Legal &
advisory services","Sub-Program 1. 1 Legal & advi-
sory services","25,493,375","1,223,409",4.8,306,1
1.1.1.1.1.1.1.3 County Attorney Total,,,"25,493,375","1,223,409",4.8,306,1
"County Public
Service Board","Programme 1: General
Administration and
Planning","Sub-Program 1.1: General Ad-
ministration and Planning","99,013,066","16,132,402",16.3,306,1
1.1.1.1.1.1.1.4 County Public Service Board Total,,,"99,013,066","16,132,402",16.3,306,1
"County Secre-
tary","Programme 1: Leader-
ship and coordination of
departments.","Sub-Program 1. 1 Leadership
and coordination of depart-
ments.","516,040,327","115,108,309",22.3,307,0
1.1.1.1.1.1.1.5 County Secretary Total,,,"516,040,327","115,108,309",22.3,307,0
"Devolution &
Public Service","Programme 1: Gen-
eral administration &
planning","Sub-Program 1. 1 General
administration & planning","269,041,321","86,515,357",32.2,307,0
,"Programme 2: Public
Participation & Civic
Education","Sub-Program 2. 1: Public Par-
ticipation & Civic Education","57,119,045","810,357",1.4,307,0
,"Programme 3: Informa-
tion and communication","Sub-Program 3. 1 Information
and communication",-,-,-,307,0
,"Programme 4: Enforce-
ment and compliance","Sub-Program 4. 1 Enforcement
and compliance",-,-,-,307,0
,"Programme 5; Youth
Development Support &
Empowerment","Sub-Program 5. 1 Youth Devel-
opment",-,-,-,307,0
1.1.1.1.1.1.1.6 Devolution & Public Service Total,,,"326,160,366","87,325,714",26.8,307,0
"Education &
ICT","Programme 1: Gen-
eral administration &
planning","Sub-Program 1. 1 General
administration & planning","407,841,625","155,312,223",38.1,307,0
,"Programme 2: Early
childhood education","Sub-Program 1. 1 Early child-
hood education","125,287,670","14,300",-,307,0
,"Programme 3: Technical
training & non-formal
education","Sub-Program 1. 1 Technical
training & non-formal edu-
cation","65,855,529",-,-,307,0
,"Programme 4: Support
to education","Sub-Program 1. 1 Support to
education","56,258,404","20,000",-,307,0
,"Programme 5; ICT
Infrastructure & Systems
Development","Sub-Program 5. 1 ICT Infra-
structure & Systems Develop-
ment","38,795,919","2,308,395",6.0,307,0
,"Programme 6: Sub-Pro-
gram orts Development","Sub-Program 6. 1 Sub-Program
orts Development",-,-,-,307,0
1.1.1.1.1.1.1.7 Education & ICT Total,,,"694,039,147","157,654,918",22.7,307,0
"Finance & So-
cio-Economic
Planning","Programme 1: Gen-
eral administration &
planning","Sub-Program 1. 1 General
administration & planning","1,269,887,340","261,350,683",20.6,307,0
,"Programme 2: Public
financial management","Sub-Program 2.1 Accounting
services","13,321,267","1,719,200",12.9,307,0
,,"Sub-Program 2.2: Budget
formulation, coordination and
management","50,570,000","6,829,530",13.5,307,0
,,"Sub-Program 2.3; Internal
audit services","8,600,000",-,-,307,0
,,"Sub-Program 2.4: Resource
mobilisation","60,120,196","3,584,507",6.0,307,0
,,"Sub-Program 2.5: Supply chain
management services","7,723,200","158,475",2.1,307,0
,,"Sub-Program 2.6; Economic
planning","53,558,480","24,478,287",45.7,307,0
