Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expenditure
Q2 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index,"Approved Orig-
inal Estimates
(Kshs.)","Expenditure
(Kshs.)","Absorption
(%)"
,,A,B,C=A-B,D=B/A*100,168,0,,,
1007004810,"Environmental con-
servation","130,927,152.00","33,253,145.00","97,674,007.00",25.40,168,0,,,
1007014810,"Environmental Pro-
tection","130,927,152","33,253,145","97,674,007",25.40,168,0,,,
Total,,"586,805,455","94,419,789","492,385,666",16.09,168,0,,,
,Grand Total,"16,370,379,454","4,982,668,475","11,387,710,979",30.44,168,0,,,
,,,,C=A-B,,175,1,A,B,D=B/A*100
"County Coordi-
nation Services",County Coordination Services,,,"62,883,378",,175,1,"124,301,145","61,417,767",49.4
"Public sector
advisory services","Economic and Social Adviso-
ry Service",,,-,,175,1,-,-,-
Sub-Total,,,,"62,883,378",,175,1,"124,301,145","61,417,767",49.4
"Administration,
Planning and
Support Services.",Administration Services.,,,"258,478,360",,175,1,"349,157,064","90,678,704",26.0
"Administration,
Planning and
Support Services.","Monitoring Budget Imple-
mentation and Reporting",,,"22,180,717",,175,1,"38,097,235","15,916,518",41.8
"Public Finance
Management","Budget Formulation coordi-
nation and management",,,"60,956,529",,175,1,"70,911,632","9,955,103",14.0
Audit Services,County Audit,,,"6,994,423",,175,1,"13,225,639","6,231,216",47.1
Sub-Total,,,,"348,610,029",,175,1,"471,391,570","122,781,541",26.1
"Policy, Strategy
and Management
of Agriculture","Development of Agricultur-
al Policy, Legal & Regulatory
framework.",,,"19,259,316",,175,1,"31,048,359","11,789,043",38.0
"Crop
Development and
Management","Agriculture Extension Ser-
vices",,,"500,277,397",,175,1,"526,906,021","26,628,624",5.1
,,,,C=A-B,,176,0,A,B,D=B/A*100
"Livestock
Resource
Management and
Development","Livestock Disease Manage-
ment and Control.",,,"40,610,891",,176,0,"41,313,991","703,100",1.7
"Livestock
Resource
Management and
Development","Livestock Production and Ex-
tension Services",,,"31,185,474",,176,0,"55,412,363","24,226,889",43.7
"Fisheries
development","Management and Develop-
ment of Capture Fisheries",,,"9,954,360",,176,0,"10,386,760","432,400",4.2
Sub-Total,,,,"601,287,439",,176,0,"665,067,494","63,780,055",9.6
"Environment pol-
icy development
and coordination","Planning Coordination Policy
and Administrative Services",,,"95,950,014",,176,0,"151,481,140","55,531,126",36.7
"Water supply
services",Rural Water Supply,,,"296,895,742",,176,0,"303,844,666","6,948,924",2.3
Sub-Total,,,,"392,845,756",,176,0,"455,325,806","62,480,050",13.7
"General Admin-
istration & plan-
ning services.","Policy Development and
Administration",,,"173,456,531",,176,0,"340,521,415","167,064,884",49.1
Basic Education,"Early Childhood Develop-
ment Education",,,"326,973,571",,176,0,"339,716,728","12,743,157",3.8
"Gender
and Social
Development","Social Welfare Services/Social
Infrastructure Development",,,"23,471,905",,176,0,"25,595,969","2,124,064",8.3
"Youth
development and
empowerment
services","Youth development (YP)
Training",,,"40,716,947",,176,0,"43,366,170","2,649,223",6.1
Sub-Total,,,,"564,618,954",,176,0,"749,200,282","184,581,328",24.6
Curative Health,Administration and Planning,,,"1,153,061,265",,176,0,"1,793,267,318","640,206,053",35.7
Curative Health,Hospital(curative)Services,,,-,,176,0,-,-,-
"Preventive and
Promotive Health","Preventive Medicine and Pro-
motive Health",,,"661,151,925",,176,0,"1,242,164,061","581,012,136",46.8
,,,,,,176,0,,,
Sub-Total,,,,"1,814,213,190",,176,0,"3,035,431,379","1,221,218,189",40.2
"Administration
and support
services","General Administration and
Planning",,,"32,276,058",,176,0,"49,744,921","17,468,863",35.1
,,,,C=A-B,,177,0,A,B,D=B/A*100
"Land policy
and planning","Development Planning and
Land Reforms",,,"41,594,296",,177,0,"62,046,821","20,452,525",33.0
"Land policy
and planning",Land Use Planning,,,"3,325,713",,177,0,"6,102,443","2,776,730",45.5
Sub-Total,,,,"153,367,914",,177,0,"198,220,629","44,852,715",22.6
"Transport
Management and
Safety","General Administration Plan-
ning and Support Services",,,"44,966,394",,177,0,"74,012,784","29,046,390",39.3
"Infrastructure,
Roads and
Transport",Rehabilitation of Road,,,"494,457,824",,177,0,"496,389,740","1,931,916",0.4
"Infrastructure,
Roads and
Transport","Maintenance of Roads and
Bridges/Periodic Mainte-
nance",,,"28,379,767",,177,0,"31,756,317","3,376,550",10.6
Sub-Total,,,,"567,803,985",,177,0,"602,158,841","34,354,856",5.7
"Trade devel-
opment and
investment","Fairtrade Practices and Con-
sumer Protection (weight &
measures)",,,"63,851,834",,177,0,"81,891,069","18,039,234",22.0
"Trade
development
and investment","Administrative and Support
Services.",,,"9,812,395",,177,0,"13,786,035","3,973,640",28.8
"Cooperative
development and
management","Cooperative Advisory & Ex-
tension Services.",,,"27,810,129",,177,0,"32,004,403","4,194,274",13.1
"Tourism
development
and marketing",Local Tourism Development.,,,"7,000,000",,177,0,"7,000,000",-,-
Sub-Total,,,,"108,474,358",,177,0,"134,681,507","26,207,149",19.5
"Information &
Communication
Service","News and Information Ser-
vices",,,"39,067,566",,177,0,"54,336,604","15,269,038",28.1
"Information &
Communication
Service","ICT and BPO development
services",,,"70,295,727",,177,0,"70,295,727",-,-
Sub-Total,,,,"109,363,293",,177,0,"124,632,331","15,269,038",12.3
"Administration of
Human Resourc-
es and Public
Service","Establishment, Appointment,
Discipline and Board Man-
agement.",,,"29,949,117",,177,0,"56,512,544","26,563,427",47.0
Sub-Total,,,,"29,949,117",,177,0,"56,512,544","26,563,427",47.0
