Programme,"Sub- Pro-
gramme",Approved Estimates,col_3,"Actual Payments of FY 2022-23
(Kshs)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Estimates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",208,0
"Legislation and
Oversight","Legislation and
Oversight","681,635,622","38,417,240","261,470,989",,38.4,-,208,0
Sub Total,,"681,635,622","38,417,240","261,470,989",-,38.4,-,208,0
"Office of the Gov-
ernor and Deputy
Governor","070601 County
Executive Ser-
vices","365,594,668",-,"136,161,113",-,37.2,-,208,0
"County Executive
Administration","070701Coun-
ty Executive
Services",-,"251,446,624",-,"66,391,923",-,26.4,208,0
"Management of
County Affairs","070801 Coordi-
nation of County
Functions","137,652,000",,"29,080,251",-,21.1,-,208,0
"County Executive
Committee
Affairs","070901 Organi-
sation of County
Business","6,200,000",,"112,000",-,1.8,-,208,0
"County Public
Service Board","071001 Human
Resource Man-
agement","14,906,040",,"6,417,400",-,43.1,-,208,0
"Administrative
Support Services","020202 ICT
Governance","3,480,000",,"1,058,500",-,30.4,-,208,0
,"020701 Govern-
ment Buildings
Services","2,567,000",,"1,029,000",-,40.1,-,208,0
,"070411 Audit
Committee","1,919,000",,-,-,-,-,208,0
,"070412 County
Enforcement
Activities","4,185,000",,"400,000",-,9.6,-,208,0
,"070413 ICT
Infrastructure
Development
Management","10,958,800",,"3,485,399",-,31.8,-,208,0
,"070414 ICT Sys-
tems Develop-
ment Manage-
ment","1,522,000",,"522,500",-,34.3,-,208,0
Sub Total,,"548,984,508","251,446,624","178,266,163","66,391,923",32.5,26.4,208,0
,,"Recurrent
Estimates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",209,0
"Public Finance
Management","070401 Finance
Services","547,349,550","19,210,510","146,584,037",-,26.8,-,209,0
,"070402 Revenue
Services","17,300,000",,"9,017,823",-,52.1,-,209,0
,"070404 Procure-
ment and Supply
Services","9,770,000",,"6,585,275",-,67.4,-,209,0
,"070405 Internal
Audit Services","1,718,200",,"50,000",-,2.9,-,209,0
,"070408 Budget
Formulation,
Coordination
and Manage-
ment","8,970,920",,"5,037,800",-,56.2,-,209,0
,"070409 Account-
ing Services","7,945,000",,"3,355,100",-,42.2,-,209,0
"County
Planning and
Economic Policy
Management","070501 Eco-
nomic Planning
Services","15,599,000",,"5,197,612",-,33.3,-,209,0
Sub Total,,"608,652,670","19,210,510","175,827,647",-,28.9,-,209,0
"Curative and
Rehabilitative
Services","040301 Curative
and Rehabilita-
tive Services","2,111,605,163","782,650,068","1,014,980,592","146,843,523",48.1,18.8,209,0
Sub Total,,"2,111,605,163","782,650,068","1,014,980,592","146,843,523",48.1,18.8,209,0
Basic Education,"050101 General
Administration","380,114,905",,"91,229,695",-,24.0,-,209,0
,"050102 Free
Pre-Primary
Education","7,440,000",,"70,000",-,0.9,-,209,0
"State Education
Function Support","050203 Tertiary
Education",-,"4,300,000",-,-,-,-,209,0
"Technical and
Vocational
Training","050301 Village
Polytechnique","678,500",-,"49,200",-,7.3,-,209,0
Sub Total,,"388,233,405","4,300,000","91,348,895",-,23.5,-,209,0
,,"Recurrent
Estimates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",210,0
"Livestock Re-
source Man-
agement and
Development","010102 Livestock
Extension and
Capacity Build-
ing Services","305,000",-,-,-,-,-,210,0
,"010105 Live-
stock Production
Management","2,480,000",-,"1,088,104",-,43.9,-,210,0
,"010106 Live-
stock Disease
Management &
Control","1,200,000",-,-,-,-,-,210,0
"Crop
Development and
Management","010202 Agricul-
tural Extension
Services","1,500,000",-,-,-,-,-,210,0
,"010203 Agri-
business and
Market Develop-
ment","320,000",-,"2,500",-,0.8,-,210,0
,"010206 Land
and Crop Devel-
opment","1,331,000",-,"687,032",-,51.6,-,210,0
,"010207 Food Se-
curity Initiatives","400,000",-,-,-,-,-,210,0
"Kamweti
Agricultural
Training Centre","Extension and
Training",-,-,-,-,-,-,210,0
"Fisheries
Development","010402 Aqua-
culture Develop-
ment","200,000",-,-,-,-,-,210,0
"Policy Strategy
and Management
of Agriculture","010801 Develop-
ment of Agricul-
tural Policy","543,000",-,"280,000",-,51.6,-,210,0
,"011001 General
Administration
and Planning","224,623,628","420,106,201","79,521,602","27,156,162",35.4,6.5,210,0
Sub Total,,"232,902,628","420,106,201","81,579,238","27,156,162",35.0,6.5,210,0
,,"Recurrent
Estimates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",211,0
Culture,"090702 Social
Welfare Services","18,687,000",,"372,000",-,2.0,-,211,0
,"091201 Gender
Administration
Services","30,821,210",,"10,948,487",-,35.5,-,211,0
,"091301 Gender
and Social De-
velopment","1,490,000.00","42,133,334.00","290,000",-,19.5,-,211,0
Youth,"090901 Youth
Development
and Empower-
ment Services","670,000.00",-,-,-,-,-,211,0
Sub Total,,"51,668,210","42,133,334","11,610,487",-,22.5,-,211,0
Sports,"090701 General
Administration","12,721,217",-,"6,665,373",-,52.4,-,211,0
,"090801 Develop-
ment of Sports
and Sports
Facilities",-,"8,466,666",-,-,-,-,211,0
,"091401 Man-
agement &
Development
of Sports and
Sports Facilities","1,905,000",-,"83,000",-,4.4,-,211,0
,"091601Control
& Campaign
Against Drug &
Substance Abuse","1,549,000",-,-,-,-,-,211,0
,"091701 Preser-
vation & Promo-
tion of Heritage
and Culture","248,800",-,-,-,-,-,211,0
Children Services,"091101 Child
Community
Support Services","4,784,000.00",-,"100,000",-,2.1,-,211,0
Sub Total,,"21,208,017","8,466,666","6,848,373",-,32.3,-,211,0
,,"Recurrent
Estimates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",212,0
"Trade Devel-
opment and
Investment","030401 General
Administration
and Planning","38,349,441",-,"18,692,831",-,48.7,-,212,0
,"030103 Capac-
ity Building for
Traders and
SMEs","1,077,000",-,-,-,-,-,212,0
,"030104 promo-
tion, Develop-
ment & Growth
of Trade","354,000",-,-,-,-,-,212,0
,"030105 Fair
Trade Practises
and Consumer
Protection","205,000",-,-,-,-,-,212,0
"Tourism
Development
and Marketing","030302 Tourism
Promotion and
Marketing","195,500",-,"85,000",-,43.5,-,212,0
,"030304 Interna-
tional Tourism
Promotion and
Marketing","310,000",-,"84,400",-,27.2,-,212,0
,"030305 Promo-
tion of Industrial
Development","1,268,500",-,"14,000",-,1.1,-,212,0
,"030306 Provi-
sion of Industrial
Training","140,000",-,-,-,-,-,212,0
"Cooperative
Development
and Marketing","030101 General
Administration
& Planning",-,"13,500,000",-,-,-,-,212,0
,"030405 Cooper-
ative Advisory
and Extension
Services","295,000",-,"14,000",-,4.7,-,212,0
,"030406 Cooper-
ative Education
and Training","416,000",-,"247,000",-,59.4,-,212,0
,"030407 Coop-
erative Gov-
ernance and
Accountability","159,000",-,-,-,-,-,212,0
,,"Recurrent
Estimates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",213,0
"Cooperative
Audit Services","030603 Inspec-
tions and In-
vestigations for
Cooperatives","70,000",-,-,-,-,-,213,0
Sub Total,,"42,839,441","13,500,000","19,137,231",-,44.7,-,213,0
"Water Supply
Services","090101 Water
and Irrigation",-,"72,836,666",-,-,-,-,213,0
"Energy
Programme","090301 Energy
Services","405,000",-,"13,750",-,3.4,-,213,0
"Cleaning
and Waste
Management","090502 Environ-
ment Man-
agement and
Protection","675,800",-,"180,200",-,26.7,-,213,0
"Environment
Management
and Protection","100401 Environ-
ment Man-
agement and
Protection","22,000,000",-,-,-,-,-,213,0
Nema,"090401 Waste
Management
Services","107,408,439",-,"50,182,203",-,46.7,-,213,0
Sub Total,,"130,489,239","72,836,666","50,376,153",-,38.6,-,213,0
