Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
December 2022",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture",186,1
County Assembly,,,,,,,,186,1
"Legislation and Oversight
services","Legislation and Oversight
services","780,400,000",-,"209,391,517",-,26.8,-,186,1
Representation services,Representation services,"53,500,000","100,000,000","57,544,148",-,107.6,-,186,1
"General Administration
and support services","General Administration and
support services","567,798,533",-,"185,466,699",-,32.7,-,186,1
,Sub-Total,"1,401,698,533","100,000,000","452,402,364",-,32.3,-,186,1
Executive Services,,,,,,,,186,1
"General Administration
and support services",,,,,,,-,186,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture",187,0
,"General Administration
Planning and Support
Services","282,967,488",-,"85,564,747",-,30.2,-,187,0
Representation services,,,,,,,-,187,0
,Representation services,"58,613,503",-,"4,212,506",-,7.2,-,187,0
,Sub-Total,"341,580,991",-,"89,777,253",-,26.3,-,187,0
County Public Service Board,,,,,,,,187,0
"Human Resource devel-
opment and management
services",,"78,096,211",-,"14,614,145",-,18.7,-,187,0
,"Human Resource devel-
opment and management
services","78,096,211",-,"14,614,145",-,18.7,-,187,0
,Sub-Total,"78,096,211",-,"14,614,145",-,18.7,-,187,0
"Finance, Economic Planning and ICT",,,,,,,,187,0
"Public Finance Manage-
ment, Economic Policy &
Strategy","General Administration and
support services","1,098,622,359","203,861,778","398,543,273",-,36.3,-,187,0
,Economic planning services,"16,500,000",-,"6,166,898",-,37.4,-,187,0
,"financial management
services","225,764,623",-,"115,781,398",-,51.3,-,187,0
,ICT Services,"71,367,586",-,-,-,-,-,187,0
,Sub-Total,"1,412,254,568","203,861,778","520,491,569",-,36.9,-,187,0
Administration and Public Service,,,,,,,,187,0
"Human resource
development and
management","Human resource develop-
ment and management","19,121,529",-,"2,427,200",-,12.7,-,187,0
"General Administration
Planning and
Support Services","General Administration
Planning and Support
Services","816,866,812","31,000,000","309,723,800",-,37.9,-,187,0
,Sub-Total,"835,988,341","31,000,000","312,151,000",-,37.3,-,187,0
"Agriculture, Crop Production & Irrigation",,,,,,,,187,0
