Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th Decem-
ber 2022",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",365,1
"DEPARTMENT; GOVERNORSHIP, COUNTY COORDINATION AND ADMINISTRATION",,,,,,,,365,1
"Monitoring and
Evaluation","Project Co-
ordination and
Monitoring","3,600,000.00",,"1,525,401.00",,42,-,365,1
"County
Coordination","Office Administra-
tion and Support
Services","55,200,000.00",,"28,216,458.60",,51,-,365,1
"Citizen
Engagement","Public Participa-
tion","6,896,000.00",,"2,685,950.00",,39,-,365,1
"General
Administration
Planning and
Support","County Executive
and Coordination","179,976,902.00",-,"75,897,585.95",,42,-,365,1
Internal Audit,"Audit and Other
Monitoring","5,670,000.00",,"1,030,700.00",,18,-,365,1
"Disaster
Management","Disaster Response
and Mitigation","13,421,000.00",,"3,096,759.00",,23,-,365,1
,Sub Total,"264,763,902.00",-,"112,452,854.55",-,2.16,-,365,1
DEPARTMENT; FINANCE IT AND PLANNING,,,,,,,,365,1
"Revenue Mobili-
sation","Local Revenue
Mobilisation","20,130,000.00",,"12,245,122.30",,61,-,365,1
,"Automation and
Revenue System","500,000.00",,"20,000.00",,4,-,365,1
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",366,0
"Financial
Management
Program","Budget Formu-
lation Coor-
dination and
Management","3,600,000.00",,"1,664,456.00",,46,-,366,0
,"Economic Plan-
ning and CIDP
Review","25,600,000.00",,"2,947,560.00",,12,-,366,0
,"Corporate Gover-
nance","3,990,000.00",,"1,277,400.00",,32,-,366,0
,"Budget Imple-
mentation and
Monitoring","3,660,000.00",,"922,000.00",,25,-,366,0
,"Public Partici-
pation","19,180,000.00",,"6,209,515.00",,32,-,366,0
,"Budget Imple-
mentation and
Monitoring","3,320,000.00",,"1,303,600.00",,39,-,366,0
"General Admin-
istration and
Planning","General Admin-
istration Plan-
ning and support
Services","265,916,609.00","167,000,000.00","108,612,140.30",,41,-,366,0
,Sub Total,"345,896,609.00","167,000,000.00","135,201,793.60",-,39,-,366,0
,,,,,,,,366,0
"Crops Develop-
ment Program","Land and Crops
Development","2,970,000.00",,,,-,,366,0
,"Promotion of
Food Security -
REC","3,850,000.00","632,929,996.00","1,000,000","105,878,127.00",26,17,366,0
