Programme,Sub- Programme,"Approved Budget
(Kshs)",Actual Payments (Kshs),Absorption (%),page_number,table_index
,Sub total,"70,642,221","36,980,700",55.0,127,0
"Tourism And Industrial
Development Services",Value Chain Development Services,"102,467,778",-,-,127,0
,Tourism Development,"8,657,778",-,-,127,0
,Sub total,"111,125,556",-,-,127,0
"Department of Water Sanitation, Irrigation, Environment, Energy and Climate Change",,,,,127,0
"General Administrative
services",Administrative Support Services,"64,325,962","31,922,375",49.6,127,0
,Policy and Planning Services,"43,710,970",-,-,127,0
,Sub total,"108,036,932","31,922,375",29.5,127,0
"Water Supply and Man-
agement Services",Urban Water Supply Services,"28,080,000","14,678,024",52.3,128,0
,Rural Water Supply Services,"161,525,086",-,-,128,0
,"Maintenance of Water Supply Ser-
vices","5,000,000",-,-,128,0
,Sub total,"194,605,086","14,678,024",52,128,0
Energy Services,Electrical Power Services,"34,600,000",-,-,128,0
,Solar Power Services,"23,800,000",-,,128,0
,,"58,400,000",-,-,128,0
"Environmental Protec-
tion and Management
Services","Pollution and Waste Management
services","16,300,000",-,-,128,0
,Forestry Development Services,"5,000,000",-,-,128,0
,Climate Change Services,"16,000,000",-,-,128,0
,Sub total,"37,300,000",-,-,128,0
Department of Finance and Economic Planning,,,,,128,0
"General administration
and support services","Staff Remuneration and Welfare
Support Services","445,823,580","135,969,354",30.5,128,0
,"General Logistics, Coordination and
Asset Management Services","68,239,904","30,036,800",44.0,128,0
,"Devolution and Service Delivery
Support Services","74,093,396","30,110,414",40.6,128,0
,Sub total,"588,156,880","196,116,568",33.3,128,0
"Planning, budgeting and
development coordina-
tion services","Economic planning and develop-
ment services","7,443,600",-,-,128,0
,Resource allocation services,"10,143,100",-,-,128,0
,"Public Participation facilitation ser-
vices","30,000,000","1,620,000",5.4,128,0
,Sub total,"47,586,700","1,620,000",3.4,128,0
"Resource mobilisation
services","External Resources Mobilization
Services","10,080,000",-,-,128,0
,"Internal Revenue Generation Ser-
vices","24,173,396",-,-,128,0
,Sub total,"34,253,396",-,-,128,0
,"Accounting and Financial Reporting
Services","22,000,000",-,-,128,0
,Audit and Advisory Services,"6,000,000",-,-,128,0
"Financial management
services",Emergency Management Services,"72,000,000",-,-,128,0
,Sub total,"100,000,000",-,-,128,0
Executive Office of the Governor,,,,,128,0
"Public service adminis-
tration support services","Human resource management and
development services","443,059,207","209,409,625",47.3,128,0
,Planning And Monitoring Services,"2,000,000",-,-,128,0
,Legal Services,"5,000,000",-,-,128,0
,Sub total,"450,059,207","209,409,625",46.5,128,0
"Governance and coordi-
nation services","Executive management and liaison
services","141,982,096","64,722,138",45.6,129,0
,"Field coordination and administra-
tion services","14,000,000","3,612,138",25.8,129,0
,Sub total,"155,982,096","68,334,276",43.8,129,0
"Strategy and service de-
livery improvement ser-
vices",Strategy and advisory services,"10,000,000","4,000,000",40.0,129,0
,Efficiency monitoring services,"10,000,000","3,000,000",30.0,129,0
,"Information and communication
services","6,150,000","2,500,000",40.7,129,0
