Program,Sub Program,"Approved Budget
(Kshs.)","Actual Expenditure
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Agriculture and
Livestock Devel-
opment","Administration, planning
support services","7,686,567.50","3,029,870.00","4,656,697.50",39.42,501,0
,"Administration, planning
support services","7,686,567.50","3,029,870.00","4,656,697.50",39.42,501,0
,"Agricultural Development
project","187,463,946.00","13,188,450.00","174,275,496.00",7.04,501,0
,"Agricultural Mechaniza-
tion Services (AMS Garsen
station)","39,132,250.00","5,180,500.00","33,951,750.00",13.24,501,0
,,"80,584,833.00","507,950.00","80,076,883.00",0.63,501,0
,,"800,000.00",-,800000,0.00,501,0
,,"51,193,097.00","5,000,000.00","46,193,097.00",9.77,501,0
,"Agriculture Sector Devel-
opment Support Project
(ASDSP)","15,130,916.00","2,500,000.00","12,630,916.00",16.52,501,0
,"Food and Agriculture Orga-
nization","622,850.00",-,622850,-,501,0
,Veterinary Development,"6,215,909.00","1,157,300.00","5,058,609.00",18.62,501,0
,Veterinary extension services,"559,250.00","240,000.00","319,250.00",42.91,501,0
,"Artificial insemination (Pilot
scheme)","342,500.00","231,500.00","111,000.00",67.59,501,0
,"Buy Tsetse fly traps/Targets
(Kipini, Tarasaa)","1,234,436.00","212,000.00","1,022,436.00",17.17,501,0
,Conduct Disease Surveillance,"3,297,300.00","241,000.00","3,056,300.00",7.31,501,0
,,"591,423.00","90,000.00","501,423.00",15.22,501,0
,Leather Development Service,"191,000.00","142,800.00","48,200.00",74.76,501,0
,Livestock Development,"34,100,797.50","582,550.00","33,518,247.50",1.71,501,0
,"Livestock production exten-
sion services","1,198,297.50","282,750.00","915,547.50",23.60,501,0
,,"32,902,500.00","299,800.00","32,602,700.00",0.91,501,0
,Fisheries Development,"27,363,685.00","7,327,000.00","20,036,685.00",26.78,501,0
,Fisheries development,"27,363,685.00","7,327,000.00","20,036,685.00",26.78,502,0
,Agribusiness,"50,000,000.00",-,"50,000,000",-,502,0
,Agribusiness,"50,000,000.00",-,"50,000,000",-,502,0
,Fisheries,"8,861,185.00","130,430.00","8,730,755.00",1.47,502,0
,"Empowerment of Women
and Youth on Fish Safety and
Quality Assuran","760,000.00","130,430.00","629,570.00",17.16,502,0
,"Construction of Ice Plant and
Cold Storage","8,101,185.00",-,8101185,-,502,0
"Lands & Physi-
cal Planning",Land Policy and Planning,"31,545,281.00","1,834,250.00","29,711,031.00",5.81,502,0
,Physical Planning,"10,319,122.50","1,362,000.00","8,957,122.50",13.20,502,0
,Land Survey and Mapping,"17,638,908.50","61,000.00","17,577,908.50",0.35,502,0
,Land Administration,"3,587,250.00","411,250.00","3,176,000.00",11.46,502,0
,"Infrastructure Development
programme","116,178.00",-,116178,-,502,0
,Roads,"116,178.00",-,116178,-,502,0
"Roads & Public
Works","Administration, Planning
and Support Services","18,150,448.00","1,673,118.40","16,477,329.60",9.22,502,0
,"Administration, planning,
Operation and Maintenance","17,225,881.50","1,234,418.40","15,991,463.10",7.17,502,0
,Monitoring and Evaluation,"924,566.50","438,700.00","485,866.50",47.45,502,0
,Public Works,"139,326,000.00","366,740.50","138,959,259.50",0.26,502,0
,Maintenance,"5,000,000.00",-,"5,000,000",-,502,0
,Construction,"5,000,000.00",-,"5,000,000",-,502,0
,County Headquarters,"109,326,000.00","366,740.50","108,959,259.50",0.34,502,0
,Governor's Residence,"20,000,000.00",-,"20,000,000",-,502,0
,County Roads Development,"291,825,531.50","674,900.00","291,150,631.50",0.23,502,0
,Routine Maintenance,"73,064,165.00","226,700.00","72,837,465.00",0.31,502,0
,Opening of New Roads,"82,938,866.50","322,200.00","82,616,666.50",0.39,502,0
,"Grading and Murruming of
County Roads","822,500.00","126,000.00","696,500.00",15.32,502,0
,Tarmacking of County Roads,"135,000,000.00",-,"135,000,000",-,502,0
,"County Housing Develop-
ment","14,942,390.00","293,900.00","14,648,490.00",1.97,502,0
,Housing Development,"3,741,390.00","293,900.00","3,447,490.00",7.86,502,0
,Urbanisation,"11,201,000.00",-,11201000,-,502,0
,Urban Development,"25,937,817.00","16,221,980.20","9,715,836.80",62.54,502,0
,Hola Municipality,"25,937,817.00","16,221,980.20","9,715,836.80",62.54,502,0
"Trade & Tour-
ism","Promotion of Trade,
Tourism and Cooperative
Development","52,799,849.00","6,907,529.00","45,892,320.00",13.08,502,0
,Promotion of Trade,"44,399,924.50","3,309,800.00","41,090,124.50",7.45,502,0
,Promotion of Tourism,"5,039,954.50","1,848,200.00","3,191,754.50",36.67,503,0
,"Promotion of Cooperative
Development","3,359,970.00","1,749,529.00","1,610,441.00",52.07,503,0
,"Administration and Support
Services","506,441,625.50","32,951,765.05","473,489,860.45",6.51,503,0
,"Administration, planning &
support Services","503,975,359.50","32,724,965.05","471,250,394.45",6.49,503,0
,"Health Policy, planning and
financing","2,466,266.00","226,800.00","2,239,466.00",9.20,503,0
,Curative and Rehabilitative,"153,775,000.00","5,048,200.00","148,726,800.00",3.28,503,0
,Medical Supplies,"71,325,000.00","1,170,000.00","70,155,000.00",1.64,503,0
,Medical Services,"18,100,000.00","2,146,700.00","15,953,300.00",11.86,503,0
,Ambulance Services,"4,350,000.00","1,731,500.00","2,618,500.00",39.80,503,0
,SP4 Curative Services,"60,000,000.00",0,"60,000,000",0.00,503,0
,Preventive and Promotive,"15,622,929.50","6,086,880.00","9,536,049.50",38.96,503,0
,Preventive and Promotive,"8,200,000.00","2,336,940.00","5,863,060.00",28.50,503,0
,"Licensing and Control of
Undertaking","4,522,929.50","1,921,860.00","2,601,069.50",42.49,503,0
,Mobile Clinics,"2,900,000.00","1,828,080.00","1,071,920.00",63.04,503,0
,"General Administration,
Planning and Support
services","78,787,164.50","77,688,800.00","1,098,364.50",98.61,503,0
,"General Operation, Planning
and Support Services","78,787,164.50","77,688,800.00","1,098,364.50",98.61,503,0
"Education &
Vocational
Training","Quality and Standard Assur-
ance in EYE Center","18,982,500.00","468,200.00","18,514,300.00",2.47,503,0
,"ECDE Learning/Teaching
Materials","1,132,500.00","468,200.00","664,300.00",41.34,503,0
,"ECDE Furniture and Equip-
ment Support","17,850,000.00",-,"17,850,000",-,503,0
,"Quality and Standards As-
surance","11,500,000.00",-,"11,500,000",-,503,0
,"Provision of Modern Tools
and Equipment","30,628,163.50",-,"30,628,163",-,503,0
,"Subsidised Youth Polytechnic
Tuition Fund (SYPT)","7,500,000.00",-,"7,500,000",-,503,0
,"Administration, planning
support services","165,445,050.50","90,434,324.35","75,010,726.15",54.66,503,0
,"Coordination and Superviso-
ry Services","165,445,050.50","90,434,324.35","75,010,726.15",54.66,503,0
,ICT Infrastructure,"7,500,000.00",-,7500000,-,503,0
,Develop ICT infrastructure,"7,500,000.00",-,7500000,-,504,0
,"Administration, planning
support services","1,534,284,675.50","612,310,664.00","706,923,891.80",39.91,504,0
,"Administration, planning
support services","1,534,284,675.50","612,310,664.00","706,923,891.80",39.91,504,0
"Finance & Eco-
nomic Planning",Financial Management,"68,848,838.00","28,533,427.00","40,315,411.00",41.44,504,0
,Financial management,"2,894,674.50","2,176,000.00","718,674.50",75.17,504,0
,Supply Chain Management,"10,350,000.00","4,992,607.00","5,357,393.00",48.24,504,0
,"Own Source Revenue Col-
lection","10,810,000.00","2,250,500.00","8,559,500.00",20.82,504,0
,"Budget and Economic Plan-
ning","16,812,847.00","5,938,550.00","10,874,297.00",35.32,504,0
,Accounting & Finance,"12,600,000.00","6,870,070.00","5,729,930.00",54.52,504,0
,Internal Audit,"6,391,055.00","1,303,100.00","5,087,955.00",20.39,504,0
,Monitoring and Evaluation,"8,990,261.50","5,002,600.00","3,987,661.50",55.64,504,0
,"Board Administration, Plan-
ning and Governance","32,703,502.00","17,851,228.50","14,852,273.50",54.59,504,0
,"Board Operations & Gover-
nance","32,703,502.00","17,851,228.50","14,852,273.50",54.59,504,0
,,"3,974,050.00","2,534,000.00","1,440,050.00",63.76,504,0
,"Ethics Governance and Com-
pliance","953,480.00","329,300.00","624,180.00",34.54,504,0
,"Human Resource Manage-
ment & Development","2,131,158.00","1,630,700.00","500,458.00",76.52,504,0
,"Skills and Competence Devel-
opment","889,412.00","574,000.00","315,412.00",64.54,504,0
,,"192,914,675.50","20,791,360.00","172,123,315.50",10.78,504,0
,"Performance Management
System","2,100,000.00","300,560.00","1,799,440.00",14.31,504,0
,"Human Resource Develop-
ment","190,814,675.50","20,490,800.00","170,323,875.50",10.74,504,0
,,"50,800,000.00","31,361,200.00","19,438,800.00",61.73,504,0
,County Administration,"48,550,000.00","30,667,000.00","17,883,000.00",63.17,504,0
,County Enforcement,"2,250,000.00","694,200.00","1,555,800.00",30.85,504,0
,,"3,050,000.00","1,379,300.00","1,670,700.00",45.22,504,0
,Citizen Participation,"3,050,000.00","1,379,300.00","1,670,700.00",45.22,504,0
,,"72,939,000.00","36,192,462.50","36,746,537.50",49.62,504,0
,"County Leadership & Coordi-
nation of CDAs","19,250,000.00","8,481,569.00","10,768,431.00",44.06,504,0
,"County Government Adviso-
ry Service","37,439,000.00","19,821,827.50","17,617,172.50",52.94,505,0
,"Coordination of Peace and
Cohesion","16,250,000.00","7,889,066.00","8,360,934.00",48.55,505,0
,"Administration, planning
support services","7,656,336.00","2,340,600.00","5,315,736.00",30.57,505,0
,"Administration, planning
support services","7,656,336.00","2,340,600.00","5,315,736.00",30.57,505,0
,"Natural Disaster mitigation
programme","67,412,547.50","66,652,040.00","760,507.50",98.87,505,0
,"Drought management
(Preparedness, Response and
Recovery)","750,000.00","489,500.00","260,500.00",65.27,505,0
,"Emergency Relief (food, med-
icine, blankets, cash grant)","66,662,547.50","66,162,540.00","500,007.50",99.25,505,0
,,"1,000,000.00","215,600.00","784,400.00",21.56,505,0
,"Food Distribution and
Rations","250,000.00","215,600.00","34,400.00",86.24,505,0
,"Capacity Building to Re-
sponse to Fire Outbreaks and
Other Disasters","250,000.00",-,"250,000",-,505,0
,Resettlement of Victims,"500,000.00",-,"500,000",-,505,0
,,"7,975,000.00","1,538,910.00","6,436,090.00",19.30,505,0
,"Culture Promotion and De-
velopment","5,375,000.00","914,455.00","4,460,545.00",17.01,505,0
