Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
December 2022",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",53,1
Administration and Public Service,,,,,,,,53,1
"Administration
and Public Ser-
vice",County Executive,"181,673,227",-,"133,308,562",-,73.4,-,53,1
,County PSB,"37,277,376","45,089,411","17,044,300",-,45.7,-,53,1
,"Administration/Gover-
nance","29,695,962","22,000,000","15,410,699",-,51.9,-,53,1
,Public Service,"1,899,058,051",-,"871,768,608",-,45.9,-,53,1
,Sub Total,"2,147,704,616","67,089,411","1,037,532,169",-,48.3,-,53,1
"Finance, Economic Planning and ICT",,,,,,,,53,1
Finance,Administration,"135,066,000","64,934,000","103,130,370","6,000,000",76.4,9.2,53,1
,Sub total,"135,066,000","64,934,000","103,130,370","6,000,000",76.4,9.2,53,1
"Economic Plan-
ning",Administration,"37,256,683","260,000,000","25,946,562","16,593,192",69.6,6.4,53,1
,"Budget Preparation &
Management","7,400,528",-,"4,787,000",-,64.7,-,53,1
,M & E Services,"4,345,766",-,"2,493,300",-,57.4,-,53,1
,Planning & Statistics,"27,290,556",-,"12,029,600",-,44.1,-,53,1
,Sub total,"76,293,532","260,000,000","45,256,462","16,593,192",59.3,6.4,53,1
ICT,Administration,"22,478,654","14,000,000","3,024,450",-,13.5,-,53,1
,Sub-Total,"22,478,654","14,000,000","3,024,450",-,13.5,-,53,1
"Agriculture, Livestock and Cooperatives",,,,,,,,53,1
Agriculture,Administration,"41,907,309",-,"2,000,000",-,4.8,-,53,1
,Crop Management,-,"137,414,129",-,-,-,-,53,1
,Food & Nutrition Security,-,"9,500,000",-,-,-,-,53,1
,Sub total,"41,907,309","146,914,129","2,000,000",-,4.8,-,53,1
"Livestock. Fish-
eries & veteri-
nary Services",Livestock Development,-,"11,500,000",-,-,-,-,53,1
,Fisheries Development,-,"5,200,000",-,-,-,-,53,1
,Veterinary Services,-,"48,800,000",-,-,-,-,53,1
,Sub total,-,"65,500,000",-,-,-,-,53,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",54,0
"Co-operatives &
Enterprise De-
velopment",Administration,"31,000,000",,"9,305,000",-,30.0,-,54,0
,"Policy Formulation & Ad-
min",-,"3,500,000",-,-,-,-,54,0
,"Co-operative Develop-
ment",-,"39,989,000",-,-,-,-,54,0
,"Value Addition & Market-
ing",-,"10,502,633",-,-,-,-,54,0
,Enterprise Development,-,"15,500,000",-,-,-,-,54,0
,Sub-Total,"31,000,000","69,491,633","9,305,000",-,30.0,-,54,0
Water Sanitation and Environment,,,,,,,,54,0
"Water & Irriga-
tion",Administration,"130,286,220","6,000,000","37,659,000",-,28.9,-,54,0
,"Development of Water
Supply for Domestic and
Commercial purposes",0,"179,107,100",-,-,-,-,54,0
,Irrigation Development,0,"3,000,000",-,-,-,-,54,0
,Sub total,"130,286,220","188,107,100","37,659,000",-,28.9,-,54,0
"Waste Water
Management",Waste Water management,0,"1,000,000",-,-,-,-,54,0
,Sub total,0,"1,000,000",-,-,-,-,54,0
"Environment
& Natural Re-
sources",Administration,"26,892,900","600,000","2,000,000",-,7.4,-,54,0
,"Environmental and nat-
ural resources protection
and conservation",0,"189,400,000",-,-,-,-,54,0
,Sub-Total,"26,892,900","190,000,000","2,000,000",-,7.4,,54,0
Education and Vocational Training,,,,,,,,54,0
"Education &
Vocational
Training","Policy Planning & General
Administration","135,879,750",-,"65,210,627",-,48.0,-,54,0
,"Early Childhood Develop-
ment and Education",-,"176,200,000",-,-,-,-,54,0
,"Technical Vocational Edu-
cational and Training",-,"30,544,433",-,-,-,-,54,0
,Sub total,"135,879,750","206,744,433","65,210,627",-,48.0,,54,0
"Lands, Housing and Urban Planning",,,,,,,,54,0
"Lands, Housing
& Urban Devel-
opment",Lands,"12,065,000","35,000,000",-,-,-,-,54,0
,Urban Management,"23,615,218","20,000,000","2,188,700",-,9.3,-,54,0
,Housing Development,"9,350,000",-,"250,000",-,2.7,-,54,0
,Municipality,"53,000,000","10,000,000","2,000,000",-,3.8,-,54,0
,Sub total,"98,030,218","65,000,000","4,438,700",-,4.5,-,54,0
"Roads, Public Works and Transport",,,,,,,,54,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",55,0
"Roads, Pub-
lic Works and
Transport","Policy planning and ad-
ministrative services","99,673,772","2,500,000","11,089,100",-,11.1,-,55,0
,"Roads Construction &
Maintenance",-,"292,326,228",-,"118,525,822",-,40.5,55,0
,"Development and Main-
tenance of other Public
works",-,"71,000,000",-,-,-,-,55,0
,"County Transport Infra-
structure",-,"29,500,000",-,-,-,-,55,0
,Sub total,"99,673,772","395,326,228","11,089,100","118,525,822",11.1,30.0,55,0
"Trade, Energy, Tourism and Industry",,,,,,,,55,0
"Trade, Energy,
Tourism and
Industry",Administration,"18,269,882",-,"2,501,680",-,13.7,-,55,0
,Trade Development,-,"12,000,000",-,-,-,-,55,0
,Energy Development,-,"11,000,000",-,-,-,-,55,0
,Tourism Development,-,"10,000,000",-,-,-,-,55,0
,Industry,-,"9,000,000",-,-,-,-,55,0
,Investment,-,"8,000,000",-,-,-,-,55,0
,Sub total,"18,269,882","50,000,000","2,501,680",-,13.7,-,55,0
"Youth, Sports, Gender and Culture",,,,,,,,55,0
"Youth, Sports
Gender and
Culture","Policy Development and
Administrative Services","8,626,300","19,500,000","1,410,100",-,16.3,-,55,0
,"Gender, Children Services
and Social Protection","47,000,000",-,"8,790,000",-,18.7,-,55,0
,Sub total,"55,626,300","19,500,000","10,200,100",-,18.3,-,55,0
Medical Services and Public Health,,,,,,,,55,0
"Medical Ser-
vices and Pub-
lic Health","Administration, Planning
and Support Services","1,266,555,662",-,"580,929,438",-,45.9,-,55,0
,Policy Development,"5,000,000",-,-,-,-,-,55,0
,"Healthcare financing –
transfers to health facilities","188,019,221",-,"80,482,000",-,42.8,-,55,0
,Curative Services,"215,383,102",-,"38,425,892",-,17.8,-,55,0
,"Preventive and Promotive
Services","111,629,352",-,-,-,-,-,55,0
,"Reproductive Health Ser-
vices","15,000,000",-,-,-,-,-,55,0
,"Health Infrastructure De-
velopment",-,"212,721,805",-,-,-,-,55,0
,Sub total,"1,801,587,337","212,721,805","699,837,330",-,38.8,-,55,0
The County Assembly,,,,,,,,55,0
