Programme,Sub-Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual Ex-
penditure Q2
FY 2022/23
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
General administration,General administration,"492,000",-,"492,000",-,346,0
,"Infrastructure and Health facility
management","53,291,500",-,"53,291,500",-,346,0
,Purchase of Non-pharmaceuticals,"117,368,919",-,"117,368,919",-,346,0
,General administration,"1,809,310,568","813,092,456","996,218,112",45,346,0
,"Health standards, quality assur-
ance and standards","1,836,000",-,"1,836,000",-,346,0
,"Human Resource Management &
development","3,525,000",-,"3,525,000",-,346,0
External Funding,Conditional Grants,"76,648,936",-,"76,648,936",-,346,0
Maternal Health Services,Maternal Health Services,"1,256,000",-,"1,256,000",-,346,0
"Preventive, promotive
Health services and
Disease Control",Human Nutrition and Dietetics,"1,025,000",-,"1,025,000",-,346,0
,Malaria,"1,115,000",-,"1,115,000",-,346,0
,HIV/AIDS and TB,"1,585,000",-,"1,585,000",-,346,0
,"Disease surveillance /Emergency
preparedness& response","10,145,000","445,500","9,699,500",4,346,0
,Health promotion & education,"775,000","144,883","630,117",19,346,0
,"Non Communicable Diseases,
Violence and Injuries","6,760,000","1,987,690","4,772,310",29,346,0
"Curative, Rehabilitative
and Referral services",Hospital Services,"3,065,200","533,745","2,531,455",17,346,0
Sub total,,"2,088,199,123","816,204,275","1,271,994,848",39,346,0
Public health,,,,,,346,0
,,A,B,C=A-B,D=B/A*100,347,0
"Planning and administrative
support services","Health management informative
system","17,615,750","4,521,250","13,094,500",26,347,0
,"Administrative and support
services","48,724,000","5,265,354","43,458,646",11,347,0
,"Standards, quality assurance &
regulations","34,659,000",-,"34,659,000",-,347,0
,"Human resource management &
development","102,329,968","2,766,000","99,563,968",3,347,0
"Preventive and promotive
health services",Community health services,"5,520,000",,"5,520,000",0,347,0
,"Sanitation and environmental
health services","4,428,000","1,750,000","2,678,000",40,347,0
,Human nutrition and dietetics,"2,688,000","1,900,000","788,000",71,347,0
,HIV and AIDS management,"3,300,000",-,"3,300,000",-,347,0
,Disease surveillance,"3,208,000","2,384,000","824,000",74,347,0
,"Emergency preparedness and
response","4,500,000",-,"4,500,000",-,347,0
,Health promotion,"2,350,000",-,"2,350,000",-,347,0
,Family& reproductive health,"3,143,000",-,"3,143,000",-,347,0
,"Non-communicable diseases
(NCDs)","4,478,000",,"4,478,000",-,347,0
,"Maternal child and adolescence
health services","11,388,000","7,886,604","3,501,396",69,347,0
External funding,Donor funds,"19,438,750","3,446,420","15,992,330",18,347,0
LINDA MAMA,"Health Centres and dispensaries
Linda Mama reimbursement (140
facilities)","13,760,000",-,"13,760,000",-,347,0
,"Hospital Linda Mama reimburse-
ment (14 hospitals)","26,500,000",-,"26,500,000",-,347,0
"Curative, rehabilitative
and referral services","Pharmaceutical and non-phar-
maceutical commodities","151,437,385",,"151,437,385",-,347,0
,Emergency and referral services,"5,556,000",-,"5,556,000",-,347,0
,Malaria Control,"3,520,000",-,"3,520,000",-,347,0
,Tuberculosis Control,"2,180,000",-,"2,180,000",-,347,0
