Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expenditure
Q2 FY 2022/23
(Kshs.)",Variance (Kshs.),page_number,table_index,"Absorption
Rate (%)"
"0301003210 P1 Adminis-
tration, planning & support
Services","SP1 Administration
Services","32,504,938","15,046,846","17,458,092",286,0,46.3
"0302003210 P2 Tourism
Promotion","SP2 Promotion &
Marketing","21,310,046","15,464,550","5,845,496",286,0,72.6
"0303003210 P3 Trade Devel-
opment",,"25,459,270","308,700","25,150,570",286,0,1.2
,"0303013210 SP1
Trade Promotion","10,379,153",308700,"10,070,453",286,0,3.0
,"0303033210 SP3 Mar-
ket development","15,080,117",-,"15,080,117",286,0,-
"0305003210 P5 Industrial
Development & Investment","SP2 SME Develop-
ment","706,407",-,"706,407",286,0,-
"Vote 3221000000 COUNTY PUBLIC SERVICE
BOARD",,"49,355,324","19,543,076","29,812,248",286,0,39.6
"0709003210 P9 Administra-
tion, planning and support
services.","SP1 Administration
Services","41,876,142","17,737,806","24,138,336",286,0,42.4
"0710003210 P10 Human
Resource Management &
Development","Human Resource
Management and
Development","7,479,182","1,805,270","5,673,912",286,0,24.1
"Vote 3223000000 WATER MANAGEMENT AND
CONSERVATION",,"203,147,474","15,732,530","177,240,089",286,0,7.7
"0105003210 P5 Water man-
agement, Conservation &
Provision","P1 SP5.1 Admin-
istration Services
3223000101","182,972,974","5,732,885.5","177,240,089",286,0,3.1
,"SP5.2 Conservation &
Provision 3223000201","20,174,500","9,999,644",-,286,0,-
"Vote 3224000000 GENDER, YOUTH AFFAIRS,
SPORTS, CULTURE AND SOCIAL SERVICES",,"81,593,251","5,819,996","75,773,255",286,0,7.1
"0101003210 P1 Adminis-
tration, planning & support
Services","SP1 Administration
Services","19,595,252","4,738,496","14,856,756",286,0,24.2
"0503003210 P3 Sports &
Youth Development",Youth and Sports (D),"23,997,999","1,081,500","22,916,499",286,0,4.5
,,A,B,C=A-B,287,0,D=B/A*100
"0504003210 P4 Social Ser-
vices",,"38,000,000",-,"38,000,000",287,0,-
,"0504013210 SP1 So-
cial Development","30,000,000",-,"30,000,000",287,0,-
,"0504023210 SP2
Woman Empower-
ment","8,000,000",-,"8,000,000",287,0,-
"Vote 3225000000 PUBLIC HEALTH, ENVIRON-
MENT AND SANITATION",,"98,059,258","30,775,218","55,784,040",287,0,31.4
"0404003210 P4 Environmen-
tal Health & Sanitation",,"11,500,000",,,287,0,
,"0404013210 SP1
Waste management","3,600,000",,,287,0,
,"0404023210 SP2 Pub-
lic Health & licencing","7,900,000",,,287,0,
"0501003210 P1 General Ad-
ministration, Planning and
Support services","SP1 Administration
Services","86,559,258","30,775,218","55,784,040",287,0,35.6
,,,,,287,0,
Vote 3226000000 FISHERIES,,"56,899,812","11,465,207","45,434,605",287,0,20.1
0109003210 P9 Fish farming,SP1 Fish farming,"25,000,000",,"25,000,000",287,0,-
"0709003210 P9 Administra-
tion, planning and support
services.","SP1 Administration
Services","31,899,812","11,465,207","20,434,605",287,0,35.9
,,,,,287,0,
"Vote 3227000000 BUDGET AND ECONOMIC
PLANNING",,"25,809,135","9,663,876","16,145,259",287,0,37.4
"0711003210 P11 Adminis-
tration, planning support
services","SP1 Administration
Services","15,685,964","7,120,804","8,565,160",287,0,45.4
"0713003210 P13 Economic
planning","Budget and Economic
Planning","10,123,171","2,543,072","7,580,099",287,0,25.1
,,,,,287,0,
"Vote 3228000000 INFRASTRUCTURE AND EN-
ERGY",,"234,001,448","19,307,208","214,694,240",287,0,8.3
"0101003210 P1 Adminis-
tration, planning & support
Services","SP1 Administration
Services","49,001,448","19,307,208","29,694,240",287,0,39.4
"0104003210 P4 Infrastruc-
ture Development","SP1 Infrastructure
Development","185,000,000",-,"185,000,000",287,0,-
,,,,,287,0,
Vote 3229000000 LAMU MUNICIPALITY,,"283,421,550","15,764,422","267,657,128",287,0,5.6
"0101003210 P1 Adminis-
tration, planning & support
Services",,"50,358,719","15,764,422","34,594,297",287,0,31.3
,"SP1 Administration
Services","42,938,719","15,747,422","27,191,297",287,0,36.7
,"Kenya Urban Support
Programme","7,420,000","17,000","7,403,000",287,0,0.2
"0104003210 P4 Infrastruc-
ture Development","SP1 Infrastructure
Development","233,062,831",-,"233,062,831",287,0,-
,,,,,287,0,
Grand Total,,"4,640,527,536","1,163,967,795","3,164,015,102",287,0,25.1
