Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
December 2022",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",114,1
"Department of Agriculture, Livestock and Cooperative",,,,,,,,114,1
Agriculture,"Administration
and Support
Service","104,551,581","134,506,739","44,200,000",-,42.3,-,114,1
,"Extension Service
and Exhibition","1,200,000","10,000,000",-,-,-,-,114,1
"Livestock
Production","Livestock Adminis-
tration","56,545,802","80,912,850","16,591,000",-,29.3,-,114,1
,"Livestock Produc-
tion","5,550,000",-,-,-,-,-,114,1
,Veterinary Service,"3,350,000","20,000,000",-,-,-,-,114,1
Fish Production,Fisheries Service,"200,000",-,-,-,-,-,114,1
Cooperative,"Cooperative Devel-
opment","600,000",-,,,,-,114,1
,Sub Total,"171,997,383","245,419,589","60,791,000",-,35.3,-,114,1
"Department of Environment, Energy, Natural Resource and Wildlife Management",,,,,,,,114,1
"Environment
Service","Administration and
Support Service","70,243,025","95,000,000","12,509,497",-,17.8,-,114,1
,"Environment Man-
agement","1,100,000",-,-,-,-,-,114,1
,Natural Resource,"1,600,000",-,-,-,-,-,114,1
"Energy
Development
Program","Energy Develop-
ment","1,205,000",-,-,-,-,-,114,1
,Sub-Total,"74,148,025","95,000,000","12,509,497",-,16.9,-,114,1
Department of Road and Transport,,,,,,,,114,1
Road,"Administration and
Support Service","37,906,400",-,"8,775,000",-,23.2,-,114,1
,Road,"2,417,200","125,000,000","1,000,000",-,41.3,-,114,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",115,0
,Sub-Total,"40,323,600","125,000,000","9,775,000",-,24.3,-,115,0
"Department of Trade, Tourism and Enterprise",,,,,,,,115,0
"Administration
and Support
Service","Administration
Support Service","75,447,996",-,"26,400,000",-,35.0,-,115,0
Trade,Trade,"2,400,000","50,000,000",-,-,-,-,115,0
"Weight and
Measure","Weight and Mea-
sure","1,350,000",-,-,-,-,-,115,0
Tourism,Tourism,"802,259",-,-,-,-,-,115,0
,Sub- Total,"80,000,255","50,000,000","26,400,000",-,33.0,-,115,0
Department of Health and Sanitation,,,,,-,,-,115,0
"Administration
and Support
Service","Administration and
Support Service","2,481,840,055","110,638,298","1,320,644,676",-,53.2,-,115,0
Curative Service,Curative,"165,151,610","260,000,000","123,891,275",-,75.0,-,115,0
"Preventive
Service","Health promotion
and Campaign","4,216,604",-,"126,891,275",-,3009.3,-,115,0
,Sub Total,"2,651,208,269","370,638,298","1,570,535,951",-,59.2,-,115,0
Education and Labour,,,,,,,,115,0
"Education
Service","Administration and
Support Service","489,889,663",-,"204,450,000",-,41.7,-,115,0
,ECD,"20,412,400","40,000,000","800,000",-,3.9,-,115,0
,"Vocational Train-
ing","2,601,200","10,000,000","200,000",-,7.7,-,115,0
"Public Service
and Human
Resource",Human Resource,"98,991,478","10,000,000","9,600,000",-,9.7,-,115,0
,ICT and Libraries,"22,282,733",-,"3,298,000",-,14.8,-,115,0
,Sub Total,"634,177,474","60,000,000","218,348,000",-,34.4,-,115,0
County Assembly,,,,,,,,115,0
"Administration
and Support
Service","Administration and
Support Service","853,384,051","133,300,704","335,328,039","8,679,467",39.3,6.5,115,0
,Sub Total,"853,384,051","133,300,704","335,328,039","8,679,467",39.3,6.5,115,0
County Executive,,,,,,,-,115,0
"Executive
Service","Governors Oper-
ation","118,449,050","75,000,000","25,200,000",-,21.3,-,115,0
,"Deputy Governors
Operation","37,120,000",-,"18,920,000",-,51.0,-,115,0
,Street Lighting,"50,656,215",-,"26,240,000",-,51.8,-,115,0
,"Operation and
Sub-County Ad-
ministration","100,810,000",-,"73,250,000",-,72.7,-,115,0
,"Intergovernmental
and Institutional
relation","18,812,430",-,"3,800,000",-,20.2,-,115,0
,County Attorney,"18,000,000",-,"4,480,000",-,24.9,-,115,0
,Sub Total,"343,847,695","75,000,000","151,890,000",-,44.2,-,115,0
"Finance, Revenue, Economic Planning and County Affairs",,,,,,,,115,0
"Administration
and Support
Service","Administration and
Support Service","678,212,073","1,256,917,267","133,502,680","103,000,000",19.7,8.2,115,0
,Special Program,"130,940,000",-,"29,430,000",-,22.5,-,115,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",116,0
"Public Finance
Management",Accounting Service,"3,713,739",-,-,-,-,-,116,0
,"Budget Formula-
tion","11,780,000",-,"1,350,000",-,11.5,-,116,0
,Audit Service,"3,862,600",-,"400,000",-,10.4,-,116,0
,Economic Planning,"43,086.000",-,"11,070,000",-,25.7,-,116,0
,"Revenue Manage-
ment","151,727,781",-,"63,535,000",-,41.9,-,116,0
,"Supply Chain Man-
agement","5,630,000",-,"600,000",-,10.7,-,116,0
"Donor Coordi-
nation","Donor Coordina-
tion","16,780,548",-,"3,461,995",-,20.6,-,116,0
,Sub Total,"1,045,732,741","1,256,917,267","243,349,967","103,000,000",23.3,8.2,116,0
"Gender, Social Services and Sport",,,,,,,,116,0
Culture Services,"Administration and
Support Service","56,411,832","30,000,000","25,500,00",-,45.2,-,116,0
"Public Enter-
tainment",Social Protection,"1,025,000","10,000,000","100,000",-,9.8,-,116,0
Cinema,"Cinema headquar-
ter","3,763,600","110,000,000","370,000",-,9.8,-,116,0
,Sub Total,"61,200,432","150,000,000","25,970,000",-,42.4,-,116,0
Water and Irrigation,,,,,,,,116,0
"Administration
and Support
Service","Administration and
Support Services","178,556,361","100,000,000","95,214,360",-,53.3,-,116,0
,"Water Infrastruc-
ture Development",-,"670,000,000",-,-,-,-,116,0
"Irrigation Ser-
vices","Irrigation Develop-
ment","5,000,000",-,-,-,-,-,116,0
,Sub Total,"183,556,361","770,000,000","95,214,360",-,51.9,-,116,0
"Lands, Housing and Urban Planning",,,,,,,-,116,0
"Administration
and Support
Service","Administration and
Support Service","239,695,273","135,000,000","136,556,708",,57.0,-,116,0
"Land and
Housing",Lands,"8,000,000","30,000,000","1,250,000",,15.6,-,116,0
,"Housing and Public
Works","13,574,997","300,000,000","2,500,000",,18.4,-,116,0
"Urban Develop-
ment","Urban Planning
and Disaster Man-
agement","11,614,626","74,000,000","4,500,000",-,38.8,-,116,0
,"Urban Sanitation
and Development","900,000",-,-,-,-,-,116,0
,Sub Total,"266,784,896","539,000,000","144,806,708",-,54.3,,116,0
County Public Services Board,,,,,,,,116,0
"Administration
and Support
Service","Administration and
Support Service","37,072,000",-,"11,265,000",-,30.4,-,116,0
,Sub Total,"37,072,000",-,"11,265,000",-,30.4,-,116,0
Town Management,,,-,,-,,-,116,0
"Administration
and Support
Service","Administration and
Support Service","72,000,000",-,"25,500,000",-,35.4,-,116,0
,Sub Total,"72,000,000",-,"25,500,000",,35.4,-,116,0
