Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expenditure
Q2 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
"A. County Assem-
bly Of Marsabit",,A,B,C=A-B,D=B/A*100,323,1
"1: General Admin-
istration Support
Services","SP 1.1 salaries and allow-
ances for employees and
MCAs","208,962,747","55,664,011","153,298,736",26.6,323,1
,"SP 1.2 Hospitality, Catering
services, donations and
gifts, boards, committees,
conferences and seminars","41,400,000","11,135,488","30,264,512",26.9,323,1
,"SP 1.3 Domestic payables
from previous financial
years","44,162,996",-,"44,162,996",-,323,1
"Total Expenditure
For Programme 1",,"294,525,743","66,799,499","227,726,244",22.7,323,1
"Programme 2:
Legislature And
Oversight","SP 2.1 Domestic and for-
eign accommodation, air
travels and daily subsis-
tence allowance","103,257,475","33,341,370","69,916,105",32.3,323,1
,"SP 2.2 ICT, Hansard and
Communication equip-
ment","9,500,000","863,209","8,636,791",9.1,323,1
,"SP 2.3 Mortgage & Car
Loans and tax","167,032,790",,"167,032,790",-,324,0
,"SP 2.4 Staff Training and
Development and Tuitions","32,950,000","9,442,600","23,507,400",28.7,324,0
,SP 2.5 Public Participation,,-,-,-,324,0
"Total Expenditure
For Programme 2",,"312,740,265","43,647,179","269,093,086",14.0,324,0
"Programme 3:
County Assembly
Infrastructure
Improvement","SP 3.11 Equipping of
library",-,-,-,-,324,0
,"SP 3.12 Maintenance of
motor vehicle","7,000,000","3,711,100","3,288,900",53.0,324,0
,"SP 3.13 Purchase of furni-
ture and general equipment","1,500,000","1,500,000",-,100.0,324,0
,"SP 3.14 Construction
of County Assembly
Headquarters and modern
chambers, purchase of land
for speaker’s residence,
construction and equip-
ping of ward offices","339,405,434",-,"339,405,434",-,324,0
,"SP 3.15 Improvement of
ICT services","5,016,760","2,357,780",-,47.0,324,0
,"SP 3.16 Maintenance of
plants, machinery & other
assets","5,000,000","1,428,615","3,571,385",28.6,324,0
,"SP 3.17 Electricity, water
and sewerage and other
utility charges","13,428,878","2,045,000","11,383,878",15.2,324,0
,"SP 3.18 Printing, adver-
tisement and information
supplies and services","35,399,509","6,050,564","29,348,945",17.1,324,0
,"SP 3.19 Rental of approved
assets and hire of motor
vehicles","5,200,000","95,000","5,105,000",1.8,324,0
,"SP 3.20 Insurance cost for
group personal, building,
motor vehicle and medical
cover","36,493,161","2,334,543","34,158,618",6.4,324,0
,"SP 3.21 Purchase of
computers, printers and
general office supplies and
accessories and sanitary
cleaning materials","43,366,678","16,132,150","27,234,528",37.2,324,0
,"SP 3.22 Fuel, oil, lubricants
and tyres","9,000,000","6,300","8,993,700",0.1,324,0
,SP 3.24 Ward office,"40,000,000","11,833,320","28,166,680",29.6,325,0
,"SP 3.25 Uniform, Special-
ised materials and supplies","9,000,000","1,755,000","7,245,000",19.5,325,0
,"-SP 3.26 Membership fees
and dues and subscription
for international organi-
sations","5,500,000",,"5,500,000",-,325,0
,"SP 3.28 Refurbishment of
buildings","4,000,000",-,"4,000,000",-,325,0
,SP 3.29 Gratuity/pension,"34,017,736","4,779,002","29,238,734",14.0,325,0
,"SP 3.30 Purchase of motor
vehicle","13,000,000",-,"13,000,000",-,325,0
,"SP 3.31Research, Feasi-
bility Studies, Project and
Preparation and Design,
Projects",-,-,,-,325,0
,"Total expenditure for
Programme 3","618,828,156","55,768,374","560,400,802",9.0,325,0
,TOTAL,"1,226,094,164","166,215,051","1,057,220,133",13.6,325,0
"County Executive
Services",,,,,-,325,0
"Physical Planning
And Development","Urban Development
Services","95,212,794",-,"95,212,794",-,325,0
,"General administration
planning and Support
Services","158,637,768","46,048,213","112,589,555",29.0,325,0
,Sub total,"253,850,562","46,048,213","207,802,349",18.1,325,0
Education,"General Administration,
Planning and Support
Services","385,713,481","146,016,772","239,696,709",37.9,325,0
,Youth Development,"58,659,347",,"58,659,347",-,325,0
,Sub total,"444,372,828","146,016,772","298,356,056",32.9,325,0
Executive Services,"General Administration,
Planning and Support
Services","699,500,000","163,854,834","535,645,166",23.4,325,0
,"Management of County
Affairs","700,000,000",-,"700,000,000",-,325,0
,Sub total,"1,399,500,000","163,854,834","1,235,645,166",11.7,325,0
"Administration And
Ict","General administration
planning and Support
Services","565,900,000","104,720,808","461,179,192",18.5,325,0
,Sub total,"565,900,000","104,720,808","461,179,192",18.5,325,0
"Agriculture and
Livestock Develop-
ment","General Administration,
Planning and Support
Services","111,831,802","56,880,093","54,951,709",50.9,325,0
,"Livestock production and
Management","124,332,979","25,939,772","98,393,207",20.9,325,0
,"Fisheries Development and
Management","32,513,971","519,000","31,994,971",1.6,325,0
,"Crop Development and
Management","726,679,453",,"726,679,453",-,325,0
,Sub total,"995,358,205","83,338,865","912,019,340",8.4,325,0
Health Services,"Health Infrastructure
Development","408,784,157",-,"408,784,157",-,325,0
300,,,,,,325,0
