Programme/SP,"Approved Estimates FY
2022/23 (Kshs.)","Actual Expenditure
Q2 FY 2022/23
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,A,B,C=A-B,D=B/A*100,591,0
Programme 1-COUNTY EXECUTIVE,,,,,591,0
"SP 1 - (General Administration, planning
and Support Services)","479,243,710.00","182,108,102.55","297,135,607.45",38,591,0
SP 2 -(County Public service Board,"18,597,120.00","5,026,817.40","13,570,302.60",27,591,0
SP 3 -(County Executive Affairs),"33,537,415.00","6,250,100.00","27,287,315.00",19,591,0
SP 4-(Liasion and Intergovernmental service),"11,482,615.00","4,141,900.00","7,340,715.00",36,591,0
TOTAL,"542,860,860.00","197,526,919.95","345,333,940.05",36,591,0
Programme 2 - FINANCE &ECONOMIC PLANNING,,,,,591,0
"SP 1(General Administration, planning and
Support Services","290,472,183.00","115,973,670.05","174,498,512.95",40,591,0
SP 2-(Treasury Accounting Services),"4,859,823.00","2,374,600.00","2,485,223.00",49,591,0
SP 3-(Supply Chain Management services),"2,868,000.00","1,133,900.00","1,734,100.00",40,591,0
SP 4-(Resource Mobilization),"7,860,000.00","2,618,800.00","5,241,200.00",33,591,0
SP 5-(Internal Audit services),"4,043,600.00","1,567,550.00","2,476,050.00",39,591,0
SP 6-(Budget Formulation services),"9,446,000.00","3,570,800.00","5,875,200.00",38,591,0
SP 7-(Economic Planning),"14,479,832.00","3,745,000.00","10,734,832.00",26,591,0
SP 8-(Monitoring and Evaluation ),"2,800,000.00","1,346,200.00","1,453,800.00",48,591,0
TOTAL,"336,829,438.00","132,330,520.05","204,498,917.95",39,591,0
"Programme 3 - ROADS, PUBLIC WORKS, TRANSPORT AND INFRASTRUCTURE",,,,,591,0
"SP 1(General Administration, Planning and
Support Services","84,040,881.00","24,095,394.75","59,945,486.25",29,591,0
SP 2(Road Transport),"204,857,782.00","734,000.00","204,123,782.00",-,591,0
SP 3(CONSTRUCTION OF BRIDGES),"41,806,858.00","3,266,198.00","38,540,660.00",8,591,0
SP 5-(Ward Specific Projects),"122,000,000.00",-,"122,000,000.00",-,591,0
TOTAL,"452,705,521.00","28,095,592.75","424,609,928.25",6,591,0
Programme 4 - HEALTH AND SANITATION,,,,,591,0
"SP 1(General Administration, Planning and
Support Services","1,349,117,257.00","653,312,574.30","695,804,682.70",48,591,0
SP 2-(Preventive Health Services),"86,816,000.00","19,601,547.35","67,214,452.65",23,591,0
SP 3-(Curative Health Services),"257,900,069.00",,"257,900,069.00",-,591,0
SP 4-(Kacheliba Sub-county hospital),"12,940,000.00","2,718,091.00","10,221,909.00",21,591,0
SP 5-(Sigor Sub-county hospital),"12,860,000.00","2,768,091.00","10,091,909.00",22,591,0
SP 6-(Chepareria Sub-county hospital),"12,860,000.00","2,718,091.00","10,141,909.00",21,591,0
SP 7(Facility Improvement Fund),"76,100,000.00","10,951,180.00","65,148,820.00",14,591,0
SP 8(Ward Specific),"103,620,019.00",,"103,620,019.00",-,591,0
TOTAL,"1,912,213,345.00","692,069,574.65","1,220,143,770.35",36,591,0
Programme 5 - EDUCATION AND TECHNICAL TRAINING,,,,,591,0
,A,B,C=A-B,D=B/A*100,592,0
"SP 1(General Administration, Planning and
Support Services","438,617,220.00","131,816,528.65","306,800,691.35",30,592,0
SP 2 -(ECD Services),"38,959,648.00","814,840.00","38,144,808.00",2,592,0
SP 3-(Youth Vocational training),"39,305,408.00","302,000.00","39,003,408.00",1,592,0
SP 4-(Bursary Fund),"440,500,000.00",,"440,500,000.00",-,592,0
SP 5 - (Ward specific),"112,050,000.00",,"112,050,000.00",-,592,0
TOTAL,"1,069,432,276.00","132,933,368.65","936,498,907.35",12,592,0
Programme 6 - AGRICULTURE AND IRRIGATION,,,,,592,0
"SP 1 - (General Administration, Planning
and Support Services)","95,686,450.00","37,218,930.40","58,467,519.60",39,592,0
SP 2-(Crop Development and Management),"466,179,720.00","8,028,600.00","458,151,120.00",2,592,0
"SP 3-(Cash Crop Production(Special
Programs)","3,142,000.00",-,"3,142,000.00",-,592,0
SP 4 -(Ward specific),"2,000,000.00",-,"2,000,000.00",-,592,0
TOTAL,"567,008,170.00","45,247,530.40","521,760,639.60",8,592,0
Programme 7 - PASTORAL ECONOMY,,,,,592,0
"SP 1 - (General Administration, Planning
and Support Services)","90,773,653.00","34,557,198.55","56,216,454.45",38,592,0
"SP 2 - (Livestock production and Range
Management)","110,671,742.00","8,300,000.00","102,371,742.00",7,592,0
