Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Expendi-
ture (Kshs.)",Variance (Kshs.),"Absorp-
tion
(Kshs.)",page_number,table_index
"P: General
Administration
Planning and
Support Services","SP: Administration, Policy, Strategy
and Management of Agriculture","134,437,627","78,182,642","56,254,985",58.2,515,0
Sub Total,,"595,821,600","113,993,042","481,828,558",19.1,515,0
Public Administration and Devolution Affairs,,,,,,515,0
"P: County Government
Advisory Services","SP: Disaster Management and
Coordination","1,850,000","305,682","1,544,318",16.5,515,0
"P: General Adminis-
tration, Planning and
Support Services","SP: General Administration and
Support Services","113,994,890","60,188,634","53,806,256",52.8,516,0
,"SP: Human Resource Management
Services","3,100,000","16,550","3,083,450",0.5,516,0
,"SP: Sub-County Administration and
Field Services","3,900,000","526,600","3,373,400",13.5,516,0
Sub Total,,"122,844,890","61,037,466","61,807,424",49.7,516,0
Education and Vocational Training,,,,,,516,0
"P: Education and
Youth Training","SP: Promotion of Basic Education
(ECDE)","57,938,765","4,255,857","53,682,908",7.3,516,0
,"SP: Youth Training and Capacity
Building","35,873,833","8,142,200","27,731,633",22.7,516,0
"P: General
Administration
Planning and
Support Services","SP: Administration Planning and
Support Services","154,444,800","79,882,472","74,562,328",51.7,516,0
Sub Total,,"248,257,398","92,280,529","155,976,869",37.2,516,0
Trade and Revenue,,,,,,516,0
"P: General Adminis-
tration, Planning and
Support Services","SP: General Administration and
Support Services","91,601,500","47,000,000","44,601,500",51.3,516,0
"P: Industrial
Development and
Investment",SP: Industrial Development,"6,400,000",-,"6,400,000",-,516,0
"P: Trade Development
and promotion","SP: Consumer Protection & Fair-
Trade Practices","9,610,000",-,"9,610,000",-,516,0
Sub Total,,"107,611,500","47,000,000","60,611,500",43.7,516,0
Finance and Economic Planning,,,,,,516,0
"P: Economic Policy
and County Planning",SP: County Statistics Services,"2,400,000","454,200","1,945,800",18.9,516,0
,"SP: Economic Development, Plan-
ning and Coordination Services","2,400,000","839,400","1,560,600",35.0,516,0
,"SP: Monitoring and Evaluation
Services","2,350,000","84,000","2,266,000",3.6,516,0
"P: Financial Manage-
ment Services",SP: Accounting Services,"3,500,000","1,146,144","2,353,856",32.7,516,0
,SP: Audit Services,"3,500,000","1,165,660","2,334,340",33.3,516,0
,"SP: Budget Formulation and Coor-
dination","3,750,000","1,074,400","2,675,600",28.7,516,0
,"SP: Supply Chain Management
Services","1,900,000","472,260","1,427,740",24.9,516,0
"P: General Adminis-
tration, Planning and
Support Services","SP: General Administration and
Support Services","263,769,540",-,"263,769,540",-,517,0
,"SP: Human Resource Management
Services","258,919,900","106,990,485","151,929,415",41.3,517,0
"P: Resource
mobilisation",SP: Revenue Administration,"13,300,000","2,284,250","11,015,750",17.2,517,0
Sub Total,,"555,789,440","114,510,799","441,278,641",20.6,517,0
Water Services and Irrigation,,,,,,517,0
"P: Water Supply
Services",SP: Domestic Water Services,"108,765,250","42,519,541","66,245,709",39.1,517,0
,"SP: Irrigation and Drainage
Services","41,169,390","10,655,556","30,513,834",25.9,517,0
,SP: Water Storage Services,"1,265,110","117,650","1,147,460",9.3,517,0
Sub Total,,"151,199,750","53,292,747","97,907,003",35.2,517,0
County Public Service Board,,,,,,517,0
"P: Economic Policy
and County Planning","SP: Monitoring and Evaluation
Services","160,000","264,500","(104,500)",165.3,517,0
"P: Financial
Management Services","SP: Monitoring and Evaluation
Services","874,900","483,870","391,030",55.3,517,0
"P: General
Administration,
Planning and
Support Services","SP: General Administration and
Support Services","21,598,000","5,957,646","15,640,354",27.6,517,0
"P: Human Resource
Management and
Development","SP: County Public Service Board
Services","2,700,500","999,880","1,700,620",37.0,517,0
Sub Total,,"25,333,400","7,705,896","17,627,504",30.4,517,0
Energy and Housing,,,,,,517,0
"P: Energy Resource
Development & Man-
agement","SP: Energy Resource Development
& Management","81,000,000",-,"81,000,000",-,517,0
"P: General
Administration
Planning and
Support Services","SP: General Administration Ser-
vices","19,959,380","2,367,700","17,591,680",11.9,517,0
"P: ICT Infrastructure
Development",SP: ICT Infrastructure Development,"18,800,000","12,557,874","6,242,126",66.8,517,0
Sub Total,,"119,759,380","14,925,574","104,833,806",12.5,517,0
Public Health and Sanitation,,,,,,517,0
"P: Preventive and Pro-
motive Health Services",SP: Disease Surveillance,"6,000,000","800,640","5,199,360",13.3,518,0
,SP: Environmental Health services,"32,987,000","7,244,750","25,742,250",22.0,518,0
,"SP: Health Promotion and Disease
Control","414,321,272","125,014,669","289,306,603",30.2,518,0
,SP: HIV and AIDS Support Services,"3,900,000",-,"3,900,000",-,518,0
,"SP: Reproductive Maternal and
Child Health Services","2,500,000","150,000","2,350,000",6.0,518,0
Sub Total,,"459,708,272","133,210,059","326,498,213",29.0,518,0
"Youth, Sports, Culture and Tourism",,,,,,518,0
"P: Culture, Arts and
Social Services",SP: Culture and Arts Promotion,"28,556,370","5,686,277","22,870,093",19.9,518,0
,"SP: Gender, PWDs and Social
Services","8,602,200","2,992,500","5,609,700",34.8,518,0
"P: Sports Development
and Promotion","SP: Athletics Championships and
Other Games","1,765,910",-,"1,765,910",-,518,0
,"SP: County Football League and
Clubs Development","1,489,480",-,"1,489,480",-,518,0
,SP: Talent Search and Promotion,"27,959,600","8,647,505","19,312,095",30.9,518,0
"P: Tourism Develop-
ment and Promotion",SP: Miss Tourism Tharaka Nithi,"1,997,550","299,700","1,697,850",15.0,518,0
,"SP: Tourism Branding and Mar-
keting","1,386,490","25,000","1,361,490",1.8,518,0
Sub Total,,"71,757,600","17,650,982","54,106,618",24.6,518,0
"Livestock, Veterinary and Fisheries Development",,,,,,518,0
"P: Livestock and
Fisheries Resource
Management and
Development","SP: Fisheries Development and
Promotion","20,566,316",-,"20,566,316",-,518,0
,"SP: Livestock Policy Development
and Capacity Building","81,875,598","34,310,488","47,565,110",41.9,518,0
,"SP: Veterinary Services and Disease
Prevention","29,631,180","1,651,500","27,979,680",5.6,518,0
Sub Total,,"132,073,094","35,961,988","96,111,106",27.2,518,0
County Assembly,,,,,,518,0
"P: General Adminis-
tration, Finance and
Planning",SP: Finance Management Services,"83,114,618","18,169,858","64,944,760",21.9,518,0
,"SP: Management of County Assem-
bly Affairs","202,761,563","79,818,294","122,943,269",39.4,518,0
,SP: Administrative Services,"6,467,500","4,624,681","1,842,819",71.5,518,0
,SP: Housing loans to public servants,"30,000,000","10,000,000","20,000,000",33.3,518,0
