Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31st
December 2022",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture",222,0
"County Assem-
bly","Office of the
Speaker","5,936,560",-,"1,140,000",-,19.20,-,222,0
,"Representa-
tion, legislative
and oversight
services","160,811,024",-,"46,995,340",-,29.22,-,222,0
,"County As-
sembly Service
Board","1,177,901,462","339,350,465","274,185,721","22,127,103",23.28,6.52,222,0
,Sub Total,"1,344,649,046","339,350,465","322,321,061","22,127,103",23.97,6.52,222,0
"Executive(Of-
fice of the
Governor,
Deputy Gov-
ernor, County
Secretary and
Public Service
Board","Administration,
Planning and
Support Services","369,265,082","33,000,000","145,310,734",-,39.35,-,222,0
,"Office of the
County Secretary","11,820,000",-,"1,465,792",-,12.40,-,222,0
,Legal Services,"12,120,000",-,"63,700",-,0.53,-,222,0
,"Communication
Services","8,570,000",-,"188,220",-,2.20,-,222,0
,"Public Private
Partnership","11,500,000",-,"1,646,000",-,14.31,-,222,0
,"County Public
Service Board","35,950,000",-,"4,872,745",-,13.55,-,222,0
,Sub-Total,"449,225,082","33,000,000","153,547,191",-,34.18,-,222,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture",223,0
"Administra-
tion, Corporate
Services and
Stakeholder
Management","Administration,
Planning and
Support Services","395,589,227",-,"224,771,457",-,56.82,-,223,0
,"Devolved Units
Services","6,100,000","42,233,140",-,-,-,-,223,0
,"Human Resource
Development","6,550,000",-,-,-,-,-,223,0
,"Enforcement
Services","5,000,000",-,-,-,-,-,223,0
,"Stakeholder
Management","39,224,764",-,"19,144,869",-,48.81,-,223,0
,"Public Partici-
pation and Civic
Education","4,000,000",-,-,-,-,-,223,0
,"Disaster Man-
agement","8,200,000","37,050,000",-,-,-,-,223,0
,"Fleet Manage-
ment","3,000,000",-,"1,166,674",-,38.89,-,223,0
,Sub-Total,"467,663,991","79,283,140","245,083,000",-,52.41,-,223,0
"Finance and
Economic
Planning","Administration,
Coordination
and Support
Services","889,612,387",-,"471,634,732",-,53.02,-,223,0
,"Public Financial
Management
Services","55,675,000",-,"6,163,187",-,11.07,-,223,0
,"County Planning
Services","87,212,049","47,482,391","19,339,724","2,322,320",22.18,4.89,223,0
,Sub-Total,"1,032,499,436","47,482,391","497,137,643","2,322,320",48.15,4.89,223,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture",224,0
"Agriculture,
Livestock,
Fisheries and
Cooperative
Development","Administrative
and Support
Services","48,775,908","338,295,427",-,-,-,-,224,0
,"Crop Develop-
ment and Value
Addition","267,326,493","64,476,110","127,003,814",-,47.51,-,224,0
,"Livestock Devel-
opment","17,200,000","37,000,000",-,-,-,-,224,0
,"Veterinary
Services","71,000,000","232,058,835","15,880,000","35,560,000",22.37,15.3,224,0
,"Co-Operative
Development
and Management","1,700,000",-,-,-,-,-,224,0
,"Fisheries Devel-
opment","1,750,000","53,500,000",-,-,-,-,224,0
,"Kisii Agricultural
Training Centre","6,500,000","2,169,000",-,-,-,-,224,0
,Sub-Total,"414,252,401","727,499,372","142,883,814","35,560,000",34.50,4.89,224,0
"Energy, Water,
Environment
and Natural
Resources","Administration
and Planning
Services","50,070,000",-,"5,655,892",-,11.30,-,224,0
,"Water and Sani-
tation Services","83,566,800","117,119,666","26,680,957","13,764,200",31.93,11.75,224,0
,"Environment
Management",-,"164,302,000",-,-,-,-,224,0
,Energy Services,"500,000","4,903,759",-,-,-,-,224,0
,Sub-Total,"134,136,800","286,325,425","32,336,849","13,764,200",24.11,4.81,224,0
"Education,
Labour and
Manpower
Development","General Ad-
ministration
and Planning
Services","554,846,157",-,"284,204,827",-,-,-,224,0
,"Early Childhood
Development
Education",-,"83,798,014",-,-,-,-,224,0
,"Vocational
Training",-,"59,206,119",-,-,-,-,224,0
,Sub-Total,"554,846,157","143,004,133","284,204,827",-,51.22,-,224,0
"County Health
Services",Medical Services,"3,170,643,517","702,039,060","1,361,817,077","8,027,737",42.95,1.14,224,0
,Public Health,"29,500,000",-,-,-,-,-,224,0
,Sub-Total,"3,200,143,517","702,039,060","1,361,817,077","8,027,737",42.55,1.14,224,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Expen-
diture",225,0
"Lands, Physical
Planning and
Urban Develop-
ment","Administration,
Planning and
Support Services","145,620,000",-,"72,216,729",-,49.59,-,225,0
,"Land Use Ser-
vices",-,"3,545,569",-,-,-,-,225,0
,"Urban Develop-
ment",-,"93,004,480",-,-,--,-,225,0
,Sub-Total,"145,620,000","96,550,049","72,216,729",-,49.59,-,225,0
