Program,Sub Program,"Final Budget
(Kshs.)","Actual Expenditure
(Kshs.)","Budget Balance/
Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index
"Administration, Plan-
ning and Support Ser-
vices",,"1,268,869,036","263,562,880","1,005,306,156",20.8,570,1
,Administrative Service,"1,230,955,972","263,562,880","967,393,092",21.4,570,1
,"Research and Develop-
ment","33,378,891",-,"33,378,891",-,570,1
,"Formulation of Poli-
cies, Regulations and
Legal Framework","4,534,173",-,"4,534,173",-,570,1
"Livestock Development
and Management",,"29,900,000","660,958","11,083,042",2.2,570,1
,"Veterinary Services and
Extension","17,150,000","660,958","16,489,042",3.9,570,1
,Livestock Extension,"12,750,000",-,"12,750,000",-,570,1
"Fisheries Development
and Management",,"10,050,000","229,000","9,821,000",2.3,570,1
,"Promotion of Fish
Farming","10,050,000","229,000","9,821,000",2.3,570,1
"Crop Development and
Management",,"19,452,874","1,059,750","18,393,124",5.4,570,1
,Crop Extension,"5,350,000",-,"5,350,000",-,570,1
,Farm Input Subsidy,"14,102,874","1,059,750","13,043,124",7.5,570,1
"Cooperatives Develop-
ment",,"13,550,000","1,710,926","11,839,074",12.6,570,1
,"Cooperative Develop-
ment Services","13,550,000","1,710,926","11,839,074",12.6,570,1
"Land Survey and Map-
ping Services",,"5,000,000","1,782,916","3,217,084",35.7,570,1
,"Land Survey and Map-
ping","5,000,000","1,782,916","3,217,084",35.7,570,1
"1 Urban and Physical
Planning and Housing
Services",,"32,034,352","2,066,150","29,968,202",6.4,570,1
,"Urban and Physical
Planning","3,000,000","1,207,250","1,792,750",40.2,570,1
,"Vihiga Municipality
{KUSP}","29,034,352","858,900","28,175,452",3.0,570,1
"Administration, Plan-
ning and Support Ser-
vices",,"546,616,848","258,480,393","288,136,455",47.3,570,1
,Administrative Service,"546,616,848","258,480,393","288,136,455",47.3,570,1
