Programme,Sub-Programme,"Approved Supp Es-
timates FY 2022/23
(Kshs.)","Actual Expen-
diture Q2 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,527,0
"Agriculture, Live-
stock",,"928,254,606","148,180,648","780,073,958",16.0,527,0
"Crop Develop-
ment",,"667,881,355",-,"667,881,355",-,527,0
Sp1.1,Crop Diversification,"581,416,276",-,"581,416,276",-,527,0
Sp1.2,"Post Harvest Management and
Value Addition","86,465,079",-,"86,465,079",-,527,0
"Administrative
and Support Ser-
vices",,"260,373,251","148,180,648","112,192,603",56.9,527,0
Sp2.1,"Administrative and Support
Services","260,373,251","148,180,648","112,192,603",56.9,527,0
"Trade, Commerce
and Industry",,"205,762,489","11,208,205","194,554,285",5.4,527,0
"Medium and small
Enterprises",,"154,000,000",-,"154,000,000",-,527,0
Sp1.1,"Medium and Small Enter-
prises","154,000,000",-,"154,000,000",-,527,0
"Administrative
and Support Ser-
vices",,"51,762,489","11,208,205","40,554,285",21.7,527,0
Sp2.1,"Administrative and Support
Service","51,762,489","11,208,205","40,554,285",21.7,527,0
"Water, Environ-
ment and Natural
Resources",,"372,446,435","49,193,273","323,253,163",13.2,527,0
"Environment
management and
protection",,"288,086,871",-,"288,086,871",-,527,0
Sp1.1,Waste Management,"288,086,871",-,"288,086,871",-,527,0
"Administrative
and Support Ser-
vices",,"84,359,564","49,193,273","35,166,292",58.3,527,0
Sp2.1,"Administrative and Support
Services","84,359,564","49,193,273","35,166,292",58.3,527,0
"Public Works,
Roads and Infra-
structure",,"613,406,449","36,199,090","577,207,359",5.9,527,0
"Road Construc-
tion and Road
Maintenance",,"439,266,580",-,"439,266,580",-,527,0
Sp1.1,Maintenance of Roads,"439,266,580",-,"439,266,580",-,527,0
"Administrative
and Support Ser-
vices",,"174,139,869","36,199,090","137,940,779",20.8,527,0
,,A,B,C=A-B,D=B/A*100,528,0
Sp2.1,"Administrative and Support
Services","174,139,869","36,199,090","137,940,779",20.8,528,0
Health Services,,"10,000,000",,"10,000,000",-,528,0
"Administrative
and Support Ser-
vices",,"10,000,000",-,"10,000,000",-,528,0
Sp1.1,"Administrative and Support
Services","10,000,000",-,"10,000,000",-,528,0
"Lands, Housing
and Urban Plan-
ning",,"362,977,156","12,491,028","350,486,128",3.4,528,0
"Administrative
and Support Ser-
vices",,"362,977,156","12,491,028","350,486,128",3.4,528,0
Sp1.1,"Administrative and Support
Services","362,977,156","12,491,028","350,486,128",3.4,528,0
"Gender, Sports,
Culture and Tour-
ism",,"257,945,327","41,740,550","216,204,777",16.2,528,0
"Cultural develop-
ment and promo-
tion",,"205,082,445",-,"205,082,445",-,528,0
Sp1.1,Culture Development,"205,082,445",-,"205,082,445",-,528,0
"Administrative
and Support Ser-
vices",,"52,862,882","41,740,550","11,122,332",79.0,528,0
Sp2.1,"Administrative and Support
Services","52,862,882","41,740,550","11,122,332",79.0,528,0
"Public Service
Management",,"849,701,128","82,051,681","767,649,447",9.7,528,0
"Infrastructure
Development",,"246,868,227",-,"246,868,227",-,528,0
Sp1.1,"Supervision and Management
of Projects","246,868,227",-,"246,868,227",-,528,0
"Administrative
and Support Ser-
vices",,"602,832,901","82,051,681","520,781,220",13.6,528,0
Sp2.1,"Administrative and Support
Services","602,832,901","82,051,681","520,781,220",13.6,528,0
Education and ICT,,"702,733,145","168,564,109","534,169,036",24.0,528,0
"Vocational Train-
ing Development",,"113,900,000",-,"113,900,000",-,528,0
,,A,B,C=A-B,D=B/A*100,529,0
"Administrative
and Support Ser-
vices",,"588,833,145","168,564,109","420,269,036",28.6,529,0
Sp2.1,"Administrative and Support
Services","588,833,145","168,564,109","420,269,036",28.6,529,0
Finance,,"1,159,352,734","318,193,816","841,158,918",27.4,529,0
"Administrative
and Support Ser-
vices",,"1,159,352,734","318,193,816","841,158,918",27.4,529,0
Sp1.1,"Supervision and Management
of Projects","635,407,192",-,"635,407,192",-,529,0
Sp1.2,"Administrative And Support
Services","523,945,542","318,193,816","205,751,726",60.7,529,0
Governance,,"198,758,719","98,491,257","100,267,462",49.6,529,0
"Infrastructure
Development",,"25,000,000",-,"25,000,000",-,529,0
Sp1.1,"Supervision and Management
of Projects","25,000,000",-,"25,000,000",-,529,0
"Administrative
and Support Ser-
vices",,"173,758,719","98,491,257","75,267,462",56.7,529,0
Sp2.1,"Administrative and Support
Services","173,758,719","98,491,257","75,267,462",56.7,529,0
"County Public
Service Board",,"86,615,170","7,655,898","78,959,272",8.8,529,0
"Governance and
County Values",,"13,465,000",-,"13,465,000",-,529,0
Sp1.1,Infrastructure Development,"13,465,000",-,"13,465,000",-,529,0
"Administrative
and Support Ser-
vices",,"73,150,170","7,655,898","65,494,272",10.5,529,0
Sp2.1,"Administrative and Support
Services","73,150,170","7,655,898","65,494,272",10.5,529,0
Health Corporate,,"2,293,190,678","868,234,885","1,424,955,793",37.9,529,0
"Administrative
and Support Ser-
vices",,"2,293,190,678","868,234,885","1,424,955,793",37.9,529,0
Sp1.1,Preventive Health Services,"390,227,415",-,"390,227,415",-,529,0
Sp1.2,"Administrative and Support
Services","1,902,963,263","868,234,885","1,034,728,378",45.6,529,0
"Economic Plan-
ning",,"68,494,733","2,675,700","65,819,033",3.9,529,0
"County Research
and Development
Planning",,"21,800,000",-,"21,800,000",-,529,0
Sp1.1,"County Development Plan-
ning Services","21,800,000",-,"21,800,000",-,529,0
