Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expenditure
Q2 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,439,0
"General administration, planning
and support services",Service Delivery Unit,"18,000,000","3,881,570","14,118,430",21.6,439,0
,"Governor's Office & Investment
Promotion","54,000,000","21,301,733","32,698,267",39.4,439,0
,"Liaison and intergovernmental
Relations","20,000,000","6,889,376","13,110,624",34.4,439,0
,"Civic Education and Public Par-
ticipation","12,229,680","3,401,670","8,828,010",27.8,439,0
Sub Total,,"104,229,680","35,474,349","68,755,331",34.0,439,0
County Secretary,County Secretary-Administration,"77,000,000","35,672,924","41,327,076",46.3,439,0
,Cabinet Affairs,"1,970,000","388,000","1,582,000",19.7,439,0
Human Resource Management,"Payroll (Including Compensation
to employees)","2,147,500,000","1,105,012,719","1,042,487,281",51.5,439,0
,"Human Resource Management
(Including employee gratuity,
pension and medical insurance)","194,000,000","76,355,596","117,644,404",39.4,439,0
Sub Total,,"2,420,470,000","1,217,429,239","1,203,040,761",50.3,439,0
County Attorney Services,legal and public affairs,"43,796,494","1,531,146","42,265,348",3.5,439,0
Sub Total,,"43,796,494","1,531,146","42,265,348",3.5,439,0
Public administration,Public Administration,"8,255,000","1,143,026","7,111,974",13.8,439,0
,"sub-county and ward administra-
tion","19,745,000","7,652,053","12,092,947",38.8,439,0
,"Communication and Public Re-
lations","4,500,000","1,097,144","3,402,856",24.4,439,0
,Enforcement and Compliance,"9,750,000","3,048,350","6,701,650",31.3,439,0
ICT and E-government Services,ICT and E-government Services,"12,700,000","1,962,195","10,737,805",15.5,439,0
Sub Total,,"54,950,000","14,902,768","40,047,232",27.1,439,0
County Public Service Board,County Public Service Board,"25,000,000","9,691,282","15,308,718",38.8,439,0
Sub Total,,"25,000,000","9,691,282","15,308,718",38.8,439,0
,,A,B,C=A-B,D=B/A*100,440,0
Public Finance Management,County Funds,"301,200,000","184,421,124","116,778,876",61.2,440,0
,Treasury services,"14,689,315","5,594,313","9,095,002",38.1,440,0
,"Nyandarua County Trade Devel-
opment and Investment Authority
(NCTDIA)","5,000,000","1,491,587","3,508,413",29.8,440,0
,Financial reporting,"6,850,000","3,630,587","3,219,413",53.0,440,0
,"Revenue Collection and Admin-
istration (Including automation)","21,460,000","16,769,918","4,690,082",78.1,440,0
,"Revenue Enhancement and Mon-
itoring","16,540,000","5,181,002","11,358,998",31.3,440,0
,Supply Chain Management,"10,104,812","3,415,979","6,688,833",33.8,440,0
,"Internal Audit and Risk Manage-
ment","9,000,000","3,571,400","5,428,600",39.7,440,0
,Internal Audit Committee,"3,000,000","1,470,150","1,529,850",49.0,440,0
"Economic planning
and development",County Budgeting,"12,205,000","1,069,601","11,135,399",8.8,440,0
,County Statistics and Data Bank,"8,743,300","1,880,800","6,862,500",21.5,440,0
,Monitoring and Evaluation,"15,670,188","619,880","15,050,308",4.0,440,0
,"Economic Modelling and Re-
search","3,451,700","901,300","2,550,400",26.1,440,0
,Economic Development Planning,"26,100,000","8,510,667","17,589,333",32.6,440,0
Sub Total,,"454,014,315","238,528,308","215,486,007",52.5,440,0
Preventive and Promotive Services,"Preventive and Promotive Ser-
vices","9,250,000","1,666,420","7,583,580",18.0,440,0
Curative Services,Curative Services,"250,452,000","121,278,057","129,173,943",48.4,440,0
,Universal health care and grants,"191,381,098","43,580,056","147,801,042",22.8,440,0
"General administration, plan-
ning and support services",Solid Waste and Cemeteries,"11,200,000","3,613,399","7,586,601",32.3,440,0
,Infrastructure and Equipment,"263,876,775","73,810,957","190,065,818",28.0,440,0
Sub total,,"726,159,873","243,948,889","482,210,984",33.6,440,0
Primary education,ECDE,"80,945,473","4,257,140","76,688,333",5.3,440,0
Youth training and development,"Revitalisation of youth polytech-
nics","47,126,000","1,553,680","45,572,320",3.3,440,0
Culture,"development and promotion of
culture","7,500,000","978,000","6,522,000",13.0,440,0
Arts & Theatre,Arts & Theatre,"71,782,467","6,559,097","65,223,370",9.1,440,0
Sub Total,,"207,353,940","13,347,917","194,006,023",6.4,440,0
,,A,B,C=A-B,D=B/A*100,441,0
"Trade development and promo-
tion",Financial and Trade Services,"21,800,000","3,941,080","17,858,920",18.1,441,0
"Industrial develop-
ment and investment","Industrial and Enterprise Devel-
opment","118,597,585","2,147,276","116,450,309",1.8,441,0
,Weights & Measures,"1,500,000","305,000","1,195,000",20.3,441,0
"Cooperative develop-
ment and management",Cooperative advisory services,"3,140,000","863,000","2,277,000",27.5,441,0
,"Cooperative audit extension ser-
vices","18,060,000","1,277,540","16,782,460",7.1,441,0
Urban development,Urban development,"32,211,090","9,102,422","23,108,668",28.3,441,0
Ol'kalou municipality,Ol'kalou municipality,"55,752,691","7,569,628","48,183,063",13.6,441,0
Sub Total,,"251,061,366","25,205,946","225,855,420",10.0,441,0
