Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expenditure
Q2 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,272,1
Education,,,,,,272,1
"General Administration
& Planning services",Personnel services,,,,,272,1
,Administration Services,"4,736,405","2,569,705","2,166,700",54.3,272,1
"Vocational Training
Institutes.",Vocational Training Institutes.,"29,647,149","10,745,150","18,901,999",36.2,272,1
"Collaboration with
Stakeholders","Collaboration with Stakehold-
ers.","3,500,000",-,"3,500,000",-,272,1
"Gender Culture and
Social Services.","Gender Culture and Social
Services.","7,878,948",-,"7,878,948",-,272,1
Youth and Sports.,Youth & Sports,"13,000,000","3,745,159","9,254,841",28.8,272,1
"Education & Library
Services","Education and Library Ser-
vices.","91,660,000","28,935,650","62,724,350",31.6,272,1
"Talent Development
Services",Child care & rehabilitation,"2,603,136",-,"2,603,136",-,272,1
,Talent Development,"500,000",-,"500,000",-,272,1
Sub-total,,"153,525,638","45,995,664","107,529,974",30.0,272,1
County Assembly,,,,,,272,1
,,A,B,C=A-B,D=B/A*100,273,0
"General Administration
& Planning Services",Administration services,"397,721,447","182,428,024","215,293,423",45.9,273,0
Legislative & Oversight,"Legislation & Oversight Ser-
vices","265,147,631","121,618,683","143,528,948",45.9,273,0
"Infrastructure improve-
ment services","County Assembly Infrastruc-
ture improvement","103,000,000","1,306,223","101,693,777",1.3,273,0
Sub-total,,"765,869,078","305,352,930","460,516,148",39.9,273,0
County Health Services,,,,,,273,0
"Curative & Rehabilita-
tive Health","Health Infrastructure Devel-
opment","175,000,000",-,"175,000,000",-,273,0
,"Health Products & Technolo-
gies Support","200,000,000","49,412,913","150,587,087",24.71,273,0
,"Emergency Referral & Reha-
bilitative Service","590,804,400","149,036,405","441,767,995",25.23,273,0
"General Administration
& Planning Services","Essential Health Institutions &
Services","30,000,000","9,962,448","20,037,552",33.21,273,0
,Strategic health Interventions,"36,205,271","432,000","35,773,271",-,273,0
,"Human Resource Develop-
ment","12,000,000","9,205,097","2,794,903",76.71,273,0
,"Health Policy, Governance,
Planning & Financing","8,000,000","2,006,600","5,993,400",25.08,273,0
,"Health Information Standards
& Quality Assurance","6,000,000","3,375,000","2,625,000",56.25,273,0
,"Community Health Strategy,
Advocacy & Surveillance","12,040,400","10,893,600","1,146,800",90.48,273,0
"Preventive Health Ser-
vices","Family Planning, Maternal &
Child Health Services","9,000,000","1,806,590","7,193,410",20.07,273,0
,"Non-Communicable Diseases
Control & Prevention","3,000,000","1,120,000","1,880,000",37.33,273,0
,"Public Health Promotion &
Nutrition Services","5,000,000","500,000","4,500,000",10.00,273,0
,"TB/HIV/AIDS Prevention &
Control","15,000,000","706,260","14,293,740",4.71,273,0
