Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expen-
diture Q2 FY
2022/23(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
"Office of the Deputy
Governor",,,,,,539,0
"General Planning and
Support","General Planning and Support
services","20,151,000","1,609,392","18,541,608",8.0,539,0
"Government
Programming",Govt Programming,"6,800,000",-,"6,800,000",-,539,0
,Community Engagement,"7,600,568",-,"7,600,568",-,539,0
,Govt Stakeholder Engagement,"6,100,000","334,200","5,765,800",5.5,539,0
,Govt Transformation,"4,900,090",-,"4,900,090",-,539,0
,Subtotal,"45,551,658","1,943,592","43,608,066",4.3,539,0
,,A,B,C=A-B,D=B/A*100,540,0
"Ministry of Finance
and Economic Plan-
ning",,,,,,540,0
"General Administra-
tion, Planning and
Support Service","General Administration Ser-
vices","65,631,021","9,991,698","55,639,323",15.2,540,0
,"General Administration - Eco-
nomic planning","26,733,408","8,549,605","18,183,803",32.0,540,0
"Government
Communication and
Media Relations","Acquiring & developing of com-
munication systems/equipment","5,500,000","836,250","4,663,750",15.2,540,0
,Policies,"14,000,000","5,727,059","8,272,941",40.9,540,0
,"Development and Implementa-
tion of ICT Policy and Regula-
tions","2,533,806","32,000","2,501,806",1.3,540,0
"Revenue Collection
Systems","Feasibility Study on Revenue
Base","2,100,775","124,000","1,976,775",5.9,540,0
,"Awareness and Campaigns on
Revenue.","4,974,000","470,400","4,503,600",9.5,540,0
,"Motorbikes for Revenue Officers
30 No.","1,377,569",-,"1,377,569",-,540,0
,Strengthening Revenue Systems,"11,794,822","877,530","10,917,292",7.4,540,0
,"Revenue Forecast and Revenue
Budget Preparation","2,683,726",-,"2,683,726",-,540,0
,"Completion of Lokiriama Reve-
nue Centre","30,000,000",-,"30,000,000",-,540,0
"Accountability and
Transparency",Internal Audit,"9,000,000","4,406,845","4,593,155",49.0,540,0
,Procurement systems,"4,500,000","1,417,000","3,083,000",31.5,540,0
,IFMIS training,"5,058,150","520,000","4,538,150",10.3,540,0
,Civil Contingency Reserve,"100,000,000","100,000,000",-,100.0,540,0
,"Financial Reporting/Research
and Development","7,000,000","3,235,759","3,764,241",46.2,540,0
"Planning and Policy
formulation","Economic Policy formulation
and Dissemination","8,095,355","2,639,220","5,456,135",32.6,540,0
,CIDP review and Dissemination,"1,546,736",-,"1,546,736",-,540,0
,"County Budget and Economic
Forums","30,000,000",-,"30,000,000",-,540,0
,"Public Participation and Access
to Information","3,017,266","100,000","2,917,266",3.3,540,0
,Waste Management,"1,640,695","392,500","1,248,195",23.9,540,0
,,A,B,C=A-B,D=B/A*100,541,0
"Monitoring and
Evaluation","Software (E-ProMIS, GIS,
among others)","4,395,198","1,145,434","3,249,764",26.1,541,0
,"Field visits, data collection and
Reporting","2,084,583","771,091","1,313,492",37.0,541,0
,"Training and Knowledge man-
agement","2,108,968","2,821,900","(712,932)",133.8,541,0
,"Devolved Monitoring and Eval-
uation Committees","1,549,014",-,"1,549,014",-,541,0
"County Statistical
Unit","Soft wares, databases and tools","6,600,000","1,337,500","5,262,500",20.3,541,0
,Capacity Development,"3,026,422","82,300","2,944,122",2.7,541,0
,"Project Management Informa-
tion System","1,000,000","25,000","975,000",2.5,541,0
Budgetary Supply,"Budget Formulation, Co-ordi-
nation and Management","24,015,534","7,700,205","16,315,329",32.1,541,0
,"Public Participation in Bud-
geting","11,070,000","4,709,950","6,360,050",42.5,541,0
,"County Budget and Economic
Forum","9,806,053","4,939,100","4,866,953",50.4,541,0
,"Accountability in Resource
Allocation","9,600,000","3,919,650","5,680,350",40.8,541,0
"Resource
Mobilisation",Resource Mobilisation,"5,017,378",-,"5,017,378",-,541,0
,Subtotal,"417,460,479","166,771,996","250,688,483",39.9,541,0
"Ministry of Water
Services, Environ-
ment and Mineral
Resources",,,,,,541,0
"Turkana Water Pro-
gramme","General Administration, Plan-
ning and support services","20,000,000",-,"20,000,000",-,541,0
,"Construction and Desilting of
Water Pans/Rock Catchment","55,000,000",-,"55,000,000",-,541,0
,"Rehabilitation of Water Infra-
structure","132,408,716","1,983,536","130,425,180",1.5,541,0
,"Drilling and Equipping of
Boreholes","204,999,963","2,264,480","202,735,483",1.1,541,0
,"Equipment of Quality Analysis
Laboratory","4,500,000",-,"4,500,000",-,541,0
,"Project Co-ordination and Man-
agement","3,000,000","749,952","2,250,048",25.0,541,0
"Joint planning
with stakeholders",Technical planning and design,"100,177,290","203,000","99,974,290",0.2,541,0
"Irrigation
and Schemes
Development
Programme","Feasibility studies for irrigation
systems development","3,300,000","35,000","3,265,000",1.1,541,0
,,A,B,C=A-B,D=B/A*100,542,0
"General
Administration
and Support","General Administration and
Support","84,220,000","9,152,565","75,067,435",10.9,542,0
,Subtotal,"607,605,969","14,388,533","593,217,436",2.4,542,0
"Ministry of Health
and Sanitation
Services",,,,,,542,0
"General Administra-
tion, Planning and
support services","General Administration, Plan-
ning and support services","138,262,941","58,530,203","79,732,738",42.3,542,0
,Health Facilities,"818,394,317",-,"818,394,317",-,542,0
"Support to Health
Programs","HIV and AIDS, including
community-based HIV inter-
ventions","800,000",-,"800,000",-,542,0
,TB & Leprosy,"400,000",-,"400,000",-,542,0
,Malaria,"700,000",-,"700,000",-,542,0
,"NTDs (neglected tropical
diseases)","500,000",-,"500,000",-,542,0
,Nutrition,"642,500",-,"642,500",-,542,0
,Reproductive health,"630,000",-,"630,000",-,542,0
,Disease surveillance,"850,000",-,"850,000",-,542,0
,EPI/outreaches,"500,000",-,"500,000",-,542,0
,Health promotion,"400,000",-,"400,000",-,542,0
,Environmental health services,"600,000","45,000","555,000",7.5,542,0
,"Emergency preparedness and
disaster response","600,000",-,"600,000",-,542,0
,mainstreaming,"400,000",-,"400,000",-,542,0
,Community Health Services,"80,568,000","35,320,470","45,247,530",43.8,542,0
,,A,B,C=A-B,D=B/A*100,543,0
Laboratory Services,Laboratory Services,"850,000",-,"850,000",-,543,0
,Blood Transfusion Services,"1,550,000",-,"1,550,000",-,543,0
,Rehabilitative Services,"650,000",-,"650,000",-,543,0
,"Referrals and Emergency
Services","1,100,000",-,"1,100,000",-,543,0
,Radiology Services,"600,000",-,"600,000",-,543,0
,Dental Services,"500,000",-,"500,000",-,543,0
,Clinical Services,"622,500",-,"622,500",-,543,0
,Nursing Services,"650,000",-,"650,000",-,543,0
,Rural Health Facility Support,"62,425,000","7,035,200","55,389,800",11.3,543,0
,"Sub county Health Facilities
Support","235,021,000","119,683,093","115,337,907",50.9,543,0
,UHC Turkana,"900,000",-,"900,000",-,543,0
"Health Information
and Management","Health Information and Man-
agement","628,000",-,"628,000",-,543,0
,Quality Assurance,"900,000",-,"900,000",-,543,0
,Electronic Medical Records,"9,400,000","777,110","8,622,890",8.3,543,0
,"Monitoring and Evaluation of
Health","950,000","105,500","844,500",11.1,543,0
,Research & Development,"550,000",-,"550,000",-,543,0
,Policy & Planning Services,"300,000",-,"300,000",-,543,0
,Rehabilitation & Treatment,"2,300,000",-,"2,300,000",-,543,0
,Public Education and Awareness,"2,200,000",-,"2,200,000",-,543,0
,Liquor Licensing,"15,915,000",-,"15,915,000",-,543,0
,Training and Capacity Building,"1,050,850",-,"1,050,850",-,543,0
,Subtotal,"1,383,310,108","221,496,576","1,161,813,532",16.0,543,0
,,A,B,C=A-B,D=B/A*100,544,0
"Ministry of Trade,
Gender and Youth
Affairs",,,,,,544,0
"Youth Affairs Devel-
opment","Youth Co-ordination and Rep-
resentation","4,900,000","141,871","4,758,129",2.9,544,0
,Youth Employment Scheme,"5,790,000","1,031,950","4,758,050",17.8,544,0
,Youth Rare skills,"3,710,000","362,100","3,347,900",9.8,544,0
,Youth and Women Fund,"249,400,000","132,020,500","117,379,500",52.9,544,0
"Modern
Physical Markets
Infrastructure","Construction and Development
of Modern Physical Market","10,345,140","1,841,635","8,503,505",17.8,544,0
,"Co-operative Marketing, Value
Addition, Surveys and Research","6,600,000","385,966","6,214,034",5.8,544,0
,"Co-operative Education, Train-
ing, Exchange and Ushirika Day
Celebration","9,600,000","1,317,024","8,282,976",13.7,544,0
,"Strengthening of Key Dormant
Co-operative Societies","3,600,000","91,008","3,508,992",2.5,544,0
,"Formulation of Co-operative
Policy and Legal Frame Work","3,600,000","195,008","3,404,992",5.4,544,0
,"Co-operative Development
Fund","45,321,825","45,321,825",-,100.0,544,0
"Co-operative
Societies
Development
and Performance
Improvement","Business Development and
Training Services","3,100,000","1,471,562","1,628,438",47.5,544,0
,Consumer rights education,"2,900,000","683,992","2,216,008",23.6,544,0
,"Industrial Development and In-
vestments","7,400,000","934,040","6,465,960",12.6,544,0
,Biashara Fund,"150,000,000","150,000,000",-,100.0,544,0
"General
Administration",General Administration,"12,187,103","9,559,744","2,627,359",78.4,544,0
,Subtotal,"518,454,068","345,358,225","173,095,843",66.6,544,0
"Ministry of Edu-
cation, Sports and
Social Protection",,,,,,544,0
"Social protection
programs/ Affirma-
tive Action","Construction of PWDs
multi-purpose resource centre","22,982,535","2,080,000","20,902,535",9.1,544,0
,"Marginalised and Minority
groups support","32,020,000","330,000","31,690,000",1.0,544,0
,Child Rescue Centres,"44,572,923",-,"44,572,923",-,544,0
,Child Care and Protection,"15,244,498","666,000","14,578,498",4.4,544,0
,,A,B,C=A-B,D=B/A*100,545,0
"Sports and arts
programme",Construction of sport Stadia,"36,926,763","538,400","36,388,363",1.5,545,0
"General
administration",General Administration,"26,337,042","3,291,051","23,045,991",12.5,545,0
,"Turkana Education and Skill
Development Fund","384,219,180","384,219,180",-,100.0,545,0
Vocational Training,"Youth Polytechnic Infrastruc-
ture","60,600,000",-,"60,600,000",-,545,0
,Training and Development,"4,610,000","693,000","3,917,000",15.0,545,0
,Co-Curricular Activities,"3,501,017",-,"3,501,017",-,545,0
,"Youth Polytechnics- Condi-
tional","12,709,894","12,709,894",-,100.0,545,0
Public Relations,Publicity,"1,220,000",-,"1,220,000",-,545,0
,Research and Sensitization,"1,708,000","275,000","1,433,000",16.1,545,0
"Early Childhood
Education",School Feeding,"114,787,478","19,132,302","95,655,176",16.7,545,0
,Quality Improvement,"6,614,000","1,127,580","5,486,420",17.0,545,0
,Infrastructure Development,"516,124,074",-,"516,124,074",-,545,0
,"Support to Pre-Primary Train-
ing","7,201,615","821,200","6,380,415",11.4,545,0
,Subtotal,"1,291,379,019","425,883,607","865,495,412",33.0,545,0
"Ministry of Public
Services, Decentral-
ized Administration
and Disaster Man-
agement",,,,,,545,0
"Operationalisation of
Decentralised Units","Operationalisation of Decen-
tralised Units","11,755,500","2,039,840","9,715,660",17.4,545,0
,Decentralised County Policy,"48,892,458","7,476,370","41,416,088",15.3,545,0
,Coordinated development,"11,600,000","3,291,500","8,308,500",28.4,545,0
,"Policy sensitisation and dissem-
ination","14,604,700","594,400","14,010,300",4.1,545,0
,,A,B,C=A-B,D=B/A*100,546,0
"Governance and
Public Participation",Civic education Programme,"2,000,000",-,"2,000,000",-,546,0
,"Public Participation and access
to information","8,747,050","478,700","8,268,350",5.5,546,0
,County Dialogue Forum,"1,400,000","210,000","1,190,000",15.0,546,0
,National & County Holidays,"2,000,000",-,"2,000,000",-,546,0
,Policies Design,"1,350,000","284,000","1,066,000",21.0,546,0
"Disaster risk
management","Disaster Preparedness Pro-
grammes","2,000,000",-,"2,000,000",-,546,0
,"Disaster Mitigation Pro-
grammes","2,000,000",-,"2,000,000",-,546,0
,"Stakeholders co-ordination and
Support Programme","2,000,000",-,"2,000,000",-,546,0
,"Humanitarian Relief Food
Programme","317,165,000","283,864,943","33,300,057",89.5,546,0
,Disaster Risk Management,"800,000",-,"800,000",-,546,0
Inspectorate services,Inspectorate Training Institute,"24,105,566",-,"24,105,566",-,546,0
,Dispute Resolution,"2,055,390","391,000","1,664,390",19.0,546,0
,Capacity Building,"2,230,664","195,000","2,035,664",8.7,546,0
,Inspectorate Services,"3,700,000","330,000","3,370,000",8.9,546,0
,Inspectorate Services Equip,"3,700,000",-,"3,700,000",-,546,0
,,A,B,C=A-B,D=B/A*100,547,0
"Human resource
management",Payroll and record management,"2,000,000","591,660","1,408,340",29.6,547,0
,Human Resource Development,"3,400,000","1,007,500","2,392,500",29.6,547,0
,"GHRIS Leave and Performance
Module Implementation","2,200,000","216,960","1,983,040",9.9,547,0
,"Digitization and Automation of
Human Resource Registry","3,800,000","723,840","3,076,160",19.0,547,0
,"Mainstreaming Public Sector
Integrity Programme","4,500,000","1,978,551","2,521,449",44.0,547,0
,"County performance manage-
ment","2,300,000","790,201","1,509,799",34.4,547,0
,Public Service Week,"1,800,000",-,"1,800,000",-,547,0
,Records Management,"1,600,000",-,"1,600,000",-,547,0
,HRM,"1,900,000","290,370","1,609,630",15.3,547,0
"General
Administration,
Planning and
Support Services-
Public Service",General Administration,"4,178,992,315","2,474,975,261","1,704,017,054",59.2,547,0
,Subtotal,"4,664,598,643","2,779,730,096","1,884,868,547",59.6,547,0
"Ministry of Infra-
structure, Transport
and Public Works",,,,,,547,0
"Develop and Main-
tain Roads","Roads maintenance levy fund
(RMLF)","191,000,000","27,015,520","163,984,480",14.1,547,0
,Roads,"107,250,000",-,"107,250,000",-,547,0
"Develop and
maintain staff
housing and
public offices",Staff Housing,"88,850,676",-,"88,850,676",-,547,0
"Develop and
maintain other
public works",Machinery,"30,000,000","14,080,100","15,919,900",46.9,547,0
,Professional Capacity Building,"9,350,000",-,"9,350,000",-,547,0
"General
Administration",General Administration,"93,083,737","2,558,033","90,525,704",2.7,547,0
,"General Administration- Public
works","32,128,720","2,112,487","30,016,233",6.6,547,0
,Sub Total,"551,663,133","45,766,140","505,896,993",8.3,547,0
,,,,,,547,0
,,,,,,547,0
,,A,B,C=A-B,D=B/A*100,548,0
"Ministry of Agricul-
ture, Pastoral Econo-
my and Fisheries",,,,,,548,0
"Revival of Turkana
Fishermen Co-op.
society",Spate Irrigation Technology,"251,713,482","194,880","251,518,602",0.1,548,0
,Rehabilitation,"1,000,000",-,"1,000,000",-,548,0
,Soil & Water Conservation,"10,200,000",-,"10,200,000",-,548,0
"Fish market
infrastructure/ fish
value addition","Fish market infrastructure/ fish
value addition","21,100,000",-,"21,100,000",-,548,0
,Fisheries livelihood support,"33,300,000",-,"33,300,000",-,548,0
,Fisheries Extension Services,"2,500,000","308,000","2,192,000",12.3,548,0
,Fisheries resource management,"17,600,000","681,800","16,918,200",3.9,548,0
,Fish Farming and Aquaculture,"4,200,000",-,"4,200,000",-,548,0
"Sustainable
management of
fisheries resources",Frame survey,"65,000,000","433,500","64,566,500",0.7,548,0
,Fish Stock assessment,"3,200,000","34,700","3,165,300",1.1,548,0
,"Monitoring, Control and Sur-
veillance","16,500,000","592,000","15,908,000",3.6,548,0
,Resource monitoring facilities,"2,850,000","542,400","2,307,600",19.0,548,0
"Livestock breed
improvement","Establish livestock Multiplica-
tion and breeding Centre.","38,200,000",-,"38,200,000",-,548,0
,"Provision of Livestock Exten-
sion services","2,600,000","144,200","2,455,800",5.5,548,0
,"Livestock multiplication and
breeding centre","19,500,000",-,"19,500,000",-,548,0
,Livestock Value Chain,"68,100,000","200,000","67,900,000",0.3,548,0
,Skills Development,"19,100,000","101,000","18,999,000",0.5,548,0
"General
Administration",General Administration,"22,800,000","3,775,475","19,024,525",16.6,548,0
,"General Administration and
Support Services- Pastoral
Economy and","33,300,000","5,022,102","28,277,898",15.1,548,0
,,A,B,C=A-B,D=B/A*100,549,0
"Agriculture Pro-
gramme","Agri-nutrition/Urban and
peri-urban agriculture","8,100,000",-,"8,100,000",-,549,0
,"Smart agriculture practices
(Innovations/technologies to
mitigate","14,200,000",-,"14,200,000",-,549,0
,"Agricultural Sector Devel-
opment Support Programme
(ASDSP)","16,500,000",-,"16,500,000",-,549,0
,Agricultural Mechanisation,"27,308,874","150,000","27,158,874",0.5,549,0
,Agric Market Access,"1,200,000","98,000","1,102,000",8.2,549,0
,"Agric Extension and Develop-
ment","34,900,000","610,500","34,289,500",1.7,549,0
,Subsidy & Support,"3,700,000",-,"3,700,000",-,549,0
,Pest Control and Management,"4,800,000",-,"4,800,000",-,549,0
,NARIGP,"28,615,338",-,"28,615,338",-,549,0
,DRNKP/KfW,"22,000,000",-,"22,000,000",-,549,0
,,"794,087,694","12,888,557","781,199,137",1.6,549,0
"Ministry of Tourism,
Culture and Natural
Resources",,,,,,549,0
"Establishment and
rehabilitation of pub-
lic utilities in Lodwar","Improvement of Moi Garden
Stadia","27,000,000",-,"27,000,000",-,549,0
,completion of recreational park,"24,500,000",-,"24,500,000",-,549,0
,"setting up of dumping site in
Lodwar","85,978,013",-,"85,978,013",-,549,0
"General
Administration","General Administration, Plan-
ning and Support Services","35,300,000","5,390,420","29,909,580",15.3,549,0
"Tourism destination
marketing and
promotion","Tourism expos, incentives,
conferences and exhibition
programs","1,500,000",-,"1,500,000",-,549,0
,"Community-Based Tourism
products","1,000,000",-,"1,000,000",-,549,0
,"Tourism Market Research
(Baseline Survey and Mapping)","35,300,000","489,820","34,810,180",1.4,549,0
,"Media Campaigns and Promo-
tion of Tourism Products and
Programmes","1,000,000",-,"1,000,000",-,549,0
,,A,B,C=A-B,D=B/A*100,550,0
"Culture,
arts, heritage
development,
promotion and
preservation",Ushanga Initiative,"10,500,000","323,200","10,176,800",3.1,550,0
,"Culture Promotion and Pres-
ervation","9,700,000","268,800","9,431,200",2.8,550,0
,"Annual tourism and cultural
festival","30,000,000","2,745,100","27,254,900",9.2,550,0
"Culture development
and preservation
infrastructure","Equipment and Infrastructure
Development at Ekalees Centre","10,000,000",-,"10,000,000",-,550,0
"Forestry and
wildlife management
development and
management","Forestry Management and
Conservation","4,000,000","1,480,850","2,519,150",37.0,550,0
,"Community Wildlife Conser-
vation","1,500,000",-,"1,500,000",-,550,0
,"Forest Nature-Based Develop-
ment","2,000,000",-,"2,000,000",-,550,0
,"Forestry Development Infra-
structure","33,100,000",-,"33,100,000",-,550,0
,Forestry Protection,"1,000,000",-,"1,000,000",-,550,0
,Prosopis Management,"2,000,000","135,000","1,865,000",6.8,550,0
"Heritage
Development
Promotion &
Preservation","Heritage Development Promo-
tion and Preservation","1,000,000",-,"1,000,000",-,550,0
,Arts & Creativity Development,"1,000,000",-,"1,000,000",-,550,0
"Environmental
Governance
Compliance
Conservation
Protection and
Management","Environmental Governance
and Compliance","2,000,000","466,400","1,533,600",23.3,550,0
,"Environmental Protection and
Conservation","1,500,000","440,625","1,059,375",29.4,550,0
,"Plastic Collection Re-use
Facility","920,287",-,"920,287",-,550,0
,"Climate Change and Adapta-
tion","1,500,000","242,900","1,257,100",16.2,550,0
"Mineral Resource
Mapping Capacity
Building and
Management",Mineral Resource Mapping,"1,000,000",-,"1,000,000",-,550,0
,"Management of Mining and
Quarrying activities","2,000,000",-,"2,000,000",-,550,0
,"Capacity building in the ex-
ploitation of Mineral Resources","2,000,000",-,"2,000,000",-,550,0
,"Extractives Engagement Bills
and Policies","3,000,000",-,"3,000,000",-,550,0
Petroleum,Oil and Gas,"2,000,000","304,200","1,695,800",15.2,550,0
,"Establishment of Extractive
Sector Regulations and Strat-
egies","2,700,000",-,"2,700,000",-,550,0
,,A,B,C=A-B,D=B/A*100,551,0
"Energy Development
Programme","Renewable Energy Develop-
ment","3,700,000","300,000","3,400,000",8.1,551,0
"Turkana Agriculture
Programme","Organising field days, show and
exhibitions","18,512,656",-,"18,512,656",-,551,0
"Turkana
Rehabilitation
Programme",Artisanal Mining Equipment,"9,000,000",-,"9,000,000",-,551,0
,Sub Total,"367,210,956","12,587,315","354,623,641",3.4,551,0
"Ministry of Lands,
Energy, Housing and
Urban Areas Man-
agement",,,,,,551,0
"Adjudication, regis-
try and settlement","Delineation & adjudication of
community land","5,500,000","997,500","4,502,500",18.1,551,0
Spatial Planning,Spatial Planning,"83,800,000","956,800","82,843,200",1.1,551,0
"Formulation
of community
land policy and
regulations",Urban Centre Management,"65,500,000","64,600","65,435,400",0.1,551,0
"Compulsory land
acquisition for
public utilities","Land acquisition for public
utilities","16,600,000","36,400","16,563,600",0.2,551,0
"General
Administration","Lands General Administration,
Planning and Support Services","25,300,000","7,985,951","17,314,049",31.6,551,0
Land Governance,Land Policies,"72,260,517","1,361,640","70,898,877",1.9,551,0
,Sub Total,"268,960,517","11,402,891","257,557,626",4.2,551,0
"Turkana County
Assembly",,,,,,551,0
Headquarters,"General administration As-
sembly","781,396,750","41,434,782","739,961,968",5.3,551,0
,Speakers Residents,"52,930,354",-,"52,930,354",-,551,0
,"Construction of New County
Assembly","19,623,059",-,"19,623,059",-,551,0
,"General Administration, Plan-
ning and Support Services","168,000,000",-,"168,000,000",-,551,0
,Sub Total,"1,021,950,163","41,434,782","980,515,381",4.1,551,0
"Turkana County
Public Service Board",,,,,,551,0
"County Internship
Programme",County Internship Programme,"42,000,000","23,271,489","18,728,511",55.4,551,0
,,A,B,C=A-B,D=B/A*100,552,0
"Mainstream Public
Sector Integrity
programme and
Accountability","Mainstream Public Sector
Integrity programme and Ac-
countability","2,800,000","1,803,600","996,400",64.4,552,0
,"Public Evaluation of County
Public Service Board Perfor-
mance","4,000,000","1,899,949","2,100,051",47.5,552,0
,"Human Resource Conference
and Symposium","4,000,000","1,440,576","2,559,424",36.0,552,0
,Exit Meetings Per Department,"2,438,076","1,689,800","748,276",69.3,552,0
,"Assessment and stakeholder
capacity mapping","5,579,752","2,310,900","3,268,852",41.4,552,0
Human resource,Scheme of service,"3,200,000","1,506,800","1,693,200",47.1,552,0
,Performance Appraisal,"6,780,000","3,143,500","3,636,500",46.4,552,0
,"Enhancing Leadership in
County Public Service","3,141,800","1,244,900","1,896,900",39.6,552,0
,"Performance Management
Monitoring","1,970,860","311,250","1,659,610",15.8,552,0
,"County Public Service Pre-Re-
tirement Sensitization","2,397,520","1,297,350","1,100,170",54.1,552,0
,"Evaluation of Different Cadres
of Employees (Promotion, Re
Designation","2,595,308","1,234,000","1,361,308",47.5,552,0
"Quality
Management Systems","Quality Management Systems
Development and Establishment","3,000,000","433,626","2,566,374",14.5,552,0
,"QMS Audit /Routine Inspec-
tion","3,218,040","332,000","2,886,040",10.3,552,0
,"Documentation/Record Man-
agement for QMS","3,783,360","480,200","3,303,160",12.7,552,0
"Development
co-ordination
Programme",Donor scan/Mapping,"5,041,530","2,864,660","2,176,870",56.8,552,0
,"Establishment of development
committees","3,395,318","1,789,713","1,605,605",52.7,552,0
,"Training of the development
committees","3,381,752","1,724,440","1,657,312",51.0,552,0
,"Formulation and Development
of TCPSB Boardroom ICT
Infrastructure","2,380,000",-,"2,380,000",-,552,0
,Sub Total,"105,103,316","48,778,753","48,504,776",46.4,552,0
"Office of the County
Attorney",,,,,,552,0
"General Adminis-
tration, Planning and
Support Services","General Administration,
Planning and Support Services-
County At","35,004,458","2,289,525","7,452,800",6.5,552,0
