Programme,Sub-Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual Expen-
diture (Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,356,0
3011 The Executive,"Governor's Affairs & Advisory
Services","160,000,000","112,675,290","47,324,710",70.4,356,0
,"Deputy Governor's Affairs & Ex-
ternal Relations","90,000,000",-,"90,000,000",-,356,0
,"Cabinet Affairs, Policy Research
and Legal Services","80,500,000",-,"80,500,000",-,356,0
,MV 2035 & E-Government,"18,000,000",-,"18,000,000",-,356,0
,Strategic Delivery Unit,"36,500,000",-,"36,500,000",-,356,0
"3013 County Public Ser-
vice Board",Administration Unit,"150,000,000","51,011,377","98,988,623",34.0,356,0
"3014 Finance and Eco-
nomic Planning",Administration Unit,"825,323,346","958,683,455","(133,360,109)",116.2,356,0
,Accounting Unit,"30,150,000","6,393,178","23,756,822",21.2,356,0
,Planning and Monitoring Unit,"39,010,654","7,405,479","31,605,174",19.0,356,0
"3015 Energy, Environ-
ment & Waste Manage-
ment","Administration, Planning and
Support Services","569,234,748","262,673,736","306,561,012",46.1,356,0
,Waste Management,"75,239,000",-,"75,239,000",-,356,0
,"Environmental Compliance and
Monitoring","126,960,000",-,"126,960,000",-,356,0
,Climate Change,"180,239,000",-,"180,239,000",-,356,0
,Energy,"93,327,252",-,"93,327,252",-,356,0
"3016 Education, Infor-
mation Technology &
MV 2035","General Administration, Plan-
ning and Support Services","349,626,000","48,315,377","301,310,623",13.8,356,0
,Education headquarters,"104,200,000",-,"104,200,000",-,356,0
,Childcare,"117,500,000",-,"117,500,000",-,356,0
,Elimu Fund,"211,890,000",-,"211,890,000",-,356,0
,"Information Technology Head-
quarters","144,300,000",-,"144,300,000",-,356,0
3017 Health Services,Administration Unit,"3,034,341,215","2,329,412,071","704,929,145",76.8,356,0
,Curative/Clinical Health Services,"231,789,182","171,094,140","60,695,042",73.8,356,0
,"Preventive and Promotive Ser-
vices Unit","86,072,683",-,"86,072,683",-,356,0
,,A,B,C=A-B,D=B/A*100,357,0
,Special Programs,"51,796,920",-,"51,796,920",-,357,0
"3018 Water, Sanitation
& Natural Resources",Administration unit,"1,063,570,000","5,486,684","1,058,083,316",0.5,357,0
,"Sanitation/Sewerage Services
Headquarters","28,750,000",-,"28,750,000",-,357,0
,Water Supply Headquarters,"20,450,000",-,"20,450,000",-,357,0
,Natural Resources,"17,230,000",-,"17,230,000",-,357,0
"3019 Youth, Gender,
Sports and Cultural Af-
fairs",Administration Unit,"108,391,660","11,809,565","96,582,095",10.9,357,0
,Youth Empowerment,"52,380,003",-,"52,380,003",-,357,0
,"Gender Affairs and Disability
Mainstreaming","77,000,000",-,"77,000,000",-,357,0
,Sports Unit,"474,100,000",-,"474,100,000",-,357,0
,Sports development,"30,500,000",-,"30,500,000",-,357,0
,Cultural Affairs,"17,628,337",-,"17,628,337",-,357,0
,"Public Recreation and Entertain-
ment",,,,,357,0
"3020 Trade, Tourism &
Investment",Administration Unit,"335,745,978","51,517,721","284,228,257",15.3,357,0
,Trade Development,"163,787,810",-,"163,787,810",-,357,0
,Development of Tourism,"22,158,933",-,"22,158,933",-,357,0
,"Investment Promotion and Prod-
ucts Headquarters",-,-,-,-,357,0
,"Ease of Doing Business-Head-
quarters","73,105,082",-,"73,105,082",-,357,0
,"Development of County Indus-
trial Parks","235,202,197",-,"235,202,197",-,357,0
"3021 Lands, Housing
and Physical Planning",Administration Unit,"216,660,381","21,201,282","195,459,099",9.8,357,0
,Land Management Unit,"23,566,175",-,"23,566,175",-,357,0
,Physical planning,"87,650,000",-,"87,650,000",-,357,0
,Housing Development Unit,"45,350,000",-,"45,350,000",-,357,0
,Urban Renewal,"296,773,444",-,"296,773,444",-,357,0
"3022 Transport, In-
frastructure & Public
Works",Administration Unit,"430,992,272","52,471,149","378,521,123",12.2,357,0
,Road and Transport Unit,"474,902,430","14,843,645","460,058,784",3.1,357,0
,Works Unit,"19,750,000",-,"19,750,000",-,357,0
,"Transport Planning, Manage-
ment and Safety","38,780,298",-,"38,780,298",-,357,0
,Mechanical Services,"69,375,000",-,"69,375,000",-,357,0
