Programme,Sub-Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual Ex-
penditure Q2
FY 2022/23
(Kshs.)","Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,78,1
"Department of Agriculture, Livestock and Fisheries",,,,,,78,1
"CP 1: General Administra-
tion and support services","CSP 1.1: Administrative sup-
port service","258,214,274","129,941,608","128,272,665",50.3,78,1
"CP 2: Land use and man-
agement","CSP 2.1: Agricultural mecha-
nisation","10,100,000",-,"10,100,000",-,78,1
"CP 3: Crop production and
management",CSP 3.1 Input support services,"5,400,000",-,"5,400,000",-,78,1
,CSP 3.2: Crop development,"5,400,000",-,"5,400,000",-,78,1
,CSP 3.3: Crop protection,"5,200,000",-,"5,200,000",-,78,1
,,A,B,C=A-B,D=B/A*100,79,0
"CP 4: Agricultural Training
and Extension Services","CSP 4.1: Agriculture
extension services","5,000,000","4,499,340","500,660",90.0,79,0
,"CSP 4.2: Agricultural Training
services","36,009,940","11,696,960","24,312,980",32.5,79,0
"CP 5: Kenya Climate
SMART Agriculture
program","CSP 5.1: Kenya Climate
SMART","145,000,000",-,"145,000,000",-,79,0
"CP 6: Agribusiness and
agricultural Value Chain
Development",CSP 6.1: Value addition,"8,200,000",-,"8,200,000",-,79,0
"CP 7: Agricultural Fi-
nancial and Investment
services","CSP 7.1: Agriculture develop-
ment fund","3,000,000",-,"3,000,000",-,79,0
"CP 8: Fisheries and Aqua-
culture Resource Develop-
ment","CSP 8.1: Aquaculture develop-
ment","21,745,506",-,"21,745,506",-,79,0
,"CSP 8.2: Fisheries training
infrastructure development","10,000,000","4,996,890","5,003,110",50.0,79,0
"CP 9: Livestock Production
Development","CSP 9.1: Livestock production
improvement","60,123,685","16,604,136","43,519,549",27.6,79,0
,CSP 9.2: Livestock Extension,"6,000,000","5,843,250","156,750",97.4,79,0
"CP 10: Veterinary health
services","CSP 10.1: Veterinary Disease
Control","14,751,914",-,"14,751,914",-,79,0
,CSP 10.2: AI services,"4,100,000",-,"4,100,000",-,79,0
