Department,Program,Sub-Program,Approved Estimate,col_4,Cumulative Expenditure,col_6,Absorption Rate (%),col_8,page_number,table_index
,,,Recurrent,Development,Recurrent,Development,"Recurrent
Expenditure","Development
Expenditure",489,1
"Executive Office
of the Governor
and the Deputy
Governor","Management and
Co-ordination of
county affairs","Administration,
planning and
support services","149,362,68","8 46,600,000","132,597,084","18,785,244",89,40,489,1
,,"coordination of
county functions","18,315,28",4 -,"17,530,123",-,96,-,489,1
,,"Management of
county affairs","5,249,56",5 -,"4,748,735",-,90,-,489,1
"Executive Office
of the Governor
and the Deputy
Governor Total",,,"172,927,53","7 46,600,000","154,875,942","18,785,244",90,40,489,1
,,,Recurrent,Development,Recurrent,Development,"Recurrent
Expenditure","Development
Expenditure",490,0
"Office of the
County Secretary","Coordination of
County Functions
and Public Service
Management","Administration,
planning and
support services","140,875,811","14,250,000","130,902,364","13,285,435",93,93,490,0
,,"County publicity
campaign","2,183,220",-,"1,767,133",-,81,-,490,0
"Office of the
County Secretary
Total",,,"143,059,031","14,250,000","132,669,497","13,285,435",93,93,490,0
"Finance, Economic
Planning and ICT",Executive services,"Administration and
personnel services","712,796,361","66,662,775","662,002,517","46,719,795",93,70,490,0
,"Economic
Planning
and Policy
Formulation","Economic Planning
and Policy
Formulation","15,261,036",-,"13,873,064",-,91,-,490,0
,,"Monitoring and
Evaluation","9,064,060",-,"8,958,984",-,99,-,490,0
,"Public Finance
Management","Financial
Accounting","43,449,974",-,"40,018,981",-,92,-,490,0
,,Internal Audit,"9,212,300",-,"8,469,352",-,92,-,490,0
,,"Procurement
Compliance and
Reporting","13,076,679",-,"12,277,525",-,94,-,490,0
,ICT Development,"ICT Infrastructure
Development","5,467,575",-,"5,264,420",-,96,-,490,0
,"Revenue
Mobilization","Revenue
Mobilization","71,068,678",-,"63,842,859",-,90,-,490,0
"Finance, Economic
Planning and ICT
Total",,,"879,396,663","66,662,775","814,707,702","46,719,795",93,70,490,0
"Lands, Physical
Planning
and Urban
Development","Physical planning
services","Administration and
personnel services","86,379,643","295,211,992","80,100,037","265,202,796",93,90,490,0
,"Housing
Development
and Human
Settlement","Government
Building","4,821,057",-,"4,155,797",-,86,-,490,0
,"Land Policy and
Planning","Land Policy
Formulation","4,277,943",-,"4,094,302",-,96,-,490,0
"Lands, Physical
Planning
and Urban
Development
Total",,,"95,478,643","295,211,992","88,350,136","265,202,796",93,90,490,0
"Health Services
and Public Health","Administration,
Planning and
General Support
Services","Administration,
Planning and
General Support
Services","2,425,965,931","465,963,767","2,419,001,088","280,334,036",100,60,490,0
,Health Services,Community Health,"2,922,000",-,"2,823,843",-,97,-,490,0
,,Health Services,"30,354,638",-,"30,354,638",-,100,-,490,0
"Health Services
and Public Health
Total",,,"2,459,242,569","465,963,767","2,452,179,569","280,334,036",100,60,490,0
"Gender, Youth,
Social Services
and Sports","General
Administration
and Planning
services","Administration and
personnel services","78,560,305",-,"75,066,667",-,96,-,490,0
,"Library Services
and Disaster
Management","Administration and
planning services","17,627,000","96,000,492","14,562,834","89,685,572",83,93,490,0
,"Social
Development and
Protection","County children’s
home management","3,242,000",-,"2,822,442",-,87,-,490,0
,,,Recurrent,Development,Recurrent,Development,"Recurrent
Expenditure","Development
Expenditure",491,0
,"Sports and Talents
Development","Recreation and
Sporting Services",-,"27,582,011",-,"23,619,912",-,86,491,0
,,"Search and nurture
talents","7,167,588",-,"3,762,660",-,52,-,491,0
"Gender, Youth,
Social Services
and Sports Total",,,"106,596,893","123,582,503","96,214,603","113,305,484",90,92,491,0
"County Public
Service and
Solid Waste
Management","Human resources
Management","Administration
Planning and
Support Services","408,745,064","17,194,150","340,207,892","10,282,852",83,60,491,0
,"Sanitation
management","Administrative
Support Services",-,"35,500,000",-,"33,124,898",-,93,491,0
,,"Environment
Conservation,
Protection and
Management","8,448,828",-,"6,531,427",-,77,-,491,0
"County Public
Service and
Solid Waste
Management Total",,,"417,193,892","52,694,150","346,739,319","43,407,750",83,82,491,0
"Agriculture,
Livestock and
Aquaculture
Development","Agricultural
Management","Administration and
planning services","232,191,315","68,199,929","219,095,765","56,789,450",94,83,491,0
