Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",256,1
3711-Kitui - Office of The Governor,,,,,,,,256,1
"Cabinet Affairs, Public
Affairs and Human
Resources","Decentralized Unit
Headquarters","66,239,097","158,059,406","60,264,415","26,414,373",91,17,256,1
Devolution Services,"Decentralized Units
Service Delivery","30,321,998",-,"24,509,494",-,81,,256,1
"General Administration
Planning and Support
Services","General Administration
and Planning
Headquarters","855,403,200","1,072,405,539","881,079,982","964,814,788",103,90,256,1
National Social Safety Net,"General Administration
Headquarters","104,977,143","55,184,474","112,516,785","54,913,127",107,100,256,1
Enforcement Unit,"Service Delivery Unit
-H/Qs","67,863,410",-,"52,176,647",-,77,-,256,1
"Monitoring And
Evaluation","Service Delivery Unit
-H/Qs","21,951,280",-,"35,940,838",-,164,-,256,1
Governors Services,"Delivery Unit
Headquarters","45,862,672",-,"44,415,879",-,97,-,256,1
Chief Of Staff,"Chief Of Staff
Headquarters","31,958,000",-,28783696,-,90,,256,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",257,0
"Office Of the County
Attorney","Office Of Attorney
Headquarters","50,875,866.00",-,50713416,-,100,-,257,0
"Office Of the County
Secretary","County Secretary
Headquarters",-,-,-,-,-,-,257,0
TOTAL,-,"1,275,452,666.00","1,285,649,419.00","1,290,401,152.00","1,046,142,288.00",101,81,257,0
Ministry Of Health and Sanitation,,,,,,,,257,0
Curative Health Services,"Curative And
Rehabilitative Services
Headquarters",-,"34,767,495",-,"30,721,685",-,88,257,0
"General Administration
Planning and Support
Services","Medical Services
Headquarters","69,671,076","2,999,805","68,765,794","2,999,000",99,100,257,0
"General Administration
Planning and Support
Services","Medical Services
Headquarters","852,175,390","169,205,523","852,132,731","151,819,120",100,90,257,0
Curative Health Services,Medical Services,"1,525,415,917","21,274,334","1,511,323,131","20,208,894",99,95,257,0
"Maternal And Child
Health",Public Health,"148,878,249",-,"149,047,622",-,100,-,257,0
"Preventive And Promotive
Health Services",Public Health,"871,389,880","22,087,656","873,231,597","14,680,665",100,66,257,0
Total,-,"3,467,530,512","250,334,813","3,454,500,875","220,429,364",100,88,257,0
County Public Service Board,,,,,,,,257,0
"General Administration,
Planning and Support
Services","General Administration
and Planning
Headquarters","46,475,589","15,000,000","44,869,346",-,97,-,257,0
"Human Resource
Management &
Development",HRM Headquarters,"13,194,096",-,"12,168,885",-,92,-,257,0
"Governance And County
Values",Governance Headquarters,"4,664,118",-,"4,480,695",-,96,-,257,0
Total,-,"64,333,803","15,000,000","61,518,926",-,96,-,257,0
County Assembly,,,,,,,,257,0
"General Administration,
Planning and Support
Services","General Administration,
Planning and Support
Services Headquarters","318,725,913","229,058,553","309,750,616","26,200,000",97,11,257,0
"Legislative Representation
and Oversight",Legislative Headquarters,"862,088,375",-,"687,010,678",-,80,-,257,0
,,"1,180,814,288","229,058,553","996,761,294","26,200,000",84,11,257,0
Kitui Municipality,,,,,,,,257,0
