Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate (%),col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Rec,Dev,516,1
Department County Assembly,,,,,,,,516,1
Programme 1.,,"808, 171, 151","330, 655, 931","803, 782, 755","188, 893, 780",-,-,516,1
,S.P. 2. Legislation,"324, 904, 421",-,"322, 952, 374",-,99.3,-,516,1
,S.P. 3. Oversight,"43, 100, 000",-,"43, 099, 950",-,100,-,516,1
,"S.P 4. Staff management
and development","451, 235, 650","330, 655, 931","437, 730, 432","188, 893, 780",97.0,57.1,516,1
,Sub Total,"808, 171, 151","330, 655, 931","803, 782, 755","188, 893, 780",-,-,516,1
Department of Finance and Economic Planning,,,,,,,,516,1
Programme 3.,,"1,085,287,604","35, 768, 230","848, 573, 583","5, 801, 317",,,516,1
,S.P. 1. Financial services,"26, 678, 460",-,"14, 576, 702",-,54.6,-,516,1
,"S.P. 2. Administration
planning, revenue","892, 428, 242","35, 768, 230","688, 877, 055","5, 801, 317",77.2,16.2,516,1
,S.P. 3. Procurement,"7, 904, 321",-,"7, 151, 084",-,90.5,-,516,1
,S.P. 4. Budget services,"85, 262, 111",-,"66, 306, 806",-,77.8,-,516,1
,"S.P. 5. Internal Audit
services","10, 439, 329",-,"9, 100, 774",-,87.2,-,516,1
,"S.P. 6. Economic planning
services","39, 779, 511",-,"31, 113, 069",-,78.2,-,516,1
,S.P. 7. Planning services,"22, 795, 321",-,"31, 448, 092",-,13.8,-,516,1
,Sub-Total,"1,085,287,604","35, 768, 230","848, 573, 583","5, 801, 317",,,516,1
,,,,,,,494,516,1
,,Recurrent,Development,Recurrent,Development,Rec,Dev,517,0
Department of Health Services.,,,,,,,,517,0
Programme 1.,,"2,209,849,928","368, 105, 701","1,649,397,895","267, 215, 553",-,-,517,0
,"S.P. 1. General
administration & planning","1,607,868,554",-,"1,347,156,457",-,83.8,-,517,0
,"S.P. 2. Curative healthcare
services","195, 093, 825","191, 582, 155","150, 306, 950","160, 621, 271",77.0,83.8,517,0
,"S.P. 3. Preventive,
promotive & rehabilitative","109, 776, 175","176, 523, 546","86, 280, 805","106, 594, 282",78.6,60.4,517,0
,"S.P. 5. Facility
improvement fund","151, 814, 034",-,"31, 410, 905",-,20.7,-,517,0
,S.P. 6. HIV services,"30, 160, 688",-,"30, 121, 894",-,99.9,-,517,0
,S.P. 8. TB services,"4, 400, 000",-,"3, 851, 884",-,87.5,-,517,0
,S.P. 9. Nutrition services,"60, 578, 536",-,"63, 000",-,0.1,-,517,0
,"S.P. 10. Environmental
health services","50, 158, 116",-,"206, 000",-,0.4,-,517,0
,Sub-Total,"2,209,849,928","368,105,701","1,649,397,895","267, 215, 553",,,517,0
"Governorship, administration and ICT",,,,,,,,517,0
Programme 2.,,"540, 322, 777","6, 128, 430","452, 061, 190","5, 110, 974",-,-,517,0
,"S.P. 1. General admin,
planning & support
services","204, 626, 124",-,"171, 815, 588",-,84.0,-,517,0
,"S.P. 2. Office of the
Governor","135, 561, 668","6, 128, 430","106, 760, 100","5, 110, 974",78.8,83.4,517,0
,"S.P. 3. County executive
administration","3, 814, 267",-,"3, 292, 278",-,86.3,-,517,0
,"S.P. 4. County Public
Service Board","61, 651, 031",-,"51, 534, 203",-,83.6,-,517,0
,"S.P. 5. Firefighting &
disaster management","5, 696, 955",-,"5, 330, 530",-,93.6,-,517,0
,"S.P. 6. Sub-county
administration","121, 846, 232",-,"106, 939, 962",-,87.8,-,517,0
,"S.P. 7. Human resource
management","7, 126, 500",-,"6, 288, 530",-,8.2,-,517,0
,Subtotal,"540, 322, 777","6, 128, 430","452, 061, 190","5, 110, 974",,,517,0
"Department of Smart agriculture, irrigation, food security, livestock and fisheries",,,,,,,,517,0
Programme 1.,,"313, 275, 025","628, 753, 785","229, 927, 389","492, 805, 605",,,517,0
,"S.P. 1. General
administration","96, 665, 644","265, 386, 485","63, 707, 616","135, 139, 988",65.9,50.9,517,0
,S.P. 3. Veterinary services,"24, 551, 276","25, 306, 524","6, 278, 587","18, 855, 499",25.6,74.5,517,0
,S.P. 4. Crop management,"166, 098, 017","290, 460, 308","152, 228, 452","313, 182, 451",91.6,107.8,517,0
,"S.P. 5. Fisheries
development &
management","25, 960, 088","47, 600, 468","7, 712, 734","25, 627, 666",29.7,53.8,517,0
