Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 30th
June 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",563,1
"Agriculture, Livestock",,,,,,,,563,1
"Crop Devel-
opment",Crop Diversification,-,"346,041,386",-,"324,075,860",-,93.7,563,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",564,0
,"Post-harvest management
and value addition",-,"202,326,469",-,"60,826,707",,30.1,564,0
,"Administrative and
Support Services","261,481,256",-,"259,806,081",-,99.4,-,564,0
,Sub Total,"261,481,256","548,367,855","259,806,081","384,902,567",99.4,70,564,0
"Trade, Commerce and Industry",,,,,,,,564,0
"Medium
and small
Enterprises","Medium and small
Enterprises",-,"561,995,111",-,"154,247,245",-,27.4,564,0
"Adminis-
trative and
Support
Services","Administrative and
Support Services","47,991,495",-,"46,252,304",-,96.4,-,564,0
,Sub-Total,"47,991,495","561,995,111","46,252,304","154,247,245",96.4,27.4,564,0
"Water, Environment and Natural Resources",,,,,,,,564,0
"Environment
management
and protec-
tion",Waste Management,-,"555,285,902",-,"149,282,520",-,26.9,564,0
"Adminis-
trative and
Support
Services","Administrative and
Support Services","71,639,564",-,"70,669,166",-,98.6,-,564,0
,Sub-Total,"71,639,564","555,285,902","70,669,166","149,282,520",98.6,26.9,564,0
"Public Works, Roads and Infrastructure",,,,,,,,564,0
"Road
Construction
and Road
Maintenance",Maintenance of Roads,-,"490,021,850",-,"457,347,985",-,93.3,564,0
"Adminis-
trative and
Support
Services","Administrative and
Support Services","138,711,444",-,"137,938,889",-,99.4,-,564,0
,Sub-Total,"138,711,444","490,021,850","137,938,889","457,347,985",99.4,93.3,564,0
"Lands, Housing and Urban Planning",,,,,,,,564,0
"Adminis-
trative and
Support
Services","Administrative and
Support Services","86,618,815","426,545,094","86,299,067","374,091,724",99.6,87.7,564,0
,Sub-Total,"86,618,815","426,545,094","86,299,067","374,091,724",99.6,87.7,564,0
"Gender, Sports, Culture and Tourism",,,,,,,,564,0
"Cultural
development
and promo-
tion",Culture development,-,"306,437,301",-,"289,337,688",-,94.4,564,0
"Adminis-
trative and
Support
Services","Administrative and
Support Services","151,622,882",-,"149,966,994",-,98.9,-,564,0
,Sub-Total,"151,622,882","306,437,301","149,966,994","289,337,688",98.9,94.4,564,0
Public Service Management,,,,,,,,564,0
"Infrastruc-
ture Devel-
opment","Supervision and
Management of Projects",-,"342,307,924",-,"162,048,335",-,47.3,564,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",565,0
"Adminis-
trative and
Support
Services","Administrative and
Support Services","587,155,177",-,"585,838,529",-,99.8,-,565,0
,Sub-Total,"587,155,177","342,307,924","585,838,529","162,048,335",99.8,47.3,565,0
Education and ICT,,,,,,,,565,0
"Vocational
Training
Develop-
ment","Vocational Training
Development",-,"146,790,725",-,"35,436,132",-,24.1,565,0
"Adminis-
trative and
Support
Services","Administrative and
Support Services","627,282,622",-,"623,817,577",-,99.4,-,565,0
,Sub-Total,"627,282,622","146,790,725","623,817,577","35,436,132",99.4,24.1,565,0
Finance,,,,,,,,565,0
"Adminis-
trative and
Support
Services","Supervision and
Management of Projects",-,"399,240,847",-,"273,719,680",-,68.6,565,0
,"Administrative and
Support Services","667,370,844",-,"653,398,943",-,97.9,-,565,0
,Sub-Total,"667,370,844","399,240,847","653,398,943","273,719,680",97.9,68.6,565,0
Governance,,,,,,,,565,0
"Infrastruc-
ture Devel-
opment","Supervision and
Management of Projects",-,"5,000,000",-,-,-,-,565,0
"Adminis-
trative and
Support
Services","Administrative and
Support Services","162,671,440",-,"161,199,456",-,99.1,-,565,0
,Sub-Total,"162,671,440","5,000,000","161,199,456",-,99.1,-,565,0
County Public Service Board,,,,,,,,565,0
"Governance
and County
Values","Infrastructure
Development",-,"12,995,000",-,"1,278,050",-,9.8,565,0
"Adminis-
trative and
Support
Services","Administrative and
Support Services","74,560,299",-,"74,312,445",-,99.7,-,565,0
,Sub-Total,"74,560,299","12,995,000","74,312,445","1,278,050",99.7,9.8,565,0
Health Corporate,,,,,,,,565,0
"Adminis-
trative and
Support
Services",Preventive Health Services,-,"198,958,655",-,"35,052,135",-,17.6,565,0
,"Administrative and
Support Services","2,071,639,253",-,"2,071,201,615",-,100,-,565,0
,Sub-Total,"2,071,639,253","198,958,655","2,071,201,615","35,052,135",100,17.6,565,0
Economic Planning,,,,,,,,565,0
"County
Research and
Development
Planning",,-,"11,800,000",-,-,-,-,565,0
