col_0,Revised Estimates,col_2,col_3,Expenditure,col_5,col_6,"Absorption
Rate(%)",page_number,table_index
Description,Recurrent,Development,Gross,Recurrent,Development,Gross,,444,0
4411-Nandi - County Executive,,,,,,,,444,0
"General
Administration and
Support Services","484,744,277","51,500,000","536,244,277","455,638,375","24,995,065","480,633,440",89.6,444,0
Grand Total,"484,744,277","51,500,000","536,244,277","455,638,375","24,995,065","480,633,440",89.6,444,0
4414-Nandi - Health,,,,,,,,444,0
"Preparation of
Regional & Local
Physical Development",-,-,-,-,"1,435,230","1,435,230",-,444,0
"Health Service
Delivery
Administration
Services","3,391,397,474","288,116,483","3,679,513,957","3,461,128,753","138,286,394","3,599,415,147",97.8,444,0
Grand Total,"3,391,397,474","288,116,483","3,679,513,957","3,461,128,753","139,721,624","3,600,850,377",97.9,444,0
4422-Nandi - County Public Service,,,,,,,,444,0
"Administration and
support services","1,200,000",-,"1,200,000","1,134,400",-,"1,134,400",94.5,444,0
"Administrative
Support Services","46,600,087",-,"46,600,087","45,815,772",-,"45,815,772",98.3,444,0
Grand Total,"47,800,087",-,"47,800,087","46,950,172",-,"46,950,172",98.2,444,0
4424-Nandi-Kapsabet Municipality,,,,,,,,444,0
"Default - Non
Programmatic",-,-,-,"-1,194,559",-,"-1,194,559",,444,0
"General
Administration and
Support Services","14,330,000","36,000,000","50,330,000","7,764,600","2,339,915","10,104,515",20.1,444,0
"Infrastructure and
Development",-,"21,000,000","21,000,000",-,-,-,,444,0
Grand Total,"14,330,000","57,000,000","71,330,000","6,570,041","2,339,915","8,909,956",12.5,444,0
4425-Nandi - Office of The County Attorney,,,,,,,,444,0
"Administrative
Support Services","69,695,643",-,"69,695,643","69,346,200",-,"69,346,200",99.5,444,0
Grand Total,"69,695,643",-,"69,695,643","69,346,200",-,"69,346,200",99.5,444,0
4426-Nandi-Finance and Economic Planning,,,,,,,,444,0
"General
Administration and
Support Services","525,736,729",-,"525,736,729","461,914,790",-,"461,914,790",87.9,444,0
"Revenue Collection
and Management
Phase 1",-,"55,000,000","55,000,000",-,"13,496,149","13,496,149",24.5,444,0
Grand Total,"525,736,729","55,000,000","580,736,729","461,914,790","13,496,149","475,410,939",81.9,444,0
4427-Nandi - Administration Public Service and ICT,,,,,,,,444,0
"Administration and
support services","187,323,842","82,501,800","269,825,642","179,830,954","5,997,699","185,828,653",68.9,444,0
Description,Recurrent,Development,Gross,Recurrent,Development,Gross,,445,0
"Administrative
Support Services",-,"-13,000,000","-13,000,000",-,-,-,,445,0
Grand Total,"187,323,842","69,501,800","256,825,642","179,830,954","5,997,699","185,828,653",72.4,445,0
4428-Nandi - Agriculture and Cooperatives Development,,,,,,,,445,0
"Administration and
support services","279,700,919","793,230,272","1,072,931,191","275,270,101","582,949,894","858,219,995",80.0,445,0
Grand Total,"279,700,919","793,230,272","1,072,931,191","275,270,101","582,949,894","858,219,995",80.0,445,0
"4429-Nandi-Sports, Youth Affairs, Gender and Social Welfare Arts",,,,,,,,445,0
"Development And
Promotion of Culture","11,888,970",-,"11,888,970","6,076,290",-,"6,076,290",51.1,445,0
"General
Administration and
Support Services","55,086,946",-,"55,086,946","52,959,587",-,"52,959,587",96.1,445,0
"Sports infrastructure
Development",-,"60,022,000","60,022,000",-,"44,358,920","44,358,920",73.9,445,0
"Sports Activities and
Programs","56,042,424",-,"56,042,424","55,420,200",-,"55,420,200",98.9,445,0
Grand Total,"123,018,340","60,022,000","183,040,340","114,456,077","44,358,920","158,814,997",86.8,445,0
4430-Nandi - Education Vocational Training and Scholarship,,,,,,,,445,0
"Administration and
support services","409,427,616",-,"409,427,616","398,700,902",-,"398,700,902",97.4,445,0
"General
Administration &
Support Services",-,"257,193,129","257,193,129",-,"127,551,417","127,551,417",49.6,445,0
Grand Total,"409,427,616","257,193,129","666,620,745","398,700,902","127,551,417","526,252,319",78.9,445,0
"Nandi - Lands, Physical Planning, Housing",,,,,,,,445,0
"Administration and
support services","102,658,526",-,"102,658,526","91,990,064",-,"91,990,064",89.6,445,0
"General
Administration and
support services",-,"879,025,767","879,025,767",-,"300,988,676","300,988,676",34.2,445,0
Grand Total,"102,658,526","879,025,767","981,684,293","91,990,064","300,988,676","392,978,740",40.0,445,0
"4432-Nandi - Transport, Public Works and Infrastructure Development",,,,,,,,445,0
"General
Administration and
support services","145,503,856",-,"145,503,856","120,045,463",-,"120,045,463",82.5,445,0
Road-works,-,"433,436,934","433,436,934",-,"363,641,670","363,641,670",83.9,445,0
Grand Total,"145,503,856","433,436,934","578,940,790","120,045,463","363,641,670","483,687,133",83.5,445,0
"4433-Nandi - Trade, Tourism, Industrialization and Enterprise",,,,,,,,445,0
"General
Administration &
Support Services","73,835,775",-,"73,835,775","58,421,355",-,"58,421,355",79.1,445,0
"Trade Development &
Promotion",-,"577,067,535","577,067,535",-,"121,495,392","121,495,392",21.1,445,0
Grand Total,"73,835,775","577,067,535","650,903,310","58,421,355","121,495,392","179,916,747",27.6,445,0
