Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th June
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",41,0
"County
Assembly",,,,,,,,41,0
"Office of the
clerk",,-,-,-,-,-,-,41,0
,General administration,-,-,-,-,-,-,41,0
,"General Administration /
Support Services","828,962,651",-,"818,302,058",-,99,,41,0
,"Landscaping and
beautification of
Speakers residential
buildings",-,"19,000,000.00",-,-,-,-,41,0
,"Drilling and equipping
of 2No. Water boreholes
at County Assembly and
Speaker residence",-,"10,000,000.00",-,-,-,-,41,0
,"Proposed Installation of
Electric, Razor wires and
CCTV at the speaker's
residence",-,"10,100,000.00",-,-,-,-,41,0
,"Supply, Installation,
and Commissioning
of Hansard System
and Equipment for the
Assembly Chambers.",-,"74,300,000.00",-,"50,204,385.28",-,68,41,0
,"Purchase and Installation
of interior designs
of County Assembly
chambers",-,"4,526,227.00",-,"4,496,684.00",-,99,41,0
,"Feasibility studies on
Project preparation
and design for
CCTV, Boreholes and
Landscaping",-,"9,000,000.00",-,-,-,-,41,0
,,,,,-,,,41,0
"Office of the
Governor
and Deputy
Governor",General Administration,-,-,-,-,-,-,41,0
,P3 Governors Office,"75,883,100",-,"87,157,472",-,115,-,41,0
,"Office of County
Secretary","196,226,377.00",-,"180,730,092.95",-,92,-,41,0
,P4 Acquisition of Assets,"6,500,000",-,-,-,-,-,41,0
,"Office of the Deputy
Governor","26,409,339",,"33,013,751",,125,,41,0
"Public Services,
Administration,
Devolution, &
ICT","General Administration,
Salaries and Operations","3,248,972,658",-,"3,249,368,207",-,100,-,41,0
,"Tiaty sub-county-West
(Administration)","3,679,080",-,"2,048,714",-,56,-,41,0
,"Tiaty sub-county East
(Administration)","3,271,000",-,"4,272,873",-,,-,41,0
,"Baringo North sub-
county","3,986,222",-,"3,627,787",-,91,-,41,0
,"Baringo Central sub-
county","4,118,027",-,"3,386,200",-,82,-,41,0
,"Baringo South sub-
county","3,784,000",-,"2,061,319",-,54,-,41,0
,Mogotio sub-county,"3,884,000",-,"3,538,943",-,91,-,41,0
,"Eldama Ravine sub-
county","3,752,412",-,"2,998,745.75",-,80,-,41,0
,"Infrastructure
Development - Ward
offices",-,"33,548,807.00",-,-,-,-,41,0
19,,,,,,,,41,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",42,0
,"Acquisition of Kabarnet
Hotel",-,"20,000,000.00",-,-,-,-,42,0
,"Acquisition of land
for Deputy Governor's
Residence",-,"5,000,000.00",-,-,-,-,42,0
,"Support to Baringo ICT
Centre",-,"1,000,000.00",-,-,-,-,42,0
,"Support to ELIAS ICT
Centre",-,"3,000,000.00",-,-,-,-,42,0
,Ajira Centre Connectivity,-,"30,743.00",-,-,-,-,42,0
,"Installation of LAN at
Mogotio and Marigat
sub-county hospital",-,"3,000,000.00",-,-,-,-,42,0
,"Installation of CIMES
Operationalization",-,"1,000,000.00",-,-,-,-,42,0
,"Redesign of County
website to include online
recruitment, tourism,
Town and hospital portals",-,"71,079,550.00",-,"20,364,322.75",-,29,42,0
"Finance &
Economic
Planning",Finance Administration,"159,975,000",-,"156,091,361",-,98,-,42,0
,Economic Planning,"74,696,129",-,"78,530,910",-,105,-,42,0
,"Infrastructural
Development",-,-,-,-,-,-,42,0
,"Infrastructural
Development- Boda boda
shades",-,"4,000,000.00",-,-,-,-,42,0
,KDS Programme,-,"179,001,764.00",-,"177,482,594.00",99,99,42,0
,"Revenue Services
Development Services",-,"5,020,355.00",-,"4,587,244.00",91,91,42,0
,Treasury Accounts,-,-,-,-,-,-,42,0
,"Purchase of Utility
Project Vehicles",-,-,-,-,-,-,42,0
,,,,,,,,42,0
"Revenue
Department","KDSP programme project
(Level II grant)",-,-,-,-,-,-,42,0
,"Eldama Ravine sub-
county",-,-,-,-,-,-,42,0
"Monitoring and
Evaluation","Economic Planning,
Budget, Monitoring and
Evaluation Services",-,-,-,-,-,-,42,0
"Transport and
Infrastructure",General Administration,"37,400,173",-,"36,335,812",-,97,-,42,0
,"Urban Infrastructure
Development",-,-,-,-,-,-,42,0
,"Rural Infrastructure
Development and
Footbridges",-,"114,709,057.00",-,"112,088,738.30",-,98,42,0
,"New and maintenance of
roads County-wide",-,"331,424,045.00",-,"237,133,666.72",-,72,42,0
,Installation of Floodlights,-,,-,-,-,-,42,0
,"Complete Construction
of Public Works Office
Block",-,"23,000,000.00",-,-,-,-,42,0
,RMLF Funds,-,"43,652,008.00",-,"15,000,000.00",-,,42,0
,Culverts and Bridges,-,"17,100,000.00",-,,-,-,42,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",43,0
"Industry,
Commerce,
Tourism,
Cooperatives
and Enterprise
Development",General Administration,"30,864,989",-,"22,412,173",-,-,-,43,0
,"Co-operative services
Development",-,"82,234,780.00",-,"70,470,426.80",-,86,43,0
,"Tourism Development &
Marketing",-,"46,320,101.25",-,"45,948,608.00",-,99,43,0
,"Infrastructure and Trade
Development",-,-,-,-,-,-,43,0
,"Development of
Aggregated industrial
park at Kimose",-,"350,000,000.00",-,"78,217,376.00",-,86,43,0
"Trade
Development
and Management
Services",General administration,-,-,-,-,-,-,43,0
,Trade Development,-,"2,000,000.00",-,-,-,-,43,0
,,,,,,,,43,0
Education,"General Administration,
Planning and support
services","92,290,000",-,"84,776,487",-,92,-,43,0
"Early Childhood
Development","Infrastructure
development",-,"73,906,666.00",-,"44,412,035.60",-,60,43,0
"Early Childhood
Development
Education","Curriculum Development
and Equipment",-,"2,500,000.00",-,-,-,0,43,0
"Vocational
Training
development","Infrastructure
Development",-,"25,948,249.25",-,"20,000,000.00",-,77,43,0
"Vocational
Training
development","Bursary and Scholarship
Programme",-,"61,796,277.75",-,"61,796,277.75",-,100,43,0
"County Health
Services",General Administration,"508,042,758",-,"502,261,436",-,99,-,43,0
