Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",195,0
County Assembly,,,,,,,,195,0
"Legislation and
oversight",Legislation and oversight,"1,021,876,288",-,"868,253,818",-,85.0,-,195,0
"General Administration
Planning and Support
Services","General Administration
Planning and Support
Services","458,299,879","127,000,000","410,669,564",-,89.6,-,195,0
Representation services,Representation services,"148,810,351",-,"140,868,183",-,94.7,-,195,0
Sub-Total,,"1,628,986,518","127,000,000","1,419,791,565",-,87.2,-,195,0
County Executive,,,,,,,,195,0
"Leadership &
Coordination of
County Admin &
Departments","General Administration and
Support Services","348,533,389",-,"313,508,622",-,90.0,-,195,0
,Representation Services,"52,694,736",-,"49,579,664",-,94.1,-,195,0
Sub-Total,,"401,228,125",-,"363,088,286",-,90.5,-,195,0
County Public Service Board,,,,,,,,195,0
"Leadership and
Administration of
Human Resources
and Development in
County Public Service","Human Resource
development and
management services","87,510,971",-,"69,711,298",-,79.7,-,195,0
Sub-Total,,"87,510,971",-,"69,711,298",-,79.7,-,195,0
Finance & Economic Planning & ICT,,,,,,,,195,0
"Public Finance
Management and
Economic Policy &
Strategy",Budget,"36,224,547",-,"29,159,747",-,80.5,-,195,0
,Revenue,"337,500,000","10,000,000","246,899,146",-,73.2,-,195,0
,Accounting,"60,500,000",-,"46,424,266",-,76.7,-,195,0
,Internal Audit,"4,045,000",-,"3,040,723",-,75.2,-,195,0
"General Administration
and support services","General Administration and
support services","1,038,203,460","12,000,000","974,083,066","6,800,000",93.8,56.7,195,0
ICT Services,ICT services,"25,000,000","119,966,018","23,951,821","45,888,070",95.8,38.3,195,0
Sub-Total,,"1,501,473,007","141,966,018","1,323,558,769","52,688,070",88.2,37.1,195,0
"Water, Environment & Natural Resources",,,,,,,,195,0
"Water and environment
administration","Administration, Planning &
Support Services","570,432,148",-,"512,202,749",-,89.8,-,195,0
Water,"Water Resource
Management and Sanitation",-,"237,000,000",-,"150,723,073",-,63.6,195,0
Natural Resources,"Natural Resources,
Forest Conservation and
Management",-,"17,500,000",-,"12,788,720",-,73.1,195,0
Environment,"Environment and Solid
Waste Management",-,"94,580,000",-,"66,968,207",-,70.8,195,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",196,0
"Renewable Energy and
Climate Change","Climate Change Mitigation
&Adaptation",-,"279,078,725",-,-,-,-,196,0
Sub-Total,,"570,432,148","628,158,725","512,202,749","230,480,000",89.8,36.7,196,0
Health Services,,,,,,,,196,0
Health Services,Curative,"1,697,000,000","882,480,531","1,262,858,711","503,296,176",74.4,57.0,196,0
Health Services,Preventive and Promotive,"783,345,000",-,"521,490,395",-,66.6,-,196,0
Health Services,Pharmaceuticals,"120,000,000",-,"68,972,433",-,57.5,-,196,0
Health Services,Administration and support,"4,934,051,296",-,"4,804,603,365",-,97.4,-,196,0
Sub-Total,,"7,534,396,296","882,480,531","6,657,924,904","503,296,176",88.4,57.0,196,0
"Roads, Transport & Public Works",,,,,,,,196,0
"Maintenance of Roads,
Bridges, Transport,
Construction and
Maintenance","General administration and
support
services","749,109,521",-,"653,634,619",-,87.3,-,196,0
,"Construction of road and
civil works",-,"1,986,648,652",-,"1,065,085,507",-,53.6,196,0
Sub-Total,,"749,109,521","1,986,648,652","653,634,619","1,065,085,507",87.3,53.6,196,0
Administration & Public Service,,,,,,,,196,0
Administration & Public Service,,,,,,,,196,0
"General Administration
Planning and Support
services","General Administration
Planning and Support
services","931,385,796","58,573,666","818,678,355","49,480,628",87.9,84.5,196,0
"Human Resource
Management &
Development Services","Human Resource
Management &
Development","25,498,500",-,"11,385,722",-,44.7,-,196,0
Alcoholic Fund,"Alcoholic Drinks Control &
Rehabilitation","32,000,000","10,000,000","32,000,000",-,100.0,-,196,0
Sub-Total,,"988,884,296","68,573,666","862,064,077","49,480,628",87.2,72.2,196,0
"Agriculture, Livestock and Cooperatives",,,,,,,,196,0
"Agriculture, Livestock
and Cooperatives","General Administration,
Planning and Support
Services","413,131,726",-,"401,398,250",-,97.2,-,196,0
,"Crop Development,
Irrigation and Marketing
Services","8,000,000","939,410,674","6,120,000","478,872,188",76.5,51.0,196,0
,"Livestock and Fisheries
Management and
Development","28,854,781","336,987,731","11,751,044","135,443,484",40.7,40.2,196,0
,"Co-operative Development
and Management","32,200,000","42,800,000","6,625,675","25,070,000",20.6,58.6,196,0
Sub-Total,,"482,186,507","1,319,198,405","425,894,969","639,385,672",88.3,48.5,196,0
"Education, Gender, Culture & Social Services",,,,,,,,196,0
"Pre-primary Edu,
Promotion of Culture
and Social Services","Pre-primary education and
youth polytechnics services","505,000,000","577,436,275","494,727,164","443,311,652",98.0,76.8,196,0
,"Gender, Culture and Social
Services","40,000,000","13,000,000","12,864,590","9,559,241",32.2,73.5,196,0
,"General administration and
support services","1,013,953,068",-,"985,065,806",-,97.2,-,196,0
Sub-Total,,"1,558,953,068","590,436,275","1,492,657,560","452,870,893",95.7,76.7,196,0
"Youth Affairs, Sports & Communication",,,,,,,,196,0
"Youth Affairs, Sports and Communication",,,,,,,,196,0
,Youth Affairs,"6,343,000",-,"6,025,294",-,95.0,-,196,0
,Sports,"50,500,000",-,"47,410,235",-,93.9,-,196,0
