Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,Accounts Services,"259,472,569","514,828,131","237,004,513","456,464,230",91.3,88.7,316,0
,Audit Section,"17,640,360","15,500,000","11,308,141",-,64.1,-,316,0
,"Human Resource
Management and
Support Services","204,628,123",-,"193,425,981",-,94.5,-,316,0
"Economic Planning
& External Resource
Mobilization","Economic Planning
and Statistical
Services","57,147,205",-,"37,255,398",-,65.2,-,316,0
,"Monitoring and
Evaluation","33,950,248",-,"29,428,204",-,86.7,-,316,0
,"External Resource
Mobilization","19,449,126",-,"9,423,298",-,48.5,-,316,0
"Directorate of Governors
Project Delivery Unit","Directorate of
Governors Project
Delivery Unit","44,850,000",-,"29,317,976",-,65.4,-,316,0
ICT,"ICT General
Administration and
support services","51,300,361","100,666,177","46,616,361","70,047,734",90.9,69.6,316,0
,ICT Infrastructure,"6,143,554",-,"579,700",-,9.4,-,316,0
,"Closed Circuit
Television","1,525,000",-,-,-,-,-,316,0
,"Public
Communication","49,645,000",-,"28,758,021",-,57.9,-,316,0
Sub-Total,,"1,340,480,409","719,804,553","1,112,430,868","568,480,286",83,79,316,0
"Gender, Youth, Sports & Social Welfare",,,,,,,,316,0
Youth and Sports,"Administrative
Services","134,536,382",-,"94,169,884",-,70,-,316,0
,"Stadium
Management",-,"31,000,000",-,"1,463,685",-,4.7,316,0
,Sports,-,"80,000,000",-,"72,880,953",-,91.1,316,0
,"Youth
Empowerment",-,"12,500,000",-,"5,876,897",-,47,316,0
"Gender and Social
Welfare","Administrative
Services","78,343,386","82,955,003","52,007,506","45,370,482",66.4,54.7,316,0
Sub-Total,,"212,879,768","206,455,003","146,177,389","125,592,017",68.7,60.8,316,0
"Trade, Industry,Tourism & Innovation",,,,,,,,316,0
"Trade,Industry and
Innovation","Headquarter &
Administrative
Services","45,838,357","8,000,000","43,612,401",-,95.1,-,316,0
,Trade Development,"2,715,433","39,298,083","2,615,517","19,298,083",96.3,49.1,316,0
,International Trade,-,"2,000,000",-,-,-,-,316,0
,"Business and
Enterprise
Development","10,000,000","53,666,647","7,775,692","12,210,523",77.8,22.8,316,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",317,0
,"Industrialization
and Innovation","45,695,102","300,000,000","44,947,196","72,374,314",98.4,24.1,317,0
,"Investment
Facilitation and
Support","10,000,000",-,"7,063,529",-,70.6,-,317,0
"Tourism Administrative
& Support Services","Tourism
Administrative &
Support Service","58,147,873","5,164,002","54,603,953",-,93.9,-,317,0
,Heritage & Culture,"5,999,722","2,450,000","5,253,450",-,87.6,-,317,0
,"Liquor
Management","5,501,270",-,"3,871,400",-,70.4,-,317,0
,"Tourism
Development and
Marketing","2,087,350",-,"1,784,137",-,85.5,-,317,0
,"Management
of Recreational
Services","1,299,502","18,000,000","800,000","4,131,928",61.6,23,317,0
,Macha wood,"5,998,308","20,000,000","3,067,726","6,934,381",51.1,34.7,317,0
,"County Image
Directorate","1,001,198","200,000","300,000",-,30,-,317,0
,Digital Economy,"3,700,000",-,"3,638,900",-,98.3,-,317,0
Sub-Total,,"197,984,115","448,778,732","179,333,901","114,949,228",90.6,25.6,317,0
Education,,,,,,,,317,0
"General Administration
and Support Service","Headquarter
Administrative
services","640,411,437","35,000,000","525,935,948",-,82.1,-,317,0
Basic Education,Basic Education,"11,350,000","15,000,000","1,841,675",-,16.2,-,317,0
,Youth Development Services,,"72,434,883",-,-,-,-,317,0
,"Vocational
Training","12,100,000",-,"887,779",-,7.3,-,317,0
Sub-Total,,"663,861,437","122,434,883","528,665,402",-,79.6,-,317,0
"Lands, Urban Development, Housing & Energy",,,,,,,,317,0
"Lands and Physical
Planning","Lands and Physical
Planning","62,346,321","42,755,550","59,088,731",-,94.8,-,317,0
County Electrification,"County
Electrification","28,076,213","75,000,000","26,490,147","30,743,204",94.4,41,317,0
"Housing and Urban
Development","Housing and Urban
Development","98,643,736","1,400,000","95,370,467",-,96.7,-,317,0
,"Machakos
Municipality","17,000,000","100,417,607","15,501,036","5,141,858",91.2,5.1,317,0
,"Mavoko
Municipality","19,000,000","12,328,536","17,693,177","1,546,551",93.1,12.5,317,0
,"Kangundo Tala
Municipality","15,700,000","32,494,110","12,818,741","4,662,708",81.6,14.3,317,0
Sub-Total,,"240,766,270","264,395,803","226,962,298","42,094,320",94.3,15.9,317,0
Devolution,,,,,,,,317,0
"Public Service
Administration and
Support Services","General
Administration and
support services","548,971,916","2,000,000","527,104,277",-,96,-,317,0
,"Performance
Management","2,500,000",-,"238,200",-,9.5,-,317,0
,"Training, Research
and Development","47,841,500",-,"33,970,485",-,71,-,317,0
"County Administration
& Decentralized Units","County
Administration
& Decentralized
Units","407,409,131",-,"368,028,178",-,90.3,-,317,0
,Civic Engagement,"2,750,000",-,"90,100",-,3.3,-,317,0
