User Department,Programme,Sub-Programme,Approved FY 2023/24 Estimates,col_4,"Actual Expenditure as of 30th
June 2024",col_6,Absorption Rate (%),col_8,page_number,table_index
,,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure",Development,"Recurrent
Expenditure","Development
Expenditure",98,0
County Assembly,"Legislation and
Representation","Legislation and
Representation","190,187,970",-,"190,151,922",-,100,-,98,0
,"Legislative
Oversight",Legislative Oversight,"111,454,965",-,"111,451,662",-,100,-,98,0
,"General
Administration,
Planning and
Support Services","General
Administration,
Planning and Support
Services","405,205,910",-,"405,112,917",-,100,-,98,0
Subtotal,,,"706,848,845",-,"706,716,500",,,,98,0
"Office of the
Governor","General
administration
and support
services","General administration
and support services","143,511,550",-,"142,498,938",-,99.3,-,98,0
,,"Disaster Management/
Peace building and
conflict resolution","12,150,000",-,"12,155,640",-,100.00,-,98,0
,,Internal Audit,"6,850,000",-,"6,843,900",-,99.9,-,98,0
,,,"162,511,550",-,"161,498,478",,,,98,0
"Finance and
Economic Planning","General
administration
and support
services","Finance and Planning
Headquarters","169,757,117",-,"158,761,855",-,93.5,-,98,0
,,"Economic Planning &
Budgeting","19,322,103",-,"19,253,463",-,99.6,-,98,0
,,Accounting services,"6,906,987",-,"6,906,987",-,100,-,98,0
,,"Supply Chain
Management","3,473,262",-,"3,472,362",-,100.0,-,98,0
,,"Revenue Management
Services","17,272,235",-,"17,270,662",-,100.0,-,98,0
,,"Monitoring and
Evaluation","2,414,180",-,"600,000",-,24..8,-,98,0
Subtotal,,,"219,145,884",-,"206,303,619",,,,98,0
"Agriculture
Livestock Fisheries
and Irrigation","General
administration
and support
services","General administration
and support services","156,927,049",-,"121,333,260",-,77.3,-,98,0
,"Crop
Development","Agricultural Extension
and Training Services",-,"345,589,423",-,"129,764,033",-,39,98,0
,,"Crop
Commercialization",-,"39,583,947",-,"23,889,253",-,60,98,0
,"Irrigation
Development","Irrigation
Development",-,"55,680,996",-,"46,583,904",-,84,98,0
,"Livestock
Development","Livestock Extension
and Training Services",-,"72,409,200",-,"33,378,735",-,47,98,0
,,"Livestock
Commercialization",-,"32,484,555",-,"29,648,111",-,91,98,0
,"Cooperatives
Development","Cooperatives
Development",-,"211,100",-,-,-,-,98,0
,"Veterinary
Services","Livestock Disease
Control",-,"41,886,394",-,"31,249,654",-,75,98,0
,,Breeding,-,"5,564,404",-,"3,284,474",-,59,98,0
Sub Total,,,"156,927,049","593,410,019","121,333,260","297,798,164",,,98,0
,,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure",Development,"Recurrent
Expenditure","Development
Expenditure",99,0
"Water, Environment
and Climate Change","General
administration
and support
services","General administration
and support services","56,072,511",-,"48,988,594",-,87.4,-,99,0
,Energy,Energy,-,"21,719",-,-,-,-,99,0
,Water Services,Water Services,-,"283,220,580",-,"186,876,253",-,66,99,0
,"Environmental
Management","Environmental
Management",-,"1,750,000",-,"300,000",-,17,99,0
,"Climate Change
Management","Climate Change
Management",-,"249,181,388",-,"24,348,500",-,10,99,0
Sub Total,,,"56,072,511","534,173,687","48,988,594","211,524,753",,,99,0
"Education and
Technical Training","General
administration
and support
services","General administration
and support services","375,148,122",-,"375,040,693",-,100,-,99,0
,,Pre-Primary Education,-,-,-,-,-,-,99,0
,,"Pre-primary
Infrastructure
Development","100,000",-,"100,000",-,100,-,99,0
,,"Pre-primary Quality
Control and Support",-,"145,969,909",-,"108,075,628",-,74,99,0
,,"Vocational Education
and Training",-,"1,685,000",-,"755,000",-,44.8,99,0
,,"VTC Infrastructure
Development",-,"24,204,494",-,"12,227,660",-,50.5,99,0
,,"VTC Quality Control
and Support",-,"1,300,000",-,"1,000,000",-,76.9,99,0
Sub Total,,,"375,248,122","173,159,403","375,140,693","122,058,288",,,99,0
"Health and
Sanitation","General
administration
and support
services","General administration
and support services","1,766,070,761",-,"1,687,792,949",-,96,-,99,0
,,"Community and
Environmental Health","5,585,000","1,900,000","5,583,600",-,100,-,99,0
,,Health Services,-,"406,198,433",-,"280,032,220",-,69,99,0
Sub Total,,,"1,771,655,761","408,098,433","1,693,376,549","280,032,220",,,99,0
"Lands, Physical
Planning, Housing
and Urban
Development","General
administration
and support
services","General administration
and support services","68,637,885",-,"67,204,628",-,97.9,-,99,0
,,Energy,-,"16,035,922",-,"2,459,",-,15.3,99,0
,,"Solid waste
management",-,"1,200,000",-,"1,198,100",-,99.8,99,0
,,"County Public Land
Management",-,"44,074,944",-,"32,074,944",-,72.8,99,0
,,Physical Planning,-,"2,699,950",-,"499,950",-,18.5,99,0
,,Urban Infrastructure,-,"64,425,350",-,"64,119,904",-,99.5,99,0
Sub Total,,,"68,637,885","128,436,166","67,204,628","100,352,288",,,99,0
"Roads, Public
Works and
Transport","General
administration
and support
services","General administration
and support services","170,805,025",-,"170,528,197",-,99.8,-,99,0
,"Roads
Improvement",Rural road Works,-,"256,495,740",-,"204,261,189",-,79.6,99,0
,Public Works,Public works,"2,810,000","1,000,000","2,775,036",-,98.8,-,99,0
,Energy,Energy,-,"86,038",-,"86,038",-,100.0,99,0
,"Transport
Services",Transport Services,"12,800,645",-,"12,587,461",-,98.3,-,99,0
,,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure",Development,"Recurrent
Expenditure","Development
Expenditure",100,0
Sub Total,,,"186,415,670","257,581,778","185,890,694","204,347,227",,,100,0
"Cooperatives, Trade,
Industrialization,
Tourism and
Wildlife","General
administration
and support
services","Cooperatives
development","72,957,946",-,"64,237,015",-,88.0,-,100,0
,,"Rimoi National
Reserve","2,200,000",-,"2,200,000",-,100.0,-,100,0
,,"General administration
and support services",-,"6,708,000","6,708,000",-,-,-,100,0
,,Tourism Development,-,"554,680",-,-,-,-,100,0
,,"Trade and enterprise
development",-,"361,820,800",-,"12,483,189",-,3.5,100,0
Sub Total,,,"75,157,946","369,083,480","73,145,015","12,483,189",,,100,0
"Sports, Youth
Affairs, ICT and
Social Services","General
administration
and support
services","General administration
and support services","94,837,553",-,"94,781,204",-,99.9,-,100,0
,,Sports Development,-,"28,261,071",-,"21,768,273",-,77.0,100,0
,,"Sports Talent
Development",-,"264,200",-,"254,000",-,96.1,100,0
,,Social Empowerment,-,"4,821,000",-,"3,345,876",-,69.4,100,0
,,Social Protection,-,"950,000",-,"556,424",-,58.6,100,0
,,Social Empowerment,-,-,-,-,-,-,100,0
,,Culture Preservation,-,-,-,-,-,-,100,0
Sub Total,,,"94,837,553","34,296,271","94,781,204","25,924,573",,,100,0
"Public Service
Management
and County
Administration","General
administration
and support
services","General administration
and support services","4,758,000",-,"4,696,575",-,98.7,-,100,0
,,ICT services,"704,121","11,000,000","703,140",-,99.9,-,100,0
,,"County Administration
and Devolution","306,551,467","18,096,981","306,079,175","6,264,024",99.8,-,100,0
,,"Enforcement and
Compliance","808,000",-,"632,000",-,78.8,-,100,0
,,"Citizen Participation
and Civic Education","500,000",-,"494,200",-,98.8,-,100,0
,,"Human Resource
Management","650,000",-,"650,000",-,100.0,-,100,0
,,Payroll Management,"1,000,000",-,"908,660",-,90.9,-,100,0
,,"County
Communication
Corporate Affairs","750,000",-,"551,400",-,73.5,-,100,0
,,"Citizen Participation
and Civic Education",-,-,-,-,-,-,100,0
,,"County Administration
and Devolution",-,-,-,-,-,-,100,0
,,ICT services,-,-,-,-,-,-,100,0
,,"Human Resource
Management",-,-,-,-,-,-,100,0
Sub Total,,,"315,721,588","29,096,981","515,350,250","6,264,024",,,100,0
"County Public
Service Board","General
administration
and support
services","General administration
and support services","52,046,441",-,"51,814,432",-,99.6,-,100,0
Sub Total,,,"52,046,441",-,"51,814,432",-,,,100,0
Grand Total,,,"4,241,226,805","2,527,336,218","4,132,313,498","1,259,358,160",96.0,49.9,100,0
