col_0,col_1,col_2,Revised Estimates,col_4,col_5,Expenditure,col_7,col_8,Absorption Rate (%),col_10,page_number,table_index
Program,Sub Program,Description,Recurrent,Development,Gross,Recurrent,Development,Total,"Recurrent
Expenditure","Development
Expenditure",591,0
4311-Uasin Gishu - Governor's Office,,,,,,,,,,,591,0
110004311,,,"123,334,200.00",-,"123,334,200.00","116,985,603.90",-,"116,985,603.90",95,-,591,0
,110014310,"SP1.1
Administrative
support services","123,334,200.00",-,"123,334,200.00","116,985,603.90",-,"116,985,603.90",95,-,591,0
,,Grand Total,"123,334,200.00",-,"123,334,200.00","116,985,603.90",-,"116,985,603.90",95,-,591,0
4312-Uasin Gishu - Finance,,,,,,,,,,,591,0
701004312,,,"811,324,175.00",-,"811,324,175.00","780,008,240.40",-,"780,008,240.40",96,-,591,0
,701054310,"internal audit
services","9,849,431.00",-,"9,849,431.00","9,054,727.50",-,"9,054,727.50",92,-,591,0
,701034310,"Accounts
services","22,940,269.00",-,"22,940,269.00","22,183,220.00",-,"22,183,220.00",97,-,591,0
,701014310,Finance services,"773,884,475.00",-,"773,884,475.00","744,504,392.90",-,"744,504,392.90",96,-,591,0
,701044310,"Procurement
and supply
services","4,650,000.00",-,"4,650,000.00","4,265,900.00",-,"4,265,900.00",92,-,591,0
709004312,,,"2,000,000.00",-,"2,000,000.00","1,438,088.00",-,"1,438,088.00",72,-,591,0
,709014310,"Kenya Devoluion
Support","2,000,000.00",-,"2,000,000.00","1,438,088.00",-,"1,438,088.00",72,-,591,0
,,Grand Total,"813,324,175.00",-,"813,324,175.00","781,446,328.40",-,"781,446,328.40",96,-,591,0
4314-Uasin Gishu - ICT and E-Government,,,,,,,,,,,591,0
201004314,,,-,"54,669,444.00","54,669,444.00",-,"49,062,911.80","49,062,911.80",-,-,591,0
,201034310,"Staff Online
Management
System (Online
Help Desk
System)",-,"54,669,444.00","54,669,444.00",-,"49,062,911.80","49,062,911.80",-,90,591,0
216004314,,,"71,724,500.00",-,"71,724,500.00","46,845,647.20",-,"46,845,647.20",-,-,591,0
,216014310,SP ICT Services,"71,724,500.00",-,"71,724,500.00","46,845,647.20",-,"46,845,647.20",65,-,591,0
,,Grand Total,"71,724,500.00","54,669,444.00","126,393,944.00","46,845,647.20","49,062,911.80","95,908,559.00",65,90,591,0
"4315-Uasin Gishu - Roads, Transport and Infrastructure",,,,,,,,,,,591,0
204004315,,,"655,437,439.00","122,956,373.00","778,393,812.00","575,783,193.30","74,405,519.95","650,188,713.25",88,61,591,0
,204064310,"Bridges and Foot
Bridge",-,-,-,-,"2,794,674.90","2,794,674.90",-,-,591,0
,204014310,"Capital roads
investments","655,437,439.00","122,956,373.00","778,393,812.00","575,783,193.30","71,610,845.05","647,394,038.35",88,58,591,0
208004315,,,-,"11,528,975.00","11,528,975.00",-,"4,972,860.00","4,972,860.00",-,43,591,0
,208014310,"SP1 Safety and
Emergency",-,"11,528,975.00","11,528,975.00",-,"4,972,860.00","4,972,860.00",-,43,591,0
209004315,,,-,"6,000,000.00","6,000,000.00",-,-,-,-,-,591,0
,209014310,Street Lighting,-,"6,000,000.00","6,000,000.00",-,-,-,-,-,591,0
214004315,,,"650,000.00",-,"650,000.00","100,000.00",-,"100,000.00",15,-,591,0
,214014310,"SP Energy
Services","650,000.00",-,"650,000.00","100,000.00",-,"100,000.00",15,-,591,0
707004315,,,-,"670,281,855.00","670,281,855.00",-,"355,126,462.35","355,126,462.35",-,53,591,0
,707014310,"Ward
Development
Services",-,"670,281,855.00","670,281,855.00",-,"355,126,462.35","355,126,462.35",-,53,591,0
