Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th June,
2024 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
"Lands, Housing
and Urban
Planning",Lands,"14,410,000.00","145,000,000.00","7,146,368.00","132,173,826.00",49.6,91.2,55,0
,"Urban
Management","50,220,000.00","26,000,000.00","30,745,422.00","10,878,288.00",61.2,41.8,55,0
,"Housing
Development","4,650,000.00",-,"1,078,506.00",-,23.2,-,55,0
,Municipality,"45,565,000.00","2,500,000.00","14,222,400.00",-,31.2,-,55,0
,Sub-Total,"114,845,000.00","173,500,000.00","53,192,696.00","143,052,114.00",46.3,82.5,55,0
"Gender, Culture and Social Services",,,,,,,,55,0
"Gender and
Culture","Policy
Development and
Administrative
Services","20,256,300.00","13,000,000.00","15,734,447.00",-,77.7,-,55,0
,Sub-Total,"20,256,300.00","13,000,000.00","15,734,447.00",-,77.7,-,55,0
Medical Services and Public Health,,,,,,,,55,0
"Medical
Services and
Public Health","Administration,
Planning and
Support Services","1,231,650,426.00",-,"1,216,147,943.00",-,98.7,-,55,0
,"Policy
Development","2,500,000.00",-,"1,495,450.00",-,59.8,-,55,0
,"Health Care
Financing –
Transfers to
Health Facilities","243,413,421.00",-,"243,108,040.00",-,99.9,-,55,0
,Curative Services,"299,149,570.00",-,"281,470,362.00",-,94.1,-,55,0
,"Preventive
and Promotive
Services","100,713,081.00",-,"53,626,100.00",-,53.2,-,55,0
,"Reproductive
Health Services","11,000,000.00",-,"2,280,400.00",-,20.7,-,55,0
,"Health
Infrastructure
Development",-,"125,599,570.00",-,"75,860,046.00",-,60.4,55,0
,Sub-Total,"1,888,426,498.00","125,599,570.00","1,798,128,295.00","75,860,046.00",95.2,60.4,55,0
"Agriculture, Livestock and Cooperatives",,,,,,,,55,0
Agriculture,Administration,"116,810,229.00",-,"31,575,708.00",-,27.0,-,55,0
,"Crop
Management",-,"284,397,080.00",-,"218,287,999.00",-,76.8,55,0
,"Food & Nutrition
Security",-,"35,000,000.00",-,"28,913,432.00",-,82.6,55,0
,Sub-Total,"116,810,229.00","319,397,080.00","31,575,708.00","247,201,431.00",27.0,77.4,55,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",56,0
"Livestock,
Fisheries &
Veterinary
Services","Livestock
Development",-,"15,500,000.00",-,"5,897,626.00",-,38.0,56,0
,"Fisheries
Development",-,"4,700,000.00",-,"1,255,000.00",-,26.7,56,0
,"Veterinary
Services",-,"66,000,000.00",-,"20,646,027.00",-,31.3,56,0
,Sub-Total,-,"86,200,000.00",-,"27,798,653.00",-,32.2,56,0
"Co-operative
& Enterprise
Development",Administration,"9,697,080.00","26,602,920.00","8,667,565.00","20,201,260.00",89.4,75.9,56,0
,Sub-Total,"9,697,080.00","26,602,920.00","8,667,565.00","20,201,260.00",89.4,75.9,56,0
Water Sanitation and Environment,,,,,,,,56,0
"Water and
Irrigation",Administration,"87,783,221.00",-,"85,249,858.00",-,97.1,-,56,0
,"Development
of Water Supply
for Domestic
and Commercial
purposes",-,"213,262,724.00",-,"183,522,667.00",0.0,86.1,56,0
,"Irrigation
Development",-,"2,000,000.00",-,-,-,-,56,0
,Sub-Total,"87,783,221.00","215,262,724.00","85,249,858.00","183,522,667.00",97.1,85.3,56,0
"Waste Water
management","Waste Water
management",-,"10,000,000.00",-,"2,280,153.00",-,22.8,56,0
,Sub-Total,-,"10,000,000.00",-,"2,280,153.00",-,22.8,56,0
"Environment
& Natural
resources",Administration,"14,584,200.00",-,"2,722,074.00",-,18.7,-,56,0
,"Environmental
and Natural
Resources
Protection and
Conservation",-,"202,600,000.00",-,"178,531,082.00",-,88.1,56,0
,Sub-Total,"14,584,200.00","202,600,000.00","2,722,074.00","178,531,082.00",18.7,88.1,56,0
Education and Vocational Training,,,,,,,,56,0
"Education and
Vocational
Training","Policy Planning
& General
Administration","273,232,880.00",-,"233,510,092.00",-,85.5,-,56,0
,"Early Childhood
Development and
Education",-,"118,450,000.00",-,"74,079,870.00",-,62.5,56,0
,Youths & Sports,"25,700,000.00","20,300,000.00","24,482,850.00","14,527,943.00",95.3,71.6,56,0
,Sub-Total,"298,932,880.00","138,750,000.00","257,992,942.00","88,607,813.00",86.3,63.9,56,0
"Roads, Public Works and Transport",,,,,,,,56,0
"Roads, Public
Works and
Transport","Policy
Planning and
Administrative
Services","43,142,772.00","1,500,000.00","30,162,147.00","1,500,000.00",69.9,100.0,56,0
,"Roads
Construction &
Maintenance",-,"408,000,000.00",-,"375,059,061.00",-,91.9,56,0
,"Development
and Maintenance
of other Public
works",-,"58,274,836.00",-,"56,649,589.00",-,97.2,56,0
,"County Transport
Infrastructure",-,"136,000,000.00",-,"124,149,126.00",-,91.3,56,0
,Sub-Total,"43,142,772.00","603,774,836.00","30,162,147.00","557,357,776.00",69.9,92.3,56,0
