Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 30th
June 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",268,1
Vote:3061-Kwale - Finance and Economic Planning,,,,,,,,268,1
102003061,"102053060 - General
administration and support
services",-,-,-,-,-,-,268,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",269,0
703003061,"703033060 - Monitoring
and evaluation of county
programmes and projects",-,-,-,-,-,-,269,0
,"703053060 - Establishment
of proper financial reporting
system",-,-,-,-,-,-,269,0
,"703013060 - Enhanced
revenue collection for the
county",-,-,-,-,-,-,269,0
,703063060 - Fiscal Planning,-,-,-,-,-,-,269,0
,"703023060 - Budget
formulation, coordination
and management","210,702,925",-,"204,415,134",-,97,-,269,0
704003061,704013060 - Audit Services,"264,607,391",-,"264,505,097",-,100,,269,0
,"704043060 - General
Administration","675,743,172","28,380,000","628,640,913","20,000,000",93,70,269,0
,"704023060 - Purchasing and
Supplies Management",-,-,-,-,-,-,269,0
710003061,"710013060 - Revenue
Collection Management","130,643,833",-,"119,572,434",-,92,-,269,0
,"710023060 - Revenue
Collection System
Automation",-,-,-,-,-,-,269,0
711003061,"711023060 - Procurement
Services","14,080,000",-,"14,069,588",-,100,-,269,0
,"711033060 - Risk Assurance
Services","19,965,000",-,"14,154,163",-,71,-,269,0
,"711013060 - Public Finance
and Accounting Services","25,791,841",-,"24,832,385",-,96,-,269,0
Total,,"1,341,534,162","28,380,000","1,270,189,713","20,000,000",95,70,269,0
"Vote:3062-Kwale - Agriculture, Livestock and Fisheries",,,,,,,,269,0
102003062,"102023060 - Livestock
resources management and
development",-,-,"(2,256,480)",-,-,-,269,0
,"102013060 - Crop
development and
productivity",-,-,-,-,-,-,269,0
,"102063060 - Personnel
Services","156,172,416",-,"144,628,574",-,93,-,269,0
,"102033060 - Fisheries
development",-,-,-,-,,-,269,0
,"102053060 - General
administration and support
services","13,334,830","332,947,092","6,695,540","62,061,107",50,19,269,0
107003062,"107033060 - Farm Land
Utilization, Mechanization
and Crop Storage","20,286,996","25,980,573","5,225,292","20,958,578",26,81,269,0
,"107013060 - Crop
Production and Food
Security","3,130,000","281,578,393","3,649,757","121,659,742",117,43,269,0
,"107023060 - Agricultural
Extension, Research and
Training","650,000","4,999,225","330,000",-,51,-,269,0
108003062,"108033060 - Livestock
Disease Control","4,630,000","67,692,125","600,834","15,720,908",13,23,269,0
,"108013060 - Dairy and Meat
Production","1,620,000",-,"1,793,189",-,111,-,269,0
,"108023060 - Value Addition
of Livestock and Livestock
Products",-,"24,355,000","626,000","14,938,750",-,61,269,0
247,,,,,,,,269,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",270,0
109003062,"109023060 - Value Addition
and Marketing",-,"24,446,165",-,"7,897,454",-,32,270,0
,"109013060 - Fish Production
Management","2,020,000",-,"1,009,949",-,50,-,270,0
Total,,"201,844,242","761,998,573","162,302,655","243,236,539",80,32,270,0
"Vote:3063-Kwale - Land, Environment, Mining and Natural Resources",,,,,,,,270,0
101003063,"101013060 - Facilitation of
Town Planning",-,-,-,-,-,-,270,0
,"101023060 - Coordination
of Urban infrastructure
development",-,-,-,-,-,-,270,0
102003063,"102063060 - Personnel
Services","49,055,744",-,"45,941,055",-,94,-,270,0
,"102073060 - Urban
Development Support
Services",-,-,-,-,-,-,270,0
,"102053060 - General
administration and support
services","30,754,169","179,120,365","23,405,759","50,501,204",76,28,270,0
103003063,"103043060 - Administration
and support services",-,-,-,-,-,-,270,0
104003063,"104013060 - Physical
development plans",-,"10,000,000",-,"1,331,276",-,13,270,0
105003063,"105023060 - Survey and
conservation of cultural
forest sites (Kaya forests)",-,-,-,-,-,-,270,0
,"105033060 - Identification
and acquisition of land for
development",-,-,-,-,-,-,270,0
,"105013060 - Establishment of
squatter settlement schemes","10,500,000","44,973,500","3,625,300","15,611,990",35,35,270,0
,"105043060 - Establishment of
land information system",-,-,-,-,-,-,270,0
106003063,"106033060 - Rehabilitation of
degraded natural landscapes",-,-,"540,090",-,-,-,270,0
,"106023060 - County
Environmental Awareness
Initiative","8,496,900","200,038,440","3,418,616","22,000,000",40,11,270,0
,"106013060 - School greening
initiative",-,-,-,-,-,-,270,0
110003063,"110013060 - Management
of Quarrying and Sand
Harvesting",-,-,-,-,-,-,270,0
111003063,"111013060 - Kwale
municipality",-,-,-,-,-,-,270,0
112003063,"112013060 - Diani
Municipality",-,-,-,-,-,-,270,0
901003063,"901013060 - Identification
and securing of mineral-rich
land areas",-,-,-,-,-,-,270,0
,"901023060 - Empowering
communities in the
extractive industry",-,-,-,-,-,-,270,0
Total,,"98,806,813","434,132,305","76,930,820","89,444,470",78,21,270,0
Vote:3064-Kwale - Health Services,,,,,,,,270,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",271,0
401003064,"401053060 - Public health
Hygiene",-,-,-,-,-,-,271,0
,"401013060 - Community
health strategy",-,-,-,-,-,-,271,0
,"401023060 - Maternal
newborn and child health",-,-,-,-,-,-,271,0
,"401033060 - TB/HIV/
Malaria",-,-,-,-,-,-,271,0
402003064,"402083060 - National Health
Insurance Fund(NHIF)",-,-,-,-,-,-,271,0
,"402073060 - Reproductive
Health",-,-,-,-,-,-,271,0
,"402023060 - Operational
Rural Health Facilities",-,"11,000,000",-,-,-,-,271,0
,"402033060 - Operations and
maintenance of hospitals",-,-,-,-,-,-,271,0
,"402063060 - Communicable
and Non-Communicable
Diseases",-,-,-,-,-,-,271,0
,"402053060 - Health
Infrastructure Development",-,-,-,-,-,-,271,0
,"402043060 - Medical Health
Drugs","531,665,374",-,"542,485,582",-,102,-,271,0
403003064,"403023060 - Operational
Research",-,-,-,-,-,-,271,0
,"403013060 - General
Administration","147,559,388","292,553,572","94,222,918","137,666,905",64,47,271,0
,"403053060 - Personnel
Services","2,032,406,939",-,"1,952,531,366",-,96,-,271,0
,403043060 - HMIS,-,-,-,-,-,-,271,0
404003064,"404013060 - Ambulance
Services",-,-,-,-,-,-,271,0
405003064,"405013060 - Msambweni
hospital","92,990,000","55,325,000","63,781,347","13,435,380",69,24,271,0
406003064,"406013060 - Kinango
Hospital","35,961,700","9,700,000","28,733,777","9,492,560",80,98,271,0
407003064,407013060 - Kwale Hospital,"41,095,000","11,300,000","32,673,440","5,175,821",80,46,271,0
408003064,"408013060 - Tiwi Rural
Health Facility",-,-,-,-,,,271,0
409003064,"409013060 - Samburu
Hospital","22,121,500","11,000,000","16,270,739","3,433,998",74,31,271,0
410003064,"410013060 - Lunga Lunga
Hospital","20,556,059","9,000,000","17,010,703","4,500,000",83,50,271,0
411003064,411013060 - Public Health,-,-,-,-,-,-,271,0
412003064,"412013060 - Rural Health
Facilities",-,-,-,-,-,-,271,0
413003064,"413013060 - Diani Health
Centre",-,-,-,-,-,-,271,0
Total,,"2,924,355,960","399,878,572","2,747,709,873","173,704,664",94,43,271,0
Vote:3065-Kwale - County Assembly,,,,,,,,271,0
704003065,704013060 - Audit Services,"293,276,232",-,"277,502,229",-,95,,271,0
,"704043060 - General
Administration","303,111,536","186,550,939","280,691,508","155,691,234",93,83,271,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",272,0
705003065,"705013060 - Oversight and
legislation of county affairs","197,741,037","110,532,822","187,050,315",-,95,-,272,0
,"705023060 - General
Administration and Support
Services",-,-,-,-,-,-,272,0
Total,,"794,128,805","297,083,761","745,244,052","155,691,234",,,272,0
"Vote:3066-Kwale - Industry, Trade and Investments",,,,,,,,272,0
301003066,"301023060 - Availing
Affordable credit to
entrepreneurs for wealth
creation",-,-,-,-,-,-,272,0
,"301033060 - Market
infrastructure development",-,-,-,-,-,-,272,0
,"301043060 - Enforcement of
Weights & Measures Act","2,750,077","3,000,000","1,442,863","3,000,000",52,100,272,0
,"301013060 - Building
capacity of traders for better
market access","5,289,500","3,000,000","1,902,380",-,36,-,272,0
,"301053060 - General
administration and support
services",-,-,-,-,-,-,272,0
302003066,"302023060 - Investment
publicity and promotion","5,962,000",-,"1,755,768",-,29,-,272,0
,"302013060 - To enhance
the County government's
participation in investment",-,-,-,-,-,-,272,0
303003066,"303023060 - Popularizing the
cooperative movement as a
business model",-,-,-,-,-,-,272,0
,"303013060 - Increase market
share of MSMSEs in local &
external markets",-,-,-,-,-,-,272,0
305003066,"305023060 - Administration
Services","29,666,563","84,436,108","11,024,084","63,750,694",37,76,272,0
,"305013060 - Personnel
Services","41,583,708",-,"39,767,432",-,96,,272,0
306003066,"306013060 - Rehabilitation of
Existing Markets","3,892,000",-,"1,509,015",-,39,-,272,0
,"306023060 - Construction of
New Markets",-,"51,006,113",-,"26,364,530",-,52,272,0
307003066,"307013060 - Investment
Promotion Services","1,888,607","115,293,420","685,910","61,266,146",36,53,272,0
Total,,"91,032,455","256,735,641","58,087,452","154,381,370",64,60,272,0
"Vote:3067-Kwale - Community Development, Youth and Women Empowerment and Social Services",,,,,,,,272,0
305003067,"305023060 - Administration
Services",-,-,-,-,-,-,272,0
903003067,"903023060 - Community
development","10,045,739",-,"7,570,245",-,75,-,272,0
,903013060 - Social services,"18,525,000",-,"15,624,362",-,84,-,272,0
,"903033060 - Drug and
substance abuse management","3,500,000",-,"3,430,390",-,98,-,272,0
904003067,"904023060 - Talent search
and development",-,-,-,-,,-,272,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",273,0
,"904013060 - Protection and
promotion of positive culture
and heritage","15,500,000","4,129,200","12,654,865",-,82,-,273,0
,"904033060 - Culture
and heritage investment
promotion",-,-,-,-,-,-,273,0
905003067,"905033060 - Youth
empowerment program",-,-,-,-,-,-,273,0
,"905013060 - Youth
sporting talent search and
development","27,300,000",-,"17,978,350",-,66,-,273,0
,"905023060 - Sports
development program",-,"170,243,525",-,"78,676,773",-,46,273,0
906003067,"906023060 - Administration
Services","23,696,992","59,543,600","15,242,226","34,406,256",64,58,273,0
,"906013060 - Personnel
Services","40,306,465",-,"39,491,208",-,98,,273,0
Total,,"138,874,196","233,916,325","111,991,646","113,083,029",81,48,273,0
Vote:3068-Kwale - Office of the Governor and the Deputy Governor,,,,,,,,273,0
701003068,"701013060 - Administration
and support services",-,-,-,-,-,-,273,0
,"701033060 - General
Administration and Support
Services",-,-,-,-,-,-,273,0
,"701023060 - Media and
communication",-,-,-,-,-,-,273,0
,"701043060 - County
Coordination Services",-,-,-,-,-,-,273,0
702003068,"702013060 - County
Coordination Services","7,330,000",-,"3,691,565",-,50,-,273,0
704003068,"704073060 - Support services
and efficiency enhancement",-,-,-,-,-,-,273,0
,"704043060 - General
Administration","82,490,490","11,840,486","67,111,728",-,81,-,273,0
,704063060 - Other Recurrent,-,-,-,-,-,-,273,0
,"704033060 - County
Coordination Services",-,-,-,-,-,-,273,0
,704013060 - Audit Services,"78,809,427",-,"74,899,672",-,95,-,273,0
706003068,"706013060 - Human
Resource Planning",-,-,-,-,-,-,273,0
707003068,"707013060 - Legal Advisory
Services",-,-,-,-,-,-,273,0
,"707023060 - Economic
Advisory Services",-,-,-,-,-,-,273,0
,"707033060 - Media and
Communication Services","8,772,521",-,"7,351,030",-,84,-,273,0
Total,,"177,402,438","11,840,486","153,053,995",-,86,-,273,0
Vote:3069-Kwale - Education,,,,,,,,273,0
501003069,"501033060 - General
administration and support
services",-,-,-,-,-,-,273,0
,"501023060 - Youth training
and development",-,-,-,-,-,-,273,0
