Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th June
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Develop-
ment Expen-
diture",476,0
OFFICE OF THE GOVERNOR,,,,,,,,476,0
"General administration,
planning and support
services","Service Delivery Coor-
dination","84,440,000",-,"76,948,478",-,91.13,-,476,0
,"Governor’s press
services","18,500,000",-,"18,499,026",-,99.99,-,476,0
,"Liaison and Intergov-
ernmental Relations","33,060,000",-,"30,504,377",-,92.27,-,476,0
Sub Total,,"136,000,000",-,"125,951,881",-,92.61,,476,0
OFFICE OF THE COUNTY SECRETARY & HEAD OF PUBLIC SERVICE-,,,,,,,,476,0
County Secretary,County Administration,"47,270,000",-,"45,340,835",-,95.92,-,476,0
,Cabinet Affairs,"2,580,000",-,"2,578,893",-,99.96,-,476,0
,"Communication and
Public Relations","5,800,000",-,"5,468,509",-,94.28,-,476,0
,"County Records Man-
agement","3,300,000",-,"3,240,174",-,98.19,-,476,0
Sub Total,,"58,950,000",-,"56,628,411",-,96.06,-,476,0
OFFICE OF COUNTY ATTORNEY,,,,,,,,476,0
"County Attorney
Services",Legal and public affairs,"37,650,000",-,"25,695,844",-,68.25,-,476,0
Sub Total,,"37,650,000",-,"25,695,844",-,68.25,-,476,0
PUBLIC SERVICE & DEVOLUTION (ADMIN),,,,,,,,476,0
"Human Resource Man-
agement","Payroll (Including
Compensation to
employees)","2,262,800,418",-,"2,238,173,388",-,98.91,-,476,0
,"Human Resource
Management (Includ-
ing employee gratuity,
pension and medical
insurance)","322,710,311",-,"321,852,484",-,99.73,-,476,0
Public administration,Public Administration,"5,255,000",-,"5,269,755",-,100.28,-,476,0
,"Sub-county and ward
administration","22,145,000",-,"21,823,122",-,98.55,-,476,0
,"Enforcement and
Compliance","12,400,000",-,"12,414,932",-,100.12,-,476,0
Sub Total,,"2,625,310,729",-,"2,599,533,681",-,99.02,-,476,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,476,0
"County Public Service
Board","County Public Service
Board","25,000,000",-,"24,658,591",-,98.63,-,476,0
Sub Total,,"25,000,000",-,"24,658,591",-,98.63,-,476,0
"FINANCE, ECONOMIC PLANNING AND ICT",,,,,,,,476,0
"Public Finance Man-
agement",County Funds,"319,900,000","15,000,000","314,900,000",-,98.44,-,476,0
,Treasury services,"67,750,746",-,"66,631,500",-,98.35,-,476,0
,Financial reporting,"7,293,495",-,"7,288,000",-,99.92,-,476,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure","Recurrent Expen-
diture","Develop-
ment Expen-
diture",477,0
,"Revenue Collection
and Administration
(Including automation)","34,560,000",-,"30,984,208",-,89.65,-,477,0
,"Revenue Enhancement
and Monitoring","27,989,028",-,"26,113,535",-,93.30,-,477,0
