Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Expenditure as of 30th June 2024
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"SP 6. Policy and
planning","583,250",-,"580,820",-,99.6,-,465,0
"Programme2 Roads
Development and
Management","SP 2. Construction
of roads and bridges","19,600,000.0","194,600,163","19,152,802","123,105,143",97.7,63.3,465,0
,"SP 4.
Infrastructural
development","2,500,000.0",-,"1,769,600",-,70.8,-,465,0
,Subtotal,"122,999,061","194,600,163","121,415,444","123,105,143.0",98.7,63.3,465,0
"Department of Trade, tourism, industrialization and Co-operative development",,,,,,,,465,0
"Programme1: General
Administration &
Support Services","S.P. 1. General
administration","31,932,657",-,"31,451,534",-,98.5,-,465,0
,"SP 2. Policy and
planning services","788,950",-,"687,350",-,87.1,-,465,0
"Programme 4: Trade,
Co-operative &
Investment","SP 1. Co-operative
promotion","9,410,000","503,000,00","9,137,412","103,419,046.0",97.1,20.6,465,0
,"SP 2. Trade
promotion","13,012,344","16,500,000","2,831,350","10,430,547.0",21.8,63.2,465,0
,Subtotal,"55,143,951","519,500,000","44,107,646","113,849,593.0",80.0,21.9,465,0
"Department of Youths, sports, gender, culture and social services",,,,,,,,465,0
"Programme1: General
Administration &
Support Services","S.P. 1. General
administration","53,341,929",-,"52,523,644",-,98.5,-,465,0
"Programme 2: Policy,
Planning & Support
Services","SP 2.
Mainstreaming
services","8,310,000",-,"4,023,580",-,48.4,-,465,0
,,Rec,Dev,Rec,Dev,Rec,Dev,466,0
"Programme 3:
Promotion and
Management of Sports","SP 1. Community
development","9,470,000","17,900,000","5,308,930","6,917,516",56.1,38.6,466,0
,"SP 2. Cultural
promotion heritage","1,500,000.0","8,000,000.0","561,400","5,761,720",37.4,72.0,466,0
,Subtotal,"72,621,929","25,900,000","62,417,554","12,679,236",85.9,49.0,466,0
Department of County Public Service Board,,,,,,,,466,0
"Programme1: General
Administration &
Support Services","S.P. 1. General
administration","48,919,260",-,"46,339,327",-,94.7,-,466,0
,"SP 2. Policy
planning","6,775,500",-,"6,725,449",-,99.3,-,466,0
"Programme2: Support
Servi
ces",SP Legal services,"2,478,100",-,"2,065,500",-,83.4,-,466,0
,Subtotal,"58,172,860",-,"55,130,276",-,94.8,-,466,0
Department of Public Service Management.,,,,,,,,466,0
"Programme1: General
Administration &
Support Services","S.P. 1. General
administration","217,608,088",-,"244,721,279",-,112.5,-,466,0
,"SP 2. Policy
planning","6,520,000",-,"3,334,920",-,51.1,-,466,0
,"SP 7.
Communication
services","2,075,000",-,"295,000",-,14.2,-,466,0
"Economic Planning
&Budgeting","SP 3. Community
development","500,000",-,"404,800",-,81.0,-,466,0
"Programme 10: Co-
ordination, Strategy &
HR Services","S.P. 1. Field
coordination &
administration","4,200,000","8,000,000","2,035,468","7,697,834.0",48.5,96.2,466,0
,"SP 2. Strategy &
advisory services","3,000,000",-,"1,562,300",-,52.1,-,466,0
,"SP 3. Human
resource
management","27,565,207",-,-,-,-,-,466,0
,"SP 4. Human
resource
development","77,030,000",-,"34,963,000",,45.4,,466,0
,Subtotal,"338,498,295","8,000,000","287,316,767","7,697,834",84.9,96.2,466,0
Department of Nyamira Municipality,,,,,,,,466,0
"Programmme1:General
Administration &
Support Services","S.P. 1. General
administration","20,436,132",-,"16,706,698",-,81.8,-,466,0
,"SP 2. Policy and
planning","21,010,366",,"19,531,295",,93.0,,466,0
"Programme 2: Roads
Development &
Management","SP 4. Infrastructure
development",-,"83,305,915",-,"83,509,853",-,100.2,466,0
,Subtotal,"41,446,498","83,305,915","36,237,993","83,509,853",87.4,100.2,466,0
Department of County Attorney,,,,,,,,466,0
"Programme1: General
Administration &
Support Services","S.P. 1. General
administration","1,149,000",-,"874,875",-,76.1,-,466,0
,SP 2. Legal services,"4,000,000","3,000,000","2,778,368",-,69.5,-,466,0
,Subtotal,"5,149,000","3,000,000","3,653,243",-,71.0,-,466,0
"Department of Economic planning, resource mobilization & ICT",,,,,,,,466,0
