Program,Sub Programme,Description,Approved Budget,Actual Expenditure,Absorption (%),page_number,table_index
0,,Default Value (Non- Non-Departmental),-,,,526,1
,103003260,Infrastructure Development programme,-,-,-,526,1
,701003260,General Administration support services,-,-,-,526,1
,101003260,Administration Planning and Support Services,-,-,-,526,1
,3260,,-,-,-,526,1
3261000100,,County Assembly Headquarters,"840,893,598.00","805,520,757.00",96,526,1
,701003260,General Administration support services,"780,884,679.00","777,213,526.00",100,526,1
,702003260,County Assembly Infrastructure improvement,"60,008,919.00","28,307,231.00",47,526,1
3262000100,,Headquarters,"3,253,832,259.00","3,209,885,864.80",99,526,1
,3260,,-,-,-,526,1
,704003260,"General Administration and Management of County
Affairs",-,-,-,526,1
,703003260,Decentralized Infrastructure development programme,-,-,-,526,1
,701003260,General Administration support services,"3,253,832,259.00","3,209,885,864.80",99,526,1
,705003260,Leadership Development Programme,-,-,-,526,1
3262000200,,Taveta Sub County Administration,"1,317,900.00","997,861.00",76,526,1
,705003260,Leadership Development Programme,-,-,-,526,1
,701003260,General Administration support services,"1,317,900.00","997,861.00",76,527,0
3262000300,,Wundanyi Sub County Administration,"935,000.00","634,673.00",68,527,0
,703003260,Decentralized Infrastructure development programme,-,-,-,527,0
,701003260,General Administration support services,"935,000.00","634,673.00",68,527,0
3262000400,,Mwatate Sub County Administration,"1,143,000.00","735,327.00",64,527,0
,703003260,Decentralized Infrastructure development programme,-,-,-,527,0
,701003260,General Administration support services,"1,143,000.00","735,327.00",64,527,0
3262000500,,Voi Sub County Administration,"1,500,000.00","1,077,065.00",72,527,0
,701003260,General Administration support services,"1,500,000.00","1,077,065.00",72,527,0
3262000600,,Taveta Town Administration,-,-,-,527,0
,705003260,Leadership Development Programme,-,-,-,527,0
,703003260,Decentralized Infrastructure development programme,-,-,-,527,0
,701003260,General Administration support services,-,-,-,527,0
3262000700,,Voi Town Administration,-,-,-,527,0
,705003260,Leadership Development Programme,-,-,-,527,0
,701003260,General Administration support services,-,-,-,527,0
,703003260,Decentralized Infrastructure development programme,-,-,-,527,0
3262000800,,County Policing Authority,-,-,-,527,0
,701003260,General Administration support services,-,-,-,527,0
3262000900,,Human Resource Management,"4,682,000.00","2,283,600.00",49,527,0
,701003260,General Administration support services,"4,682,000.00","2,283,600.00",49,527,0
3262001000,,,"4,338,000.00","2,886,498.00",67,527,0
