Program,Sub Program,Budget Estimates,col_3,Actual Expenditure,col_5,"Budget Utilisation Differ-
ence %",col_7,page_number,table_index
,County Executive,"16,577,119.00",-,"15,536,071.00",-,93.72,-,608,0
,County Secretary,"7,091,900.00",-,"4,430,461.00",-,62.47,-,608,0
"Admin-
istration,
Planning
and Support
Service",,"54,836,934.00","6,746,200.00","43,368,673.80","1,946,200.00",79.09,28.85,608,0
,"Administrative
Service","54,836,934.00","6,746,200.00","43,368,673.80","1,946,200.00",79.09,28.85,608,0
903004860,,"40,598,001.00","24,424,280.00","38,635,162.00","2,720,538.20",95.17,11.14,608,0
,"Promotion of
Sports","18,739,000.00","12,372,280.00","18,328,950.00",-,97.81,-,608,0
,"Promotion of Cul-
ture and Heritage","8,359,001.00","8,052,000.00","7,053,012.00","2,720,538.20",84.38,33.79,608,0
,Recreation and Arts,"13,500,000.00","4,000,000.00","13,253,200.00",-,98.17,-,608,0
904004860,,"12,664,945.00","5,000,000.00","10,591,500.00",-,83.63,-,608,0
,Social Protection,"2,112,945.00","5,000,000.00","504,800.00",-,23.89,-,608,0
,"Gender, Children,
Youth and People
with Disability","10,552,000.00",-,"10,086,700.00",-,95.59,-,608,0
