Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure as of 30th June 2024,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",540,1
Office of the Governor,,,,,,,,540,1
Executive Services,"County leadership &
coordination of CDAs","41,500,000",-,"41,500,000",-,100,-,540,1
,"County Government
Advisory Service","51,000,000",-,"51,000,000",-,100,-,540,1
,"Coordination of peace
and cohesion","17,373,562",-,"17,373,562",-,100,-,540,1
,Sub Total,"109,873,562",-,"109,873,562",-,,-,540,1
"General Adminis-
tration, Planning and
support services","General Administration,
Planning and support
services","326,768,101",-,"326,768,101",-,100,-,540,1
,Sub Total,"326,768,101",-,"326,768,101",-,,-,540,1
,Grand Total,"436,641,663",-,"436,641,663",-,100,-,540,1
Finance and Economic planning,,,,,,,,540,1
"Public Finance Man-
agement",PFM Enhancement,"5,789,349",-,"5,789,349",-,100,-,540,1
,"Economic planning and
Budgeting","33,625,694",-,"33,625,694",-,100,-,540,1
,"Monitoring and Eval-
uation","17,980,523",-,"17,882,712",-,99,-,540,1
,"Supply chain manage-
ment services","20,700,000",-,"20,700,000",-,100,-,540,1
,"Own Source revenue
collection","22,120,000",-,"21,955,215",-,99,-,540,1
,Accounting & Finance,"24,700,000",-,"23,354,106",-,95,-,540,1
,Internal Audit,"12,782,110",-,"11,897,200",-,93,-,540,1
,General Administration,"408,098,096",-,"408,098,096",-,100,-,540,1
,Development,-,"746,986,713",-,"599,442,327",-,80.2,540,1
,Sub Total,"545,795,772",-,"543,302,371",-,100,-,540,1
,Grand Total,"545,795,772","746,986,713","543,302,371","599,442,327",100,80,540,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",541,0
County Public Service Board,,,,,,,,541,0
"General Administra-
tion, Planning and
Support Services","General Administration,
Planning and Support
Services","60,633,155",-,"60,633,155",-,100,-,541,0
"Ethics, Governance
and Compliance","Ethics, Governance and
Compliance","1,806,960",-,"1,806,960",-,-,-,541,0
"Skills and competency
development","Skills and competency
development","1,578,824",-,"1,578,824",-,100,-,541,0
"Human Resource
management and
development","Human Resource
management and devel-
opment","3,962,316",-,"3,851,580",-,97,-,541,0
,Grand Total,"67,981,255",-,"67,870,519",-,100,-,541,0
"Trade,Tourism and co-operative development",,,,,,,,541,0
"Trade, weights and
measures","Trade, weights and
measures","67,414,849","253,000,000","67,414,849","152,900,000",100,60.43,541,0
Tourism promotion,Tourism promotion,"9,499,849",-,"6,722,178",-,71,-,541,0
"Cooperative Devel-
opment","Cooperative Devel-
opment","8,685,000",-,"8,685,000",-,100,-,541,0
,Grand Total,"85,599,698","253,000,000","82,822,027","152,900,000",97,60.43,541,0
Agriculture and Rural Development,,,,,,,,541,0
"Agricultural Devel-
opment",Crop Husbandry,"6,969,666",-,"6,969,666",-,65,-,541,0
,Plant Disease Control,"1,600,000",-,"1,600,000",-,55,-,541,0
,"Agricultural Mechaniza-
tion Services(AMS)","24,614,500",-,"24,486,885",-,49,-,541,0
,UCSAP,"20,000,000",,"20,000,000",,25,,541,0
,ASDSP,"5,000,000",-,"5,000,000",-,100,-,541,0
,FAO,"1,245,700",-,"1,245,700",-,80,-,541,0
,Development,-,"567,850,000",-,"83,166,127",-,14.65,541,0
