Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
June 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",109,0
OFFICE OF GOVERNOR,,,,,,,,109,0
"General Adminis-
tration Planning and
Support Services","Management of
County Affairs (Office
of Governor)","171,885,998","9,331,999","166,737,371","9,331,999",97,-,109,0
"County Leadership
and Coordination","Sub-County Admin-
istration and Field
Services (Office of
County Secretary)","26,099,711","1,417,000","25,317,927","1,417,000",97,-,109,0
"County Leadership
and Coordination","Management of Coun-
ty Executive Services
(Office of County
Secretary)","26,099,711","1,417,000","25,317,927","1,417,000",97,-,109,0
"County Government
Advisory Services","Public Sector Advisory
Services (Legal, Po-
litical, and Economic
Advisors)","52,199,422","2,834,000","50,635,854","2,834,000",97,-,109,0
Sub Total,,"276,284,841","15,000,000","268,009,080","15,000,000",97,100,109,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,109,0
"General Adminis-
tration Planning and
Support Services","Recruitment and
Selection, Career Man-
agement, HR Policy
& Audit","12,417,322",-,"11,662,210",-,93,-,109,0
"General Adminis-
tration Planning and
Support Services","Administration of
Board programmes/
Agenda","10,347,768",-,"9,718,508",-,94,-,109,0
"General Adminis-
tration Planning and
Support Services","Performance Manage-
ment & Discipline","6,799,962",-,"6,386,448",-,94,-,109,0
Sub Total,,"29,565,052",-,"27,767,167",-,94,-,109,0
"ADMINISTRATION, PUBLIC SERVICE, DEVOLUTION, GOVERNANCE, ICT AND GOVERNOR’S DELIVERY UNIT",,,,,,,,109,0
"General Adminis-
tration Planning and
Support Services","Service delivery and
management of Coun-
ty Affairs","252,407,050","3,583,856","238,989,240","3,443,143",95,-,109,0
Public Service,"Human Resource
Development","199,334,992","2,830,301","188,738,462","2,719,175",95,-,109,0
Public Service,"Construction of Ward
Offices","125,815,744","1,786,422","119,127,454","1,716,282",95,-,109,0
Sub Total,,"577,557,787","8,200,579","546,855,156","7,878,601",95,96,109,0
