Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",361,1
COUNTY ASSEMBLY OF MERU,,,,,,,,361,1
Legislation and Representation,"Legislation and
Representation","428,942,285",-,"428,940,831",-,100.0,-,361,1
Legislative Oversight,Legislative Oversight,"241,864,596",-,"241,864,596",-,100.0,-,361,1
"General Admin, Planning &
Support","General Admin,
Planning & Support","311,571,414","40,000,000","311,555,362","7,982,674",100.0,20.0,361,1
Sub-Total,,"982,378,295","40,000,000","982,360,789","7,982,674",100.0,20.0,361,1
OFFICE OF THE GOVERNOR,,,,,,,,361,1
Headquarters,Headquarters,"87,071,815",-,"82,189,273",-,94.4,-,361,1
Communication,Communication,"25,359,340",-,"23,974,425",-,94.5,-,361,1
Monitoring and Evaluation,"Monitoring and
Evaluation","13,009,200",-,"8,857,586",-,68.1,-,361,1
339,,,,,,,,361,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",362,0
"Research and Public
Participation","Research and Public
Participation","9,182,000",-,"7,858,400",-,85.6,-,362,0
"Special programmes (Fire,
Rescue and Emergency
Services)","Special programmes
(Fire, Rescue and
Emergency Services)","24,920,980",-,"18,502,750",-,74.2,-,362,0
"County Executive
Administration Headquarters","County Executive
Administration
Headquarters","7,094,600",-,"4,233,185",-,59.7,-,362,0
External Linkages & Partnership,"External Linkages &
Partnership","8,004,800",-,"6,124,060",-,76.5,-,362,0
Sub-Total,,"174,642,735",-,"151,739,679",-,86.9,-,362,0
FINANCE ECONOMIC PLANNING & ICT,,,,,,,,362,0
General Administration,"General
Administration","307,886,800",-,"145,680,534",-,47.3,-,362,0
Meru Investment Corporation,"Meru Investment
Corporation","21,709,324",-,"18,166,394",-,83.7,-,362,0
Meru Microfinance Corporation,"Meru Microfinance
Corporation","76,155,481",-,"67,746,807",-,89.0,-,362,0
Meru County Revenue Board,"Meru County
Revenue Board","332,432,000","5,000,000","332,431,999","5,000,000",100.0,100.0,362,0
Procurement,Procurement,"8,950,980",-,"8,827,241",-,98.6,-,362,0
Internal Audit,Internal Audit,"9,274,716",-,"7,774,716",-,83.8,-,362,0
Budget and Policy,Budget and Policy,"32,493,096",-,"28,546,183",-,87.9,-,362,0
Accounts,Accounts,"7,184,190",-,"7,152,038",-,99.6,-,362,0
ICT Development,ICT Development,"12,854,200","68,600,000","11,740,008","60,177,270",91.3,87.7,362,0
