Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure as of 30th June 2024,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",161,1
Office of the Governor and Deputy Governor,,,,,,,,161,1
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","181,409,709.00",-,"132,207,398.00",-,72.9,-,161,1
"Coordination
Devolution
Service",County Executive,"27,880,000.00",-,"9,708,715.00",-,34.8,-,161,1
,"Intergovernmental
Relation","26,288,000.00",-,"8,006,093.00",-,30.5,-,161,1
,County Advisory,"16,710,000.00",-,"10,230,739.00",-,61.2,-,161,1
,Special Programs,"16,276,000.00",-,"12,200,000.00",-,75,-,161,1
,Sub Total,"268,563,709.00",-,"172,352,945.00",-,64.2,-,161,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",162,0
County Public Service Board,,,,,,-,,162,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","121,837,299.00",-,"104,792,527.00",-,86,-,162,0
,Sub-Total,"121,837,299.00",-,"104,792,527.00",-,86,-,162,0
Department of Medical Service and Public Health,,,,,,,,162,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","2,117,132,423.00","10,000,000.00","1,927,640,192.00","10,000,000.00",91,1,162,0
"Curative and
Rehabilitative",Hospital Service,"7,264,200.00","247,169,297.00","5,765,500.00","30,102,661.00",79.4,-,162,0
,"Health Products and
Technologies","335,872,533.00",-,"358,816,071.00",-,106.8,-,162,0
,"Emergency
Responses","6,529,000.00",-,"3,661,485.00",-,56.1,-,162,0
"Public Health and
Sanitation","Reproductive
Maternal","32,617,507.00",-,"32,746,585.00",-,100.4,-,162,0
,"Communicable and
Non-Communicable
disease","4,990,642.00",-,-,-,-,-,162,0
,Primary Health Care,"64,874,115.00","76,800,000.00","28,744,263.00","25,378,265.00",44.3,33,162,0
,"Disease Surveillance
and Response","3,869,815.00",-,-,-,-,-,162,0
,"Environmental
Health","14,251,840.00","4,500,000.00",-,"4,500,000.00",-,1,162,0
,Sub Total,"2,587,402,075.00","338,469,297.00","2,357,374,096.00","69,980,926.00",91.1,-,162,0
"Department of Water, Irrigation, Environment and Natural Resource",,,,,,,,162,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","114,389,966.00",-,"108,789,189.00",-,95.1,-,162,0
Water Service,Water Service,"34,820,000.00","227,069,756.00","20,874,706.00","177,380,300.00",60,78.1,162,0
,"Storm Water
Management","7,236,148.00",-,"8,209,556.00",-,113.5,-,162,0
,Sanitation Service,"4,820,000.00",-,"1,404,000.00",-,29.1,-,162,0
"Environment and
Natural Resources",Environmental,"55,885,867.00",-,"41,626,437.00",-,74.5,-,162,0
,Natural Resources,"2,121,984.00",-,"1,813,740.00",-,85.5,-,162,0
,Climate Change,"5,600,000.00","169,700,000.00","2,760,450.00","99,116,839.00",49.3,58.4,162,0
,Sub Total,"224,873,965.00","396,769,756.00","185,478,078.00","276,497,139.00",82.5,69.7,162,0
"Department of Roads, Transport, Public Works and Energy",,,,,,,,162,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","145,640,689.00",-,"138,464,811.00",-,95.1,-,162,0
"Public Works and
Infrastructure",Roads,"10,500,000.00","173,500,000.00","9,928,301.00","88,938,490.00",94.6,51.3,162,0
,Energy,"12,982,500.00","32,000,000.00","9,513,923.00",-,73.3,-,162,0
,Fire Fighter,"5,900,000.00",-,"4,973,172.00",,84.3,-,162,0
,Transport,"14,348,000.00",-,"12,765,380.00",-,89,-,162,0
,Public Works,"7,814,183.00","14,000,000.00","5,248,000.00","11,982,004.00",67.2,-,162,0
,Sub Total,"197,185,372.00","219,500,000.00","180,893,587.00","100,920,494.00",91.7,46,162,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",163,0
"Department of Public Service, Administration and Citizen Participation",,,,,,,,163,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","533,617,890.00",-,"468,351,948.00",-,87.8,-,163,0
"Public Service and
Administration","County
Administration","12,434,557.00",-,"5,166,100.00",-,41.5,-,163,0
,County Inspectorate,"6,515,500.00",-,"3,492,800.00",-,53.6,-,163,0
"Human Resource
Management and
Development",Human Resource,"253,149,400.00",-,"222,346,503.00",-,87.8,-,163,0
"Citizen
Participation",Citizen Participation,"13,172,624.00",-,"4,144,217.00",-,31.5,-,163,0
,Social Protection,"3,500,500.00",-,"2,870,000.00",-,82,-,163,0
,"Disability
Mainstreaming","13,000,000.00",-,"5,650,000.00",-,43.5,-,163,0
,"Control of Alcohol
and Substance Abuse","2,506,000.00",-,"902,800.00",-,36,-,163,0
,County Organization,"3,000,000.00",-,"1,880,200.00",-,62.7,-,163,0
,Sub Total,"840,896,471.00",-,"714,804,568.00",-,85,-,163,0
Department of County Treasury,,,,,,,,163,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","809,323,150.00","1,280,240,317.00","431,151,649.00","964,983,514.00",53.3,-,163,0
,"Information,
Communication and
Technologies","22,010,000.00","15,000,000.00","19,773,502.00","11,093,208.00",89.8,73.9,163,0
"Public Finance
Management","Budget Coordination
and Management","11,500,000.00",-,"8,383,800.00",-,72.9,-,163,0
,Accounting Service,"10,210,000.00",-,"9,044,750.00",-,88.6,-,163,0
,"Supply Chain
Management","28,490,000.00",-,"22,472,139.00",-,78.9,-,163,0
,Internal Audit,"7,600,000.00",-,"8,412,844.00",-,110.7,-,163,0
,"Revenue Collection/
Resource mobili-
zation","13,433,094.00","30,000,000.00","11,434,449.00","9,239,801.00",85.1,30.8,163,0
"Economy Policy
Coordination",Economic Planning,"8,300,000.00",-,"3,090,400.00",-,37.2,-,163,0
,"Monitoring and
Evaluation","8,321,000.00",-,"450,000.00",-,5.4,-,163,0
,Sub Total,"919,187,244.00","1,325,240,317.00","514,213,533.00","985,316,523.00",55.9,-,163,0
"Department of Lands, Physical Planning and Urban Development",,,,,,,,163,0
"General
Administration,
Planning and
Support Service","General
Administration,
Planning and
Support Service","93,742,697.00",-,"86,663,843.00",-,92.4,-,163,0
"Land Policy and
Planning",Physical Planning,"9,484,700.00","103,000,000.00","6,828,000.00","73,000,000.00",72,-,163,0
,"Lands Survey and
Mapping","5,570,000.00",-,"3,425,323.00",-,61.5,-,163,0
,"Lands
Administration","6,170,000.00",-,"2,882,080.00",-,46.7,-,163,0
"Urban
Development and
Management",Urban Development,"17,776,900.00",-,"5,071,099.00",-,28.5,-,163,0
,Housing,"6,150,000.00",-,"13,320,251.00",-,216.6,-,163,0
