Programme,Sub-Programme,"Approved Budget Estimates FY
2023/24",col_3,"Actual Expenditure as of 30th June,
2024",col_5,Absorption Rate (%),col_7,page_number,table_index,col_8
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",372,1,
Department of County Executive,,,,,,,,372,1,
"General
administration &
support services","General
Administration(Office of
the Governor)","202,600,000",-,"166,460,674",-,82.2,-,372,1,
,other infrastructure,-,"140,000,000",-,"92,987,880",-,66.4,372,1,
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",373,0,
,"General
Administration(County
sec)","44,450,000",-,"28,948,800",-,65.1,-,373,0,
,"General
Administration(dep gov)","40,300,000",-,"29,302,227",-,72.7,-,373,0,
,"General
Administration(ICT)","13,780,000",-,"12,287,395",-,89.2,-,373,0,
,"General
Administration(Special
prog)","16,100,000",-,"6,372,971",-,39.6,-,373,0,
"Governance &
Administration
Services","Governor's Statehouse
Services","24,000,000",-,"23,517,478",-,98.0,-,373,0,
,"Co-ordination
and Supervision
Services(Gov)","36,000,000",-,"35,712,799",-,99.2,-,373,0,
,"Co-ordination
and Supervision
Services(ICT)","28,000,000",-,"27,799,978",-,99.3,-,373,0,
,"Lake Region Economic
Bloc","5,000,000",-,"3,872,200",-,77.4,-,373,0,
,Council of Governors,"5,000,000",-,"4,800,000",-,96.0,-,373,0,
,Liaison office - Nairobi,"5,500,000",-,"4,833,000",-,87.9,-,373,0,
,Chief of Staff,"5,000,000",-,"4,800,000",-,96.0,-,373,0,
,Protocol Office,"5,000,000",-,"4,850,000",-,97.0,-,373,0,
,"Security
Services(Governor)","8,000,000",-,"7,499,875",-,93.7,-,373,0,
,"Security Services(D/
Governor)","2,000,000",-,"1,600,000",-,80.0,-,373,0,
,"Communication and
Press","5,000,000",-,"5,000,000",-,100.0,-,373,0,
,Political Advisor,"4,500,000",-,"4,500,000",-,100.0,-,373,0,
,Economic Advisor,"4,500,000",-,"4,361,760",-,96.9,-,373,0,
"County secretary
services",County secretary service.,"14,600,000",-,"14,550,000",-,99.7,-,373,0,
"Cohesion & peace
building",Peace Building Initiatives,"9,300,000",-,"7,361,296",-,79.2,-,373,0,
,"Conflict management &
resolution","9,400,000",-,"6,793,700",-,72.3,-,373,0,
,Civic Education,"1,900,000",-,"993,000",-,52.3,-,373,0,
,Peace Building Initiatives,"1,200,000",-,"1,194,235",-,99.5,-,373,0,
"Research &
Education","Research & Education
Services","1,000,000",-,-,-,-,-,373,0,
"Geospatial
information services.","Geospatial information
services.",-,-,-,-,-,-,373,0,
"Performance
management
services","Performance
management services","4,000,000",-,"3,100,000",-,77.5,-,373,0,
ICT infrastructure,"ICT infrastructure &
connectivity",-,"7,970,000",-,"5,362,500",-,67.3,373,0,
"Communication
services",Communication services,"6,950,000",-,"4,375,857",-,63.0,-,373,0,
,"County Media and
Branding Services","10,000,000",-,"9,542,956",-,95.4,-,373,0,
,Digital Media,"8,300,000",,"8,299,931",,100.0,-,373,0,
E-governance,Automation services,"13,950,000",-,"13,944,757",-,100.0,-,373,0,
E-learning,"Digital curriculum
integration &
development.","3,900,000",-,"3,685,969",-,94.5,-,373,0,
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",374,0,
Digital innovation,Innovation services,"2,820,000",-,"2,620,000",-,92.9,-,374,0,
"Resource
Mobilization Service","Resource Mobilization
Service","5,000,000",-,"4,185,746",-,83.7,-,374,0,
"External
partnerships &
affairs","External partners'
relations management","35,800,000",-,"34,970,670",-,97.7,-,374,0,
Pending Bills,Pending Bills (Governor),"6,365,257",-,"5,681,840",-,89.3,-,374,0,
,Pending Bills (ICT),"13,227,800",-,"12,369,100",-,93.5,-,374,0,
,Sub- Total,"602,443,057","147,970,000","510,188,214","98,350,380",84.7,66.5,374,0,
Office of the County Attorney,,,,,,,,374,0,
"General
administration &
support services","Finance &
administration","35,270,000",-,"16,579,400",-,47.0,-,374,0,
Legal Services,"Advisory & Research
services","2,900,000",-,"2,900,000",-,100.0,-,374,0,
