Programme,Description,Approved Estimates FY 2023/24,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",501,0
"County Executive
Services",,"434,385,438","8,000,000","383,880,732","4,481,256",88.4,97.2,501,0
,"Administration and
Coordination of
County Affairs",-,-,-,-,-,-,501,0
,"Sub County
Administration","224,002,644",-,"203,204,391",-,90.7,-,501,0
,"Coordination,
Supervision and
Human Resource
Services","170,448,176","8,000,000","141,512,104","4,481,256",83.0,97.2,501,0
,"Management of County
Affairs","39,934,618",-,"39,164,237",-,98.1,-,501,0
"Organization of
County Business",,-,-,-,-,-,-,501,0
,"Public Sector Advisory
Services",-,-,-,-,-,-,501,0
"Economic, Social &
Political Advisory
Service",,"14,497,686",-,"13,888,798",-,95.8,-,501,0
,County Policing,-,-,-,-,-,-,501,0
,"General Administration
Planning and Support
Services","14,497,686",-,"13,888,798",-,95.8,-,501,0
"Administration of
Human Resources
in County Public
Service",,"56,314,926",-,"55,406,629",-,98.4,-,501,0
,"General Administration
Planning and Support
Services","56,314,926",-,"55,406,629",-,98.4,-,501,0
"Administration
Services",,-,-,-,-,-,-,501,0
,Special Programs,-,-,-,-,-,-,501,0
Special Programs,,-,-,-,-,-,-,501,0
,Grand Total,-,-,-,-,-,,501,0
,,"505,198,050","8,000,000","478,818,598","4,481,256",89.7,97.2,501,0
"Finance, Economic
Planning & ICT",,-,-,-,-,-,-,501,0
,"General Administration
Planning and Support
Services",-,-,-,-,-,-,501,0
"Administration
Services",,"497,604,580","42,194,000","487,840,408","29,856,960",98.0,70.8,501,0
,System Security,"459,307,438",-,"450,075,260",-,98.0,-,501,0
,"Public Finance
Management","38,297,142","42,194,000","37,765,148","29,856,960",98.6,70.8,501,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",502,0
Fiscal Planning,,"304,277,839","8,000,000","276,455,370","8,000,000",90.9,100.0,502,0
,Resource Mobilization,"51,773,670","8,000,000","41,320,771","8,000,000",79.8,100.0,502,0
,"Budget Formulation
Coordination and
management","88,801,113",-,"86,097,335",-,97.0,-,502,0
,"Public finance and
Accounting","14,311,920",-,"13,038,203",-,91.1,-,502,0
,Internal Audit,"42,478,495",-,"41,502,855",-,97.7,-,502,0
,Data Management,"20,411,858",-,"15,523,091",-,76.0,-,502,0
,Procurement,"19,000,000",-,"18,030,513",-,94.9,-,502,0
,"Monitoring &
Evaluation /Statistical","25,825,602",-,"24,345,263",-,94.3,-,502,0
,Special Programs,"41,675,181",-,"36,597,339",-,87.8,-,502,0
Special Programs,,"35,354,323",-,"32,326,265",-,91.4,-,502,0
,"General
ministration(Economic
Planning and ICT)","35,354,323",-,"32,326,265",-,91.4,-,502,0
"General
Administration
(Economic Planning
and ICT)",,"12,682,895",-,"10,679,468",-,84.2,-,502,0
,Grand Total,"12,682,895",-,"10,679,468",-,84.2,-,502,0
,,"849,919,637","50,194,000","773,749,223","22,993,000",95.0,75.4,502,0
"Agriculture,
Livestock
Development,
Veterinary Services
& Fisheries",,-,-,-,-,-,-,502,0
,"General Administration
Planning and Support
Services",-,-,-,-,-,-,502,0
"Administration,
Planning and
Support Services",,"79,394,821",-,"72,938,296",-,91.9,-,502,0
,"Livestock Resource
Management and
Development","79,394,821",-,"72,938,296",-,91.9,-,502,0
"Promotion of
Value Addition
of Livestock and
Livestock Products",,"72,276,278","912,767,981","62,719,438","333,609,404",86.8,36.5,502,0
,"Promotion of Dairy
Production, Breeding
and Disease Control","18,303,764","853,527,981","17,808,190","279,496,280",97.3,32.7,502,0
,"Livestock marketing
and range land
management","27,141,854","-
1,000,000","26,512,964",-,97.7,-,502,0
,"Livestock Diseases
Management and
Control","11,741,904",-,"10,760,876",-,91.6,-,502,0
,,"15,088,756","60,240,000","7,637,409","54,113,124",50.6,89.8,502,0
"Development of
capture fisheries
resources",,"8,332,664","15,827,086","6,231,177","15,826,286",74.8,100.0,502,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",503,0
,"Crop Production and
Management","8,332,664","15,827,086","6,231,177","15,826,286",74.8,100.0,503,0
"Crop Production
and Food Security",,"60,958,708","52,051,664","51,819,371","40,360,000",85.0,77.5,503,0
,"Agricultural Extension
Research and Training","20,392,822","-
240,000","14,023,788",-,68.8,-,503,0
,Grand Total,"40,565,886","52,291,664","37,795,583","40,360,000",93.2,77.2,503,0
,,"220,962,471","980,646,731","193,708,282","389,795,690",87.7,39.7,503,0
"Water, Environment,
Natural Resources &
Energy",,-,-,-,-,-,-,503,0
,"General Administration
Planning and Support
Services",-,-,-,-,-,-,503,0
"Administration,
Planning and
Support Services",,-,-,-,-,-,-,503,0
,"Pollution control&
monitoring",-,-,-,-,-,-,503,0
Administration,,"57,862,262","267,635,500","48,068,745","226,806,709",83.1,84.7,503,0
,"Forests Conservation
and Management","57,862,262","267,635,500","48,068,745","226,806,709",83.1,84.7,503,0
"Forests Conservation
and Management",,"32,333,851","71,080,550","13,750,962","25,969,794",42.5,36.5,503,0
,"Pollution control&
monitoring","24,442,020","2,200,000","11,039,769","2,199,124",45.2,100.0,503,0
,"Forests Conservation
and Management","7,891,831","68,880,550","2,711,193","23,770,670",34.4,34.5,503,0
"Control of soil
erosion",,"11,474,810",-,"5,868,332",-,51.1,-,503,0
,Mining Services,"5,661,970",-,"3,048,997",-,53.9,-,503,0
,"Water Catchment and
Protection Services","2,460,790",-,"1,521,395",-,61.8,-,503,0
