Programme,Sub- Programme,"Approved
Estimates (Kshs)","Actual
Expenditure
(Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index,col_6
,"Administration and Support
Services","2,778,624",-,"2,778,624",-,140,0,
"Public Works and
Infrastructure
Improvements Services",Subtotal,"7,870,274",-,"7,870,274",-,140,0,
,"Transport Infrastructure
Improvements","5,550,198","5,550,198",-,100.0,140,0,
,"Public facilities improvement
services",-,-,-,-,140,0,
"Housing and Urban
Development Services","Environmental Management
Services","3,000,000","3,000,000",-,100.0,140,0,
,Land Use Management,-,-,-,-,140,0,
,Subtotal,"8,550,198","8,550,198",-,100.0,140,0,
,Total,"16,420,472","8,550,198","7,870,274",52.1,140,0,
Oyugis Municipal Board,,,,,,140,0,
"Policy, Planning, General
Administration and Support
Services",Policy and Planning Services,"745,831",-,"745,831",-,140,0,
,"Personnel remuneration and
development services","7,001,231",-,"7,001,231",-,140,0,
,"Administration and Support
Services","1,086,558",-,"1,086,558",-,140,0,
"Public Works and
Infrastructure
Improvements Services",Subtotal,"8,833,620",-,"8,833,620",-,140,0,
,"Transport Infrastructure
Improvements","3,500,000","3,500,000",-,100.0,140,0,
,"Public facilities improvement
services",-,-,-,-,140,0,
"Housing and Urban
Development Services","Environmental Management
Services","4,350,000","4,350,000",-,100.0,140,0,
,Land Use Management,-,-,-,-,140,0,
,Subtotal,"7,850,000","7,850,000",-,100.0,140,0,
,Total,"16,683,620","7,850,000","8,833,620",47.1,140,0,
GRAND TOTAL,,"11,167,226,300","9,080,189,074","2,087,037,226",81.3,140,0,
