Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure July 2023-June
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,sub-total,"54,832,080",-,"43,558,660",-,79,-,288,0
"PREVENTIVE HEALTH
SERVICES","community health
strategy, advocacy and
surveillance","12,000,000",-,"10,350,596",-,86.25,-,288,0
,"family planning,
maternal, and child
health services","2,000,000",-,"1,957,550",-,97.88,-,288,0
,"non -Non-communicable
disease control and
prevention","2,000,000",-,"801,650",-,40.08,-,288,0
,"public health promotion
and nutrition services","9,350,000",-,"8,801,150",-,94.13,-,288,0
,"social health insurance
scheme","6,000,000",-,"5,887,500",-,98.13,-,288,0
,"TB/HIV/aids prevention
and control","4,000,000",-,"2,094,150",-,52.35,-,288,0
,Sub-Total,"35,350,000",-,"29,892,596",-,,,288,0
TOTAL HEALTH,,"369,605,080","712,435,500","299,057,644","340,189,690",,,288,0
DEPARTMENT: AGRICULTURE LIVESTOCK AND FISHERIES,,,,,,,,288,0
Headquarters,"SP1 Headquarter
Administration Services","10,800,000","10,500,000","10,800,000","500,000",100.00,4.76,288,0
,"SP3 Agriculture Sector
Extension Management","1,933,282","94,870,868","1,933,282","8,870,868",100.00,9.35,288,0
Livestock Production,"SP2 Livestock Resource
Development and
Management","121,389,340","11,000,000","1,800,000","10,979,668",1.48,99.82,288,0
Veterinary Services,"SP5 Animal Health and
Disease Management","1,800,000","10,500,000","1,800,000","9,789,593",100.00,93.23,288,0
Fisheries Production,"SP1 Fisheries
Development and
Management","1,500,000","5,000,000","1,500,000","4,989,575",100.00,99.79,288,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",289,0
"Crop Production &
Horticulture","SP2 Land and
Crop Productivity
Enhancement and
Management","3,800,000","6,400,000","3,800,000","6,379,462",100.00,99.68,289,0
,"SP4 Strategic Food
Security Service","66,899,161",-,"14,174,333",-,21.19,-,289,0
,"SP4 Climate Change
Adaptation & Mitigation","1,800,000","20,990,000","1,800,000","20,819,874",100.00,99.19,289,0
TOTAL AGRICULTURE,,"209,921,783","159,260,868","37,607,615","62,329,041",17.92,39.14,289,0
"DEPARTMENT: LANDS, INFRASTRUCTURE, HOUSING AND URBAN DEVELOPMENT",,,,,,,,289,0
"P3-0103004510-General
Administration and
Planning Services","SP1 Administration
Services-","6,619,610",-,"5,688,942",-,86,-,289,0
"P12-0112004510 - Physical
Planning and Survey","SP1-Survey and Planning
services","5,000,000","9,000,000","3,167,612","8,731,470",63,97,289,0
,"SP2-- Land management
services",-,"6,055,360",-,"6,055,360",,100,289,0
,"SP3-- Strategic project
monitoring and
intervention",-,"944,640",-,"944,640",,100,289,0
,"SP4- -policy
management, public
mobilization and
participation",-,"6,500,000",-,"717,900",,11,289,0
"P13-0113004510- Land and
Housing Management","SP2 Housing Policy
Development-","1,000,000","20,000,000","258,532","1,605,600",26,8,289,0
"P14-0114004510-Public
Works Service Delivery
Improvement","SP4 County Building
Construction Standard-","1,000,000","2,500,000","960,670",-,96,-,289,0
"P15-0115004510-Roads
Network Improvement
Housing and Urban
Development","SP1 Road Network
improvement-","2,000,000","260,000,000","1,499,000","148,323,564",75,57,289,0
,"SP3- Road network
maintenance-",-,"15,300,000",-,-,,-,289,0
,"SP4 Heavy Equipment
Maintenance-",-,"10,000,000",,"7,440,460",,74,289,0
,"SP5-- Mechanization
Services",-,"30,000,000",,"13,908,400",,46,289,0
,SP Urban Development-,-,"15,000,000",,"4,908,071",,33,289,0
"P18-0118004510-
Renewable /Green Energy
Services","SP1 County renewable/
green energy services-","32,000,000","10,000,000","31,414,192","1,450,000",98,15,289,0
"TOTAL
INFRASTRUCTURE",,"47,619,610","385,300,000","42,988,948","194,085,465",90,50,289,0
