Programme,"Approved Estimates
Recurrent Development
Total Budget
Estimates Estimates
Estimates
2023/24 2023/24",col_2,col_3,Actual Expenditure as of June 2024,col_5,Absorption Rate (%),col_7,page_number,table_index,Approved Estimates
,,"Development
Estimates
2023/24","Total Budget
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",65,1,
"Agriculture, Livestock and Cooperative",,,,,,,,65,1,
"Programme 1: General
Administration, Planning
and Support Services","360,932,053",-,"360,932,053","281,694,609",-,78.0,-,65,1,
"S.P 1.1 Administrative and
Support Services","29,278,650",-,"29,278,650","28,643,591",-,97.8,-,65,1,
"S.P 1.2 Human Resource
Management and
Development.","325,690,920",-,"325,690,920","247,935,975",-,76.1,-,65,1,
,,"Development
Estimates
2023/24","Total Budget
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",66,0,"Recurrent
Estimates
2023/24"
"S.P 1.3: Policy, Legal and
Regulatory Framework",,-,"847,440",-,-,-,-,66,0,"847,440"
"S.P 1.4: Planning and Financial
Management",,-,"2,615,043","2,615,043",-,100.0,-,66,0,"2,615,043"
S.P 1.5 Sector Coordination,,-,"1,100,000","1,100,000",-,100,-,66,0,"1,100,000"
"S.P 1.7 Sub-County
Administrative Costs",,-,"1,400,000","1,400,000",-,100,-,66,0,"1,400,000"
"Programme 2: Land and
Crop Development and
Management",,"169,850,000","169,850,000",-,"93,927,315",,55.3,66,0,-
"S.P 2.1: Agricultural Extension
and Training Services",,"5,000,000","5,000,000",-,"4,500,000",-,90,66,0,-
"S.P 2.2: Crop Production and
Productivity",,"154,850,000","154,850,000",-,"80,197,057",-,51.8,66,0,-
"SP 2.8 Irrigation Infrastructure
Development and Agricultural
Water Storage",,"10,000,000","10,000,000",-,"9,230,257",-,92.3,66,0,-
"Programme 3: Livestock
Development and
Management",,"10,254,500","12,600,000","2,345,500","7,642,771",100,74.5,66,0,"2,345,500"
"SP 3.4 Disease and Vector
Control",,"2,000,000","2,000,000",-,"2,726,913",-,136.3,66,0,-
"SP 3.5 Food Safety and Quality
Control",,"2,654,500","5,000,000","2,345,500","675,926",100,25.5,66,0,"2,345,500"
"SP 3.7 Veterinary Extension
Services",,"5,600,000","5,600,000",-,"4,239,932",-,75.7,66,0,-
"Programme 4: Fisheries
Development and
Management",,"4,000,000","4,000,000",-,"3,000,000",-,75,66,0,-
"SP 4.1 Fisheries Extension
Service and Training",,-,-,-,-,-,-,66,0,-
"SP 4.2 Fisheries Product Value-
Chain Development",,"4,000,000","4,000,000",-,"3,000,000",-,75.0,66,0,-
"Programme 5: Cooperatives
Development and
Management",,"4,982,125","8,982,125","4,000,000","4,982,125",100,100.0,66,0,"4,000,000"
"SP 5.1 Cooperatives Extension
Service and Training
(Cooperative Governance
(Training))",,-,"2,700,000","2,700,000",-,100,-,66,0,"2,700,000"
"SP 5.2 Cooperatives Audit
Services",,-,"1,300,000","1,300,000",-,100,-,66,0,"1,300,000"
"SP 5.3 Production, Agro
Processing, Value Addition
& Marketing (Input and
Infrastructural Support to
Cooperatives)",,"4,982,125","4,982,125",-,"4,982,125",-,100.0,66,0,-
"Programme 6: Institutional
Development and
Management",,"23,860,000","25,860,000",-,-,-,-,66,0,"2,000,000"
"SP 6.1 Mabanga ATC
Administration Management
Services",,-,-,-,-,-,-,66,0,-
"SP 6.2 Agricultural Enterprise
Development (ATC)",,"3,560,000","3,560,000",-,-,,-,66,0,-
"SP 6.3 Infrastructural
Development (ATC)",,"10,000,000","10,000,000",-,-,-,-,66,0,-
SP 6.5 Tractor Hire Services,,-,"2,000,000",-,-,-,-,66,0,"2,000,000"
,,"Development
Estimates
2023/24","Total Budget
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",67,0,"Recurrent
Estimates
2023/24"
"SP 6.8 Operational
Development (CFF)",,"10,300,000","10,300,000",-,-,-,-,67,0,-
Total Grants & Ward Based,,"641,730,703","641,730,703",-,"398,549,978",-,62.1,67,0,-
NARIGP,,"560,327,654","560,327,654",-,"382,454,141",-,68.3,67,0,-
ASDSP II,,"70,903,049","70,903,049",-,"16,095,837",-,22.7,67,0,-
Ward Based Projects,,"10,500,000","10,500,000",-,-,-,-,67,0,-
Sub Total,,"854,677,328","1,223,954,881","288,040,109","508,102,188",78.0,59.4,67,0,"369,277,553"
Health and Sanitation,,,,,,,,67,0,
"Programme 1: General
Administration Planning and
Support Services",,"242,258,807","3,190,536,640","2,257,781,581","125,805,555",76.6,51.9,67,0,"2,948,277,833"
"SP 1. 1 Health Administrative
and Support Services",,"40,673,929","188,090,104","30,268,006","32,444,859",20.5,79.8,67,0,"147,416,175"
"SP 1. 2. Leadership and
Governance",,-,"34,500,000",-,-,-,-,67,0,"34,500,000"
SP 1. 3 Health Policy,,-,"4,000,000",-,-,-,-,67,0,"4,000,000"
"SP 1. 6 Human Resource
Management",,-,"2,762,361,658","2,227,513,575",-,80.6,-,67,0,"2,762,361,658"
"SP 1. 7 Infrastructural
Development",,"201,584,878","201,584,878",-,"93,360,697",,46.3,67,0,-
"Programme 2: Preventive and
Promotive",,"15,358,366","672,895,462","102,932,413",-,15.7,-,67,0,"657,537,096"
"SP 2.1 Communicable and
Non-communicable Disease
Control",,-,"20,000,000",-,-,-,-,67,0,"20,000,000"
"SP 2.2 Community Health
Strategy",,-,"5,600,000",-,-,-,-,67,0,"5,600,000"
SP 2.3 Health Promotion,,-,"3,000,000",-,-,-,-,67,0,"3,000,000"
"SP 2.6 Reproductive, Maternal,
Newborn, Child, and
Adolescent Health",,-,"15,000,000",-,-,-,-,67,0,"15,000,000"
"SP 2.7 Public Health and
Sanitation",,"15,358,366","23,359,282","3,422,480",-,42.8,-,67,0,"8,000,916"
"specialized Materials and
Supplies",,-,"605,936,180","99,509,933",-,16.4,-,67,0,"605,936,180"
"Programme 3: Curative
Health Services",,-,"136,949,177","44,232,997",-,32.3,-,67,0,"136,949,177"
"SP3. 1 Routine Medical
Services",,-,"95,171,405",-,-,-,-,67,0,"95,171,405"
Grants; DANIDA/UNICEF,,-,"41,777,772","44,232,997",-,105.9,-,67,0,"41,777,772"
Sub Total,,"257,617,173","4,000,381,279","2,404,946,991","125,805,555",64.3,48.8,67,0,"3,742,764,106"
Roads and Public Works,,,,,,,,67,0,
"Programme 1: General
Administration, Planning,
and Support Services",,"16,000,000","129,463,594","91,601,016","16,064,577",80.7,100.4,67,0,"113,463,594"
"SP1.1: Capacity Development
and Motivation",,"16,000,000","101,121,330","73,149,058","16,064,577",85.9,100.4,67,0,"85,121,330"
SP1.3: Administration Services,,-,"23,615,544","18,451,958",-,78.1,-,67,0,"23,615,544"
"SP1.4: Financial Services,
Planning and Stewardship",,-,"4,726,720",-,-,-,-,67,0,"4,726,720"
"Programme 2: Transport
Infrastructure Development
and Management",,"1,092,278,320","1,092,278,320",-,"965,553,845",-,88.4,67,0,-
,,"Development
Estimates
2023/24","Total Budget
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",68,0,"Recurrent
Estimates
2023/24"
"SP2.1: Construction of Roads
Bridges and Drainage Works",,"946,778,320","946,778,320",-,"834,582,276",-,88.1,68,0,-
SP2.2: Maintenance of Roads,,"145,500,000","145,500,000",-,"130,971,569",-,90,68,0,-
"Programme 3: Building
Standards and Quality
Assurance",,"24,800,000","24,800,000",-,-,-,-,68,0,-
"SP3.1: Building Standards and
Research",,"24,800,000","24,800,000",-,-,-,-,68,0,-
Sub Total,,"1,133,078,320","1,246,541,914","91,601,016","981,618,422",80.7,86.6,68,0,"113,463,594"
Education and Vocational Training,,,,,,,,68,0,
"Programme 1: General
Administration Planning and
Support Services",,"18,000,000","1,222,696,303","1,109,942,050","16,478,079",92.1,91.5,68,0,"1,204,696,303"
