Programme,Sub Programme,"Approved Estimates (Kshs.)
Recurrent Development",col_3,Expenditure (Kshs.),col_5,Absorption Rate (%),col_7,page_number,table_index,Approved Estimates (Kshs.)
,,,Development,Recurrent,Developmen,t Rec,Dev,429,0,
"DEPARTMENT OF AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,429,0,
"Programme 1; Administration,
planning and support services","SP 1.1: Administration
planning and support services","54,889,365","198,094,201","44,349,257","117,146,47",9 80.8,59.1,429,0,
,SP 1.2: Human Resource,"373,268,452",-,"316,465,176",,- 84.8,-,429,0,
,,,Development,Recurrent,Development,Rec,Dev,430,0,Recurrent
"Programme 2: Livestock
resource management and
development","SP 2.1: Livestock production
and management",,-,"2,000,000",-,-,-,430,0,"2,000,000"
,"SP 2.2: Promotion of value
addition of livestock and
livestock products",,"34,800,000","31,282,600","31,903,688",80.4,91.7,430,0,"38,926,446"
,"SP 2.3: Livestock extension
service delivery",,"8,300,000",-,"4,749,401",-,-,430,0,-
,"SP 2.4: Food safety
and livestock products
development",,"15,846,059",-,"5,070,600",-,32.0,430,0,-
,"SP 2.5: livestock diseases
management and control",,"10,861,000",-,"8,673,900",-,79.9,430,0,"235,366"
"Programme 3; Fisheries
development","SP 3.1: Aquaculture
development",,"3,000,000",-,-,-,-,430,0,-
,"SP 3.2: development of capture
fisheries resources",,"2,000,000",-,"1,158,210",-,57.9,430,0,-
,"SP 3.3 Fish quality assurance
value addition and marketing",,"8,139,000",-,"2,939,000",-,36.1,430,0,-
"Programme 4; Crop
development and management","SP 4.1 Agriculture extension
research and training",,-,-,-,-,-,430,0,-
,"SP 4.2 crop production and
food security",,"770,227,833","4,801,090","237,286,560",80.9,30.8,430,0,"5,934,200"
,"SP 4.3 Farmland utilization,
conservation and
mechanization",,-,-,-,-,-,430,0,-
,"SP 4.4 Agribusiness
development and marketing",,"3,026,226",-,"618,020",-,-,430,0,-
,SP 4.5 Agri-Nutrition,,-,-,-,-,-,430,0,-
,Sub Total,,"1,054,294,319","398,898,124","409,545,857",83.9,38.8,430,0,"475,253,829"
NAIVASHA MUNICIPALITY,,,,,,,,430,0,
"Programme 1; Administration
and planning and support
services","SP 1.1 Administration and
Planning",,-,"7,850,054",-,39.8,-,430,0,"19,724,400"
,SP 1.2; personnel services,,-,"5,587,807",-,50.6,-,430,0,"11,042,628"
,SP 1.3 financial services,,-,-,-,-,-,430,0,-
