Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30
June 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",347,1
County Assembly,,,,,,,,347,1
"1: General
Administration
Support
Services","SP 1.1 salaries
and allowances
for employees and
M.C.As","252,669,199",-,"251,669,199",-,99.6,-,347,1
,"SP 1.2 Employer
Contribution to
Pension","9,550,000",-,"9,550,000",-,100.0,-,347,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",348,0
,"SP 1.2 Hospitality,
Catering services,
donations and gifts,
boards, committees,
conferences and
seminars","45,074,469",-,"45,074,469",-,100.0,-,348,0
,"SP 1.3 Domestic
payables from
previous financial
years","19,717,081","275,801,070","19,717,081",-,100.0,-,348,0
"Programme 2:
Legislature and
Oversight","SP 2.1 Domestic
and foreign
accommodation,
air travel and
daily subsistence
allowance","146,357,475",-,"146,357,475",-,100.0,-,348,0
,"SP 2.2 ICT,
Hansard and
Communication
Equipment","6,500,000",-,"6,500,000",-,100.0,-,348,0
,"SP 2.3 Mortgage &
Car Loans and Tax","57,407,675",-,"57,407,675",-,100.0,-,348,0
,"SP 2.4 Staff
Training and
Development and
Tuition","35,407,263",-,"35,407,263",-,100.0,-,348,0
"Programme
3: County
Assembly
Infrastructure
Improvement","SP 3.11 Equipping
of library",-,-,"9,550,000",-,-,-,348,0
,"SP 3.12
Maintenance of
motor vehicle","7,750,000",-,-,-,-,-,348,0
,"SP 3.13 Purchase
of furniture and
general equipment","1,500,000",-,"1,500,000",-,100.0,-,348,0
,"SP 3.14
Construction of
County Assembly
Headquarters and
modern chambers,
purchase of land for
speaker’s residence,
construction and
equipping of ward
offices",-,"249,682,919",-,"100,348,642",-,40.2,348,0
,"SP 3.15
Improvement of
ICT services","3,015,500",-,"3,016,760",-,100.0,-,348,0
,"SP 3.16
Maintenance of
plants, machinery &
other assets","7,016,760",-,"4,000,000",-,57.0,-,348,0
,"SP 3.17 Electricity,
water and sewerage
and other utility
charges","11,928,878",-,"10,028,878",-,84.1,-,348,0
,"SP 3.18 Printing,
advertisement
and information
supplies and
services","33,321,371",-,"33,321,371",-,100.0,-,348,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",349,0
,"SP 3.19 Rental of
approved assets
and hire of motor
vehicles","2,200,000",-,"2,200,000",-,100.0,-,349,0
,"SP 3.20 Insurance
cost for group
personal, building,
motor vehicle and
medical cover","34,979,999",-,"37,480,382",-,107.1,-,349,0
,"SP 3.21 Purchase of
computers, printers
and, general office
supplies and
accessories and
sanitary cleaning
materials","37,386,793",-,"37,386,793",-,100.0,-,349,0
,"SP 3.22 Fuel, oil,
lubricants and tyres","8,000,000",-,"8,000,000",-,100.0,-,349,0
,"SP 3.23 Bank
service commission
and charges, legal
fees, management
fees and, contracted
professional charges
and other operating
expenses","8,714,883",-,"9,230,000",-,105.9,-,349,0
