"Approved Estimates Actual Expenditure
Absorption Rate (%)
(Kshs.) (Kshs.)
Programme (CP) Sub-Programme (CSP)
Recurrent Development Recurrent Development Recurrent Development
Expenditure Expenditure Expenditure Expenditure Expenditure Expenditure",col_1,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index,Programme (CP),Sub-Programme (CSP)
"Department of Agriculture, Livestock & Pastoral
CSP 1.1 Agriculture Administration &
CP 1: Administration 61,442,159 163,000,000 43,946,433 49,622,223 71.5 30.4
Support Services",,,,,,,,122,0,,
"CP 2: Agriculture
Department",CSP 2.1: Extension and Exhibition,"1,000,000",-,"300,000",-,30.0,-,122,0,,
,CSP 2.2: Irrigation Development,"11,412,438",-,"10,562,438",-,92.6,-,122,0,,
CP 3: Co-operatives,CSP 3.1: Co-operatives,"600,000",-,-,-,-,-,122,0,,
CP 4: Fisheries Department,CSP 4.1: Fisheries,-,-,-,-,-,-,122,0,,
CP 5: Livestock Department,CSP5.1: Livestock,"47,259,147","169,365,353","43,438,470","168,180,619",91.9,99.3,122,0,,
,CSP 5.2: Livestock Production,"3,050,000","128,454,980","800,000",-,26.2,-,122,0,,
,CSP5.3: Veterinary Services,"3,350,000","30,000,000","250,000",-,7.5,-,122,0,,
,"CSP 5.4: Livestock Value Chains
Development",-,"27,000,000",-,-,-,-,122,0,,
,Sub Total,"128,313,744","517,820,333","99,297,341","217,802,842",77.4,42.1,122,0,,
"Department Gender, Social Service and Sport",,,,,,,,122,0,,
"CP 1: Administration
Operations and Maintenance",CSP 1.1: Children,"1,500,000","4,000,000",-,-,-,-,122,0,,
,CSP 1.2: Culture and Heritage,"1,500,000","5,000,000",-,-,-,-,122,0,,
,CSP 1.3: Library and Museum,"3,263,600","50,000,000","871,365",-,26.7,-,122,0,,
CP 2: Cinemas,CSP 2.1: Cinemas Headquarters,"1,500,000","3,000,000",-,-,-,-,122,0,,
CP 3: Cultural activities,"CSP 3.1 Administration And Support
Services","35,422,346",-,"26,708,832",-,75.4,-,122,0,,
"CP 4: Social Protection
Cultural Promotion and
Preservation",CSP 4.1: Social Protection,"3,025,000","8,000,000",-,-,-,-,122,0,,
,Sub-Total,"46,210,946","70,000,000","27,580,197",-,59.7,-,122,0,,
"Department Roads, Transport & Public Works",,,,,,,,122,0,,
"CP1: Administration &
Support Services",CSP 1.1: Administration & Services,"31,406,400",-,"21,882,800",-,69.7,-,122,0,,
