Programme,Sub- Programme,Approved Estimates,col_3,"Actual Payments of FY 2023-24
(Kshs)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Estimates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",218,1
County Assembly,,,,,,,,218,1
"Legislation and
Oversight","Legislation and
Oversight","673,319,674","85,229,460","673,223,673.9","0 5,520,678.00",100.0,6.5,218,1
Sub Total,,"673,319,674","85,229,460","673,223,67","4 5,520,678",100.0,6.5,218,1
County Executive,,,,,,,,218,1
,,"Recurrent
Estimates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",219,0
"Office of the
Governor and Deputy
Governor","070601 County
Executive Services","334,594,668",-,"334,419,458",-,99.9,-,219,0
"County Executive
Administration","070701County
Executive Services",-,-,-,-,-,-,219,0
"Management of
County Affairs","070801 Coordination
of County Functions","117,691,297",-,"104,326,129",-,88.6,-,219,0
"County Executive
Committee Affairs","070901 Organization
of County Business","6,200,000",-,"5,592,395",-,90.2,-,219,0
"County Public Service
Board","071001 Human
Resource
Management","12,906,040",-,"11,113,219",-,86.1,-,219,0
"Administrative
Support Services","020202 ICT
Governance","3,480,000",-,"2,737,047",-,78.7,-,219,0
,"020701 Government
Buildings Services","2,567,000",-,"2,222,070",-,86.6,-,219,0
,"070411 Audit
Committee","1,919,000",-,"284,000",-,14.8,-,219,0
,"070412 County
Enforcement
Activities","4,185,000",-,"3,922,300",-,93.7,-,219,0
,"070413 ICT
Infrastructure
Development
Management","10,958,800",-,"10,634,085",-,97.0,-,219,0
,"070414 ICT Systems
Development
Management","1,522,000",-,"942,000",-,61.9,-,219,0
Sub Total,,"496,023,805",-,"476,192,703",-,96.0,-,219,0
Finance and Economic Planning,,,,,,,,219,0
"Public Finance
Management","070401 Finance
Services","508,173,322","126,000,000","507,443,024","125,905,037",99.9,99.9,219,0
,"070402 Revenue
Services","17,300,000",-,"13,941,397",-,80.6,-,219,0
,"070404 Procurement
and Supply Services","9,770,000",-,"8,636,680",-,88.4,-,219,0
,"070405 Internal Audit
Services","1,718,200",-,"532,180",-,31.0,-,219,0
,"070408 Budget
Formulation,
Coordination and
Management","8,970,920",-,"7,166,340",-,79.9,-,219,0
,"070409 Accounting
Services","7,445,000",-,"7,348,300",-,98.7,-,219,0
"County Planning
and Economic Policy
Management","070501 Economic
Planning Services","19,714,168",-,"18,208,766",-,92.4,-,219,0
Sub Total,,"573,091,610","126,000,000","563,276,687","125,905,037",98.3,99.9,219,0
Medical Services and Public Health,,,,,,,,219,0
"Curative and
Rehabilitative
Services","040301 Curative
and Rehabilitative
Services","2,116,489,802","605,258,331","2,110,738,866","278,857,454",99.7,46.1,219,0
Sub Total,,"2,116,489,802","605,258,331","2,110,738,866","278,857,454",99.7,46.1,219,0
Education,,,,,,,,219,0
Basic Education,"050101 General
Administration","340,514,905",-,"339,019,604",-,99.6,-,219,0
,"050102 Free Pre-
Primary Education","15,440,000",-,"11,415,120",-,73.9,,219,0
,,"Recurrent
Estimates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",220,0
"State Education
Function Support","050203 Tertiary
Education",-,"31,000,000",-,"28,957,800.00",-,93.4,220,0
,"050501 Pre-Primary
and Child Care
Services",-,"19,900,000",-,-,-,-,220,0
"Technical and
Vocational Training","050301 Village Poly-
technic","678,500",-,"382,000",-,56.3,-,220,0
Sub Total,,"356,633,405","50,900,000","350,816,724","28,957,800",98.4,56.9,220,0
"Agriculture, Livestock and Fisheries",,,,,,,,220,0
"Livestock Resource
Management and
Development","010102 Livestock
Extension and
Capacity Building
Services","305,000",-,"49,490",-,16.2,-,220,0
,"010105 Livestock
Production
Management",-,-,-,-,-,-,220,0
,"010106 Livestock
Disease Management
& Control","1,200,000",-,"968,095",-,80.7,-,220,0
"Crop Development
and Management","010202 Agricultural
Extension Services","1,000,000",-,"452,600",-,45.3,-,220,0
,"010203 Agribusiness
and Market
Development","100,000",-,"65,000",-,65.0,-,220,0
,"010206 Land and
Crop Development","5,149,000",,"4,278,662",-,83.1,-,220,0
,"010207 Food Security
Initiatives","400,000",-,"300,000",-,75.0,-,220,0
"Kamweti Agricultural
Training Centre","Extension and
Training",-,-,-,-,,-,220,0
"Fisheries
Development","010402 Aquaculture
Development","200,000",-,-,-,,-,220,0
"Policy Strategy and
Management of
Agriculture","010801 Development
of Agricultural Policy","543,000",-,"232,700",-,42.9,-,220,0
,"011001 General
Administration and
Planning","209,081,626","524,997,954","208,370,102","241,893,507",99.7,46.1,220,0
Sub Total,,"217,978,626","524,997,954","214,716,649","241,893,507",98.5,46.1,220,0
Gender and Youth,,,,,,,,220,0
Culture,"090702 Social Welfare
Services","10,687,000",-,"10,330,950",-,96.7,-,220,0
,"091201 Gender
Administration
Services","30,821,210",-,"26,167,375",-,84.9,-,220,0
,"091301 Gender and
Social Development","1,490,000","51,150,000","1,110,915","12,510,250.05",74.6,24.5,220,0
Youth,"090901 Youth
Development and
Empowerment
Services","670,000",-,"221,000",-,33.0,-,220,0
Sub Total,,"43,668,210","51,150,000","37,830,240","12,510,250",86.6,24.5,220,0
Sports Culture and Social Services,,,,,,,,220,0
,,"Recurrent
Estimates","Development
Estimates","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",221,0
Sports,"090701 General
Administration","12,721,217",-,"11,505,595",-,90.4,-,221,0
,"090801 Development
of Sports and Sports
Facilities",-,"21,520,000",-,-,-,-,221,0
,"091401 Management
& Development of
Sports and Sports
Facilities","18,905,000",-,"18,520,900",-,98.0,-,221,0
,"091601Control &
Campaign Against
Drug & Substance
Abuse","1,549,000",-,"1,549,000",-,100.0,-,221,0
,"091701 Preservation
& Promotion of
Heritage and Culture","248,800",-,"68,800",-,27.7,-,221,0
Children Services,"091101 Child
Community Support
Services","4,784,000",-,"4,320,794",-,90.3,-,221,0
Sub Total,,"38,208,017","21,520,000","35,965,089",-,94.1,-,221,0
Cooperative Development Trade and Tourism,,,,,,,,221,0
"Trade Development
and Investment","030401 General
Administration and
Planning",-,"285,700,000",-,"272,241,802.88",-,95.3,221,0
,"030103 Capacity
Building for Traders
and SME's","977,000",-,"472,530",-,48.4,-,221,0
,"030104 promotion,
Development &
Growth of Trade","354,000",-,"84,000",-,23.7,-,221,0
,"030105 Fair Trade
Practices and
Consumer Protection","205,000",-,"55,000",-,26.8,-,221,0
"Tourism
Development and
Marketing","030302 Tourism
Promotion and
Marketing","195,500",-,"45,000",-,23.0,-,221,0
