Programme Description,"Approved Budget Estimates FY
2023-24",col_2,"The sum of Cumulative Expen-
diture",col_4,Absorption rate (%),col_6,page_number,table_index
,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",553,1
3611 Office of Governor and Deputy Governor,-,"151,454,823",-,"109,750,762",-,72,553,1
P: County Government Advisory Services,-,"25,700,000",-,"16,602,544",-,65,553,1
"0702013610 SP: Public Sector Advisory Services (Legal &
Economic Advisors)",-,"15,900,000",-,"10,999,584",-,69,553,1
0702033610 SP: Communication and Strategy,-,"9,800,000",-,"5,602,960",-,57,553,1
P: County Leadership and Coordination of MDAs,-,"6,633,000",-,"2,730,920",-,41,553,1
"0701033610 SP: Coordination of CMAs
(Office of County Secretary)",-,"6,633,000",-,"2,730,920",-,41,553,1
"P: General Administration, Planning and Support
Services",-,"119,121,823",-,"90,417,298",-,76,553,1
"0706043610 SP: Management of County Affairs
(Office of Governor)",-,"84,071,823",-,"64,169,909",-,76,553,1
"0706053610 SP: Coordination and Supervisory
Services (Deputy Governor's Office)",-,"35,050,000",-,"26,247,389",-,75,553,1
"3612 Roads, Infrastructure and Public Works","671,875,931","282,600,372","520,301,726","240,353,653",77,85,553,1
"P: General Administration Planning and Support
Services","19,845,700","66,722,060","5,040,843","63,970,561",25,96,553,1
0101023610 SP: General Administration Services,"19,845,700",-,"5,040,843",,25,0,553,1
0201013610 SP: General Administration Services,-,"66,722,060",-,"63,970,561",-,96,553,1
P: Kathwana Municipality Development Programme,"10,000,000","5,910,210",-,"1,794,937",-,30,553,1
0109013610 SP: Kathwana Urban Area Support,"10,000,000","5,910,210",-,"1,794,937",-,30,553,1
P: Public Works and Housing Services,-,"8,918,502",-,"7,002,472",-,79,553,1
0108013610 SP: Public Works Services,-,"8,918,502",-,"7,002,472",-,79,553,1
P: Roads Transport,"467,700,000","154,699,600","370,789,802","135,467,918",79,88,553,1
"0202013610 SP: Rural Roads Improvement and Mainte-
nance Services","467,700,000","154,699,600","370,789,802","135,467,918",79,88,553,1
,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",554,0
P: Urban Development and Administration,"174,330,231","46,350,000","144,471,081","32,117,765",83,69,554,0
0710013610 SP: Urban Administrative Services,"174,330,231","46,350,000","144,471,081","32,117,765",83,69,554,0
3613 Medical Services,"40,000,000","1,736,028,103","19,154,795","1,639,774,331",48,94,554,0
P: Curative and Rehabilitative Services,"32,500,000","202,229,134","17,159,300","201,989,167",53,100,554,0
0401013610 SP: Primary Healthcare,"32,500,000",-,"17,159,300",-,53,-,554,0
0401073610 SP: Medical Supplies,-,"165,829,134",-,"165,789,712",-,100,554,0
0401083610 SP: Laboratory Services,-,"36,400,000",-,"36,199,455",-,99,554,0
"P: General Administration Planning and Support
Services","7,500,000","1,485,598,469","1,995,495","1,394,397,941",27,94,554,0
0404013610 SP: General Administration Services,"7,500,000","81,500,000","1,995,495","68,503,699",27,84,554,0
0404033610 SP: Human resource management,-,"1,207,135,469",-,"1,206,535,704",-,100,554,0
"0404043610 SP: Policy,Planning, Financing and Budget-
ing",-,"196,963,000",-,"119,358,538",-,61,554,0
P: ICT Infrastructure Development,-,"48,200,500",-,"43,387,223",-,90,554,0
0205013610 SP: ICT Infrastructure Development,-,"48,200,500",-,"43,387,223",-,90,554,0
3615 Agriculture and Crop Production,"689,439,531","168,049,531","446,446,049","159,366,139",65,95,554,0
P: Cooperative Development and Management,-,"583,850",-,"273,600",-,47,554,0
0304013610 SP: Cooperative Development,-,"583,850",-,"273,600",-,47,554,0
P: Crop Development and Management,"577,590,831","4,159,142","430,159,793","1,649,200",74,40,554,0
"0105013610 SP: Crops Development, Agribusiness and
Market Development","577,590,831","4,159,142","430,159,793","1,649,200",74,40,554,0
"P: General Administration Planning and Support
Services","6,000,000","99,815,525","5,279,670","96,857,373",88,97,554,0
"0101013610 SP: Administration, Policy, Strategy and
Management of Agriculture","6,000,000","99,815,525","5,279,670","96,857,373",88,97,554,0
"P: Livestock and Fisheries Resource Management and
Development","105,848,700","63,491,014","11,006,586","60,585,966",10,95,554,0
"0106013610 SP: Livestock Policy Development and
Capacity Building","92,989,340","55,941,014","1,181,386","55,661,566",1,100,554,0
"0106023610 SP: Veterinary Services and Disease Pre-
vention","12,859,360","7,550,000","9,825,200","4,924,400",76,65,554,0
3616 Public Administration and Devolution Affairs,-,"123,702,884",-,"113,873,192",-,92,554,0
"P: General Administration, Planning and Support
Services",-,"123,702,884",-,"113,873,192",-,92,554,0
"0706013610 SP: General Administration and
Support Services",-,"119,024,634",-,"111,512,092",-,94,554,0
"0706023610 SP: Sub-County Administration and Field
Services",-,"664,650",-,"199,800",-,30,554,0
0706103610 SP: Human Resource Management Services,-,"4,013,600",-,"2,161,300",-,54,554,0
"3617 Education, Gender, Culture and Social Services","44,705,951","268,187,124","37,534,752","246,674,001",84,92,554,0
P: Education and Youth Training,"44,705,951","62,242,324","37,534,752","41,009,352",84,66,554,0
0504013610 SP: Promotion of Basic Education (ECDE),"37,000,000","48,106,809","30,068,801","28,351,772",81,59,554,0
0504023610 SP: Youth Training and Capacity Building,"7,705,951","14,135,515","7,465,951","12,657,580",97,90,554,0
"P: General Administration Planning and Support
Services",-,"205,944,800",-,"205,664,649",-,100,554,0
"0501013610 SP: Administration Planning and
Support Services",-,"205,944,800",-,"205,664,649",-,100,554,0
3619 Finance and Economic Planning,-,"281,912,880",-,"218,753,186",-,78,554,0
P: Economic Policy and County Planning,-,"7,741,200",-,"5,227,110",-,68,554,0
0703023610 SP: Monitoring and Evaluation Services,-,"2,202,200",-,"2,719,200",-,123,554,0
"0703043610 SP: Economic Development, Planning
and Coordination Services",-,"2,289,000",-,"1,003,700",-,44,554,0
0703053610 SP: County Statistics Services,-,"3,250,000",-,"1,504,210",-,46,554,0
P: Financial Management Services,-,"10,404,400",-,"7,642,480",-,73,554,0
,Recurrent,Development,Recurrent,Development,Recurrent,"Develop-
ment",555,0
0704033610 SP: Supply Chain Management Services,-,"2,410,000",-,"1,325,580",-,55,555,0
0704053610 SP: Audit Services,-,"3,009,000",-,"2,190,730",-,73,555,0
0704063610 SP: Budget Formulation and Coordination,-,"1,972,000",-,"1,357,450",-,69,555,0
0704083610 SP: Accounting Services,-,"3,013,400",-,"2,768,720",-,92,555,0
"P: General Administration, Planning and Support
Services",-,"263,767,280",-,"205,883,596",-,78,555,0
0706103610 SP: Human Resource Management Services,-,"263,767,280",-,"205,883,596",-,78,555,0
"3620 Environment, Mining and Natural Resources","216,000,000","36,748,300","79,800,000","26,966,926",37,73,555,0
P: Environment and Natural Resources Management,"216,000,000","36,748,300","79,800,000","26,966,926",37,73,555,0
1001013610 SP: Environment and Natural Resource,"216,000,000","36,748,300","79,800,000","26,966,926",37,73,555,0
3622 Water Services and Irrigation,"86,000,000","46,891,250","38,849,891","36,335,795",45,77,555,0
