Program,Sub Program,Budget Estimates,col_3,Actual Expenditure,col_5,Absorption (%),col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,617,0
County Executive,,"597,805,662.00",-,"496,019,588.40",-,83,-,617,0
,"Coordination and Supervisory
Services","597,805,662.00",-,"496,019,588.40",-,83,-,617,0
,Grand Total,"597,805,662.00",-,"496,019,588.40",-,83,-,617,0
"Finance and
Economic Planning",,"356,240,623.00",-,"324,965,522.60",-,91,-,617,0
,County Accounting Services,-,-,"250,755,211.00",-,99,-,617,0
,Treasury Services,-,-,-,-,-,-,617,0
,Revenue Collection Services,"36,031,600.00",-,"13,249,622.40",-,37,-,617,0
,County Budget Management Services,"13,076,600.00",-,"12,428,672.00",-,95,-,617,0
,Internal Audit Services,"6,950,000.00",-,"5,582,200.00",-,80,-,617,0
,Supply Chain Management Services,"46,632,800.00",-,"42,949,817.20",-,92,-,617,0
,,"25,886,978.00",-,"21,734,934.00",-,84,-,617,0
,Integrated Development Planning,"15,933,688.00",-,"13,387,722.00",-,84,-,617,0
,"County Statistical Information
Services","7,163,290.00",-,"5,843,260.00",-,82,-,617,0
,Monitoring & Evaluation Services,"2,790,000.00",-,"2,503,952.00",-,90,-,617,0
,,"304,926,575.00",-,"265,448,056.90",-,87,-,617,0
,"General administration and support
services","304,926,575.00",-,"265,448,056.90",-,87,-,617,0
,Grand Total,"687,054,176.00",-,"612,148,513.50",-,89,-,617,0
Roads and Transport,,"3,670,000.00",-,"2,936,770.00",-,80,-,617,0
,"Housing Development Capacity
building","3,670,000.00",-,"2,936,770.00",-,80,-,617,0
,,"15,441,996.00","376,110,872.00","13,032,990.00","318,488,538.00",84,85,617,0
,"Maintenance & Rehabilitation of
County Roads and Bridges","15,441,996.00","376,110,872.00","13,032,990.00","318,488,538.00",84,85,617,0
,,"112,910,000.00","233,748,517.00","69,673,097.35","190,240,115.75",62,81,617,0
,County Transport Services,"110,880,000.00",-,"67,912,697.35",-,61,-,617,0
,Public Works Infrastructure Services,"2,030,000.00","233,748,517.00","1,760,400.00","190,240,115.75",87,81,617,0
,,"125,966,380.00",-,"116,778,069.15",-,93,-,617,0
,"General administration and support
services","125,966,380.00",-,"116,778,069.15",-,93,-,617,0
,Grand Total,"257,988,376.00","609,859,389.00","202,420,926.50","508,728,653.75",78,83,617,0
Water Services,,"146,747,537.00","423,996,000.00","123,962,352.70","225,095,822.00",84,53,617,0
,"Water Supplies Overhaul and
Maintenance Services","137,891,737.00","124,646,000.00","118,801,952.70","64,616,320.00",86,52,617,0
,Infrastructure Development Services,"8,855,800.00","299,350,000.00","5,160,400.00","160,479,502.00",58,54,617,0
,Grand Total,"146,747,537.00","423,996,000.00","123,962,352.70","225,095,822.00",84,53,617,0
"Energy, Environment
and Climate Change",,"4,537,600.00","23,308,800.00","4,100,140.80",-,90,-,617,0
,"Development of Alternative Sources
of Energy","4,537,600.00","23,308,800.00","4,100,140.80",-,90,-,617,0
,,"17,596,582.00","205,000,000.00","6,810,354.00","70,087,700.00",39,34,617,0
,Environment Conservation Services,"15,913,382.00","205,000,000.00","5,567,054.00","70,087,700.00",35,34,617,0
,"Natural Resource Management
Services","1,683,200.00",-,"1,243,300.00",-,74,-,617,0
,,"72,139,420.00",-,"46,187,647.65",-,64,-,617,0
,Compensation to Employees,"72,139,420.00",-,"46,187,647.65",-,64,-,617,0
,Grand Total,"94,273,602.00","228,308,800.00","57,098,142.45","70,087,700.00",61,31,617,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,618,0
Health Services,,"840,441,765.00","381,661,625.00","731,405,182.35","371,603,665.10",87,97,618,0
,Curative & Rehabilitative Services,"840,441,765.00","381,661,625.00","731,405,182.35","363,191,031.20",87,95,618,0
,,"47,338,920.00",-,"43,587,814.00",-,92,-,618,0
,Sanitation services,"28,625,000.00",-,"25,937,320.00",-,91,-,618,0
,Health promotion,"4,000,000.00",-,"3,998,974.00",-,100,-,618,0
,Outreach services,"7,895,320.00",-,"7,849,720.00",-,99,-,618,0
,"Child Health and Immunization
services","6,818,600.00",-,"5,801,800.00",-,85,-,618,0
,,"1,824,975,217.00","34,000,000.00","1,801,382,979.60","30,980,399.00",99,91,618,0
,"General Administration and Support
Services","1,824,975,217.00","34,000,000.00","1,801,382,979.60","30,980,399.00",99,91,618,0
,,"2,029,600.00",-,"1,891,600.00",-,93,-,618,0
,Maternal Health Services,"2,029,600.00",-,-,-,93,-,618,0
,,"53,979,650.00","79,720,143.00","53,445,356.00","50,140,929.20",99,63,618,0
,SP1 RMNCH,"53,979,650.00","79,720,143.00","53,445,356.00","50,140,929.20",99,63,618,0
,,"7,000,000.00",-,"6,349,616.00",-,91,-,618,0
,TB & HIV - AIDS,"7,000,000.00",-,"6,349,616.00",-,91,-,618,0
,,"2,600,000.00",-,"2,550,000.00",-,98,-,618,0
,SP1 TB HIV-AIDS,"2,600,000.00",-,"2,550,000.00",-,98,-,618,0
,Grand Total,"2,778,365,152.00","495,381,768.00","2,640,612,547.95","452,724,993.30",95,91,618,0
"Education Social
Welfare and Family
Welfare",,"11,675,000.00","9,200,000.00","10,381,599.00","9,047,500.00",89,98,618,0
,Sports Promotion and Development,"11,675,000.00","9,200,000.00","10,381,599.00","9,047,500.00",89,98,618,0
,,"186,020,200.00","110,650,000.00","172,426,078.00","58,984,098.15",93,53,618,0
,ECD Support Services,"186,020,200.00","110,650,000.00","172,426,078.00","58,984,098.15",93,53,618,0
,,"135,893,956.00","15,750,000.00","131,693,240.90","4,000,000.00",97,25,618,0
,Gender Promotion Services,"77,180,656.00","15,750,000.00","75,803,790.90","4,000,000.00",98,25,618,0
,Cultural promotion and preservation,"58,713,300.00",-,"55,889,450.00",-,95,-,618,0
,,"13,428,000.00","3,884,900.00","10,321,928.95","3,884,900.00",77,100,618,0
,Infrastructural development,"13,428,000.00","3,884,900.00","10,321,928.95","3,884,900.00",77,100,618,0
,,"505,991,592.00",-,"504,423,204.55",-,100,-,618,0
,Human Resources Management,"505,991,592.00",-,"504,423,204.55",-,100,-,618,0
,Grand Total,"853,008,748.00","139,484,900.00","829,246,051.40","75,916,498.15",97,54,618,0
"Agriculture, livestock
and veterinary",,"184,449,841.00",-,"177,493,727.75",-,96,-,618,0
,"General administration and support
services","184,449,841.00",-,"177,493,727.75",-,96,-,618,0
,,"15,290,200.00","13,000,000.00","11,452,939.00","2,997,420.00",75,23,618,0
,Livestock Production & Management,"15,290,200.00","13,000,000.00","11,452,939.00","2,997,420.00",75,23,618,0
,,"12,471,320.00","46,720,800.00","9,838,405.00","44,837,315.20",79,96,618,0
,Veterinary support services,"12,471,320.00","46,720,800.00","9,838,405.00","44,837,315.20",79,96,618,0
,,"20,653,900.00","546,672,737.00","15,855,902.60","486,034,497.00",77,89,618,0
,Land and Crop Productivity Services,"20,653,900.00","546,672,737.00","15,855,902.60","486,034,497.00",77,89,618,0
,,"2,924,040.00",-,"1,521,440.00",-,52,-,618,0
,"Fisheries Management and
Development","2,924,040.00",-,"1,521,440.00",-,52,-,618,0
,,"4,552,800.00","20,350,000.00","1,748,820.00","7,033,900.00",38,35,618,0
,,"4,552,800.00","20,350,000.00","1,748,820.00","7,033,900.00",38,35,618,0
,Grand Total,"240,342,101.00","626,743,537.00","217,911,234.35","540,903,132.20",91,86,618,0
,,Recurrent,Development,Recurrent,Development,Recurrent,Development,619,0
"ICT, Trade and
Investment",,"5,372,860.00","6,000,000.00","5,256,940.00","1,993,000.00",98,33,619,0
,"ICT Infrastructure Improvement &
Enhancement Services","5,372,860.00","6,000,000.00","5,256,940.00","1,993,000.00",98,33,619,0
,,"137,954,887.00",-,"108,578,266.00",-,79,-,619,0
,"General administration, Planning
and Support Services","137,954,887.00",-,"108,578,266.00",-,79,-,619,0
,,"12,160,000.00","5,000,000.00","-3,929,320.00","4,926,914.40",-32,99,619,0
,"Business Support & Investment
Services","12,160,000.00","5,000,000.00","-3,929,320.00","4,926,914.40",-32,99,619,0
,,"3,000,000.00","250,000,000.00","1,764,000.00","151,327,524.00",59,61,619,0
,Infrastructure Improvement,"3,000,000.00","250,000,000.00","1,764,000.00","151,327,524.00",59,61,619,0
,,"4,000,000.00",-,"2,591,988.00",-,65,-,619,0
,Capacity Building Services,"4,000,000.00",-,"2,591,988.00",-,65,-,619,0
,Grand Total,"162,487,747.00","261,000,000.00","114,261,874.00","158,247,438.40",70,61,619,0
"lands and Spatial
Planning",,"56,458,725.00","244,500,000.00","32,685,208.05","137,275,410.00",58,56,619,0
,Urban Physical Planning Services,"56,458,725.00","244,500,000.00","32,685,208.05","137,275,410.00",58,56,619,0
,,"7,965,000.00",-,"7,329,226.00",-,92,-,619,0
,Urban Development Services,"7,965,000.00",-,"7,329,226.00",-,92,-,619,0
,Grand Total,"64,423,725.00","244,500,000.00","40,014,434.05","137,275,410.00",62,56,619,0
"Public Service
Special Programme
and County
Administration",,"5,140,000.00",-,"4,651,640.00",-,90,-,619,0
,"General administration and support
services","5,140,000.00",-,"4,651,640.00",-,90,-,619,0
,,"3,860,000.00",-,"2,624,500.00",-,68,-,619,0
,Civic Education Services,"3,860,000.00",-,"2,624,500.00",-,68,-,619,0
,,"7,084,000.00",-,"5,624,481.00",-,79,-,619,0
