Programme,Sub-Programme,"Approved Estimates FY
2023/24",col_3,"Actual Expenditure as of 30th
June 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
Finance & Socio-Economic Planning,,,,,,,,329,0
"General Administration
& Support Services","SP1: General admin-
istration & planning","355,316,256","54,787,552","303,709,673","25,169,295",85,46,329,0
"Public financial man-
agement","SP2: Public financial
management","158,162,488",,"135,191,380",,85,,329,0
,Sub Total,"513,478,744","54,787,552","438,901,053","25,169,295",85,46,329,0
"Devolution, Public participation, County Administration and Special Programmes",,,,,,,,329,0
"General Administration
& Planning","SP1: General Admin-
istration & Planning","264,036,926","22,834,646","236,352,959","21,584,886",90,95,329,0
"Participatory Develop-
ment.& civic education","SP2: Participatory
Development.& civic
education","16,727,425",-,"14,973,654",-,90,-,329,0
"Research, Documen-
tation and Knowledge
Management","SP3: Research,
Documentation and
Knowledge Manage-
ment","3,560,000",-,"3,186,755",-,90,-,329,0
"Coordination of Service
Delivery and Enforce-
ment","SP4: Coordination of
Service Delivery and
Enforcement","26,401,460",-,"23,633,423",-,90,-,329,0
"Disaster Risk Prepared-
ness and Mitigation","SP5: Disaster Risk
Preparedness and
Mitigation","8,711,240",-,"7,797,918",-,90,-,329,0
"Alcoholic Drinks Con-
trol and Licensing","SP6: Alcoholic
Drinks Control and
Licensing","5,756,480",-,"5,152,947",-,90,-,329,0
,Sub Total,"325,193,532","22,834,646","291,097,656","21,584,886",90,95,329,0
Water and Sanitation,,,,,,,,329,0
"General administration
& planning","SP1: General Admin-
istration & Planning","87,804,325","56,390,781","70,101,290","44,520,890",80,79,329,0
"Water infrastructure
Development","SP 2.1: Water har-
vesting and storage","10,004,280","195,284,593","7,987,225","71,369,346",80,37,329,0
,"SP2: Piped water
supply infrastructure","3,850,000","222,899,071","3,073,766","216,853,112",80,97,329,0
,"SP.3: Groundwater
development","9,830,000","152,426,248","7,848,084","117,227,794",80,77,329,0
,Sub Total,"111,488,605","627,000,693","89,010,366","449,971,142",80,72,329,0
"Agriculture, Irrigation, Livestock, Fisheries And Cooperative",,,,,,,,329,0
"General administration
& planning","SP1: General Admin-
istration & Planning","67,678,207","283,241,973","58,284,396","263,499,087",86,93,329,0
"Land, Crop development
& productivity","SP 2: Land, Crop
development &
productivity","77,116,777","254,312,052","66,686,872","58,519,157",86%,23,329,0
"Agribusiness and infor-
mation management","SP3; Agribusiness
and information
management","13,800,000","86,132,517","11,933,575","26,570,463",86,31,329,0
