Programme,Sub-Programme,"Approved Supplementary 2 Estimates
FY 2023/24 (Kshs.)",col_3,col_4,"Actual Expenditure Jul 23 -
Jun 24 (Kshs.)",col_6,Absorption Rate (%),col_8,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure",Gross,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure",183,1
"County Coordination
Services","County Coordination
Services","134,096,145",-,"134,096,145","127,269,405",-,95,-,183,1
,,"134,096,145",-,"134,096,145","127,269,405",-,95,-,183,1
DEPARTMENT: FINANCE AND ECONOMIC PLANNING,,,,,,,,,183,1
"Administration,
Planning and Support
Services.","Administration
Services.","250,886,530","85,235,659","336,122,189","247,676,042","51,453,230",99,60,183,1
"Administration,
Planning and Support
Services.","Monitoring Budget
Implementation and
Reporting","27,687,985","8,379,644","36,067,629","26,469,128","8,311,300",96,99,183,1
"Public Finance Man-
agement","Budget formulation
coordination and
management","8,900,000","110,039,333","118,939,333","8,872,980","73,390,912",100,67,183,1
Audit Services,County Audit,"4,975,639","3,000,000","7,975,639","4,759,450","3,019,700",96,,183,1
,,"292,450,154","206,654,636","499,104,790","287,777,600","136,175,142",98,66,183,1
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,,183,1
"Policy, Strategy and
Management of
Agriculture","Development of
Agricultural Policy,
Legal & Regulatory
framework.","53,864,336",-,"53,864,336","51,954,662",-,96,-,183,1
"Crop Development
and Management","Agriculture Extension
Services","40,801,620","412,209,418","453,011,038","39,287,679","280,246,932",96,68,183,1
,,"Recurrent
Expenditure","Development
Expenditure",Gross,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure",184,0
"Livestock Resource
Management and
Development","Livestock Disease
Management and
Control.","2,024,041","27,459,205","29,483,246","1,293,742","18,005,056",64,66,184,0
"Livestock Resource
Management and
Development","Livestock Production
and Extension
Services","51,654,981","71,618,400","123,273,381","51,117,722",-,99,-,184,0
"Fisheries develop-
ment","Management and De-
velopment of Capture
Fisheries","6,905,001","500,000","7,405,001","5,277,608","499,995",76,100,184,0
,,"155,249,979","511,787,023","667,037,002","148,931,413","298,751,983",96,58,184,0
"DEPARTMENT: WATER, ENERGY, NATURAL RESOURCES AND ENVIRONMENT",,,,,,,,,184,0
"Environment policy
development and
coordination","Planning Coordina-
tion Policy and Ad-
ministrative Services","163,396,051","315,159,105","478,555,156","147,521,420","46,518,724",90,15,184,0
Water supply services,Rural Water Supply,"10,865,228","257,410,945","268,276,173","10,360,172","155,539,872",95,60,184,0
,,"174,261,279","572,570,050","746,831,329","157,881,593","202,058,596",91,35,184,0
"DEPARTMENT: EDUCATION, YOUTH AFFAIRS, CULTURE AND SOCIAL SERVICES",,,,,,,,,184,0
"General Adminis-
tration & Planning
Services.","Policy Development
and Administration","511,596,382","19,297,833","530,894,215","491,153,439","5,345,550",96,28,184,0
Basic Education,"Early Childhood De-
velopment Education","215,882,852","83,637,532","299,520,384","206,726,982","73,808,326",96,88,184,0
"Gender and Social
Development","Social Welfare
Services/Social
Infrastructure Devel-
opment","3,000,000","18,535,537","21,535,537","2,858,232","18,535,299",95,100,184,0
"Youth development
and empowerment
services","Youth Development
(YP) Training",-,"58,625,847","58,625,847",-,"43,785,887",-,75,184,0
,,"730,479,234","180,096,749","910,575,983","700,738,653","141,475,061",96,79,184,0
DEPARTMENT: HEALTH SERVICES,,,,,,,,,184,0
Curative Health,"Administration and
Planning","1,432,724,329","145,895,349","1,578,619,678","1,217,150,133","72,470,505",85,50,184,0
Curative Health,"Hospital(curative)
Services",-,-,-,-,-,-,-,184,0
"Preventive and
Promotive Health","Preventive Medicine
and Promotive Health","1,167,486,046","149,871,275","1,317,357,321","1,056,648,958","77,232,360",91,52,184,0
,,"2,600,210,375","295,766,624","2,895,976,999","2,273,799,091","149,702,865",87,51,184,0
,,,,,,,,,184,0
"DEPARTMENT: LANDS, HOUSING AND PHYSICAL PLANNING",,,,,,,,,184,0
"Administration and
support services","General Administra-
tion and Planning","46,151,923","39,738,681","85,890,604","44,300,597","30,857,597",96,78,184,0
"Housing Develop-
ment and Human
Resource",Housing Development,"9,243,184",-,"9,243,184","9,006,639",-,97,-,184,0
"Land policy and
planning","Development
Planning and Land
Reforms","34,395,730","20,022,942","54,418,672","33,479,944","14,156,332",97,71,184,0
"Land policy and
planning",Land Use Planning,"6,152,443",-,"6,152,443","4,901,011",-,80,--,184,0
,,"95,943,280","59,761,623","155,704,903","91,688,191","45,013,929",96,75,184,0
,,,,,,,,162,184,0
,,"Recurrent
Expenditure","Development
Expenditure",Gross,"Recurrent
Expenditure","Development
Expenditure","Recurrent Expen-
diture","Development
Expenditure",185,0
