Programme,Sub-Programme,Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
"Jaramogi Oginga
Odinga Teaching and
Referral Hospital","Jaramogi Oginga
Odinga Teaching and
Referral Hospital","90,000,000",-,"60,000,000",-,66.7,-,244,0
"Kisumu County
Referral Hospital","Kisumu County
Referral Hospital","42,000,000",-,"42,000,000",-,100,-,244,0
"Medical and Bio-
Medical Services","County and Sub-
County Hospital
Services","42,000,000",-,"41,922,110",-,99.8,-,244,0
,Sub - Total,"3,475,325,821","229,874,534","3,062,199,327.65","67,774,808.90",88.1,29.5,244,0
"Trade, Tourism, Industry and Marketing",,,,,,,,244,0
"Promotion of Market
Access and Products
Development","Promotion of Value
Addition",-,"5,000,000.00",-,"1,988,000",-,39.8,244,0
Energy Production,Energy Production,-,"66,800,000.00",-,"9,956,705",-,14.9,244,0
"General Administration
and Policy-Making
Services","Trade Support
Services",-,"57,647,203",-,"10,098,002",-,17.5,244,0
"Regulation and
Verification of Weights","Verification and
Calibration of
Weighing Equipment",-,"11,500,000",-,-,-,-,244,0
"Enterprise
Development","Business
Development Services",-,"115,000,000",-,-,-,-,244,0
"Promotion of Market
Access and Products
Development","Promotion of Value
Addition","50,000.00",-,-,-,-,-,244,0
Energy Production,Climate Change,"9,156,532.00",-,"4,279,190",-,46.9,-,244,0
Mining Efficiency,Mining Efficiency,"373,400.00",-,"185,800",-,49.8,-,244,0
,"Resource Mobili-
zation","27,420,000",-,"23,484,564",,85.6,-,244,0
,,(Kshs.),,(Kshs.),,,,245,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",245,0
"General Administration
and Services","Infrastructure
Development","20,887,614.00",-,"6,737,750",-,32.3,-,245,0
,"Trade Support
Services","3,100,000.00",-,"605,210",-,19.5,-,245,0
"Regulation and
Verification of Weights","Verification and
Calibration of
Weighing Equipment","7,720,000.00",-,"1,204,400.10",-,15.6,-,245,0
"Tourism Development
and Management",Tourism Development,"3,900,002",-,"1,093,070.00",-,0.4,-,245,0
,"Tourism Event
Management","19,822,994",-,"4,253,575.00",-,1.4,-,245,0
"Administration,
Planning and Support
Services","Administration
Planning","155,890,509.00",-,"100,176,627.55",-,64.3,-,245,0
"Cooperative
Development and
Management","Cooperative
Governance","5,400,000.00",-,"1,728,800.00",-,32,-,245,0
"Enterprise
Development","Business
Development Services","920,600,000",-,"274,700.00",-,29.8,,245,0
"Cooperative
Development and
Management","Cooperative
Governance","33,411,122.00",-,"32,776,070.70",-,98.1,-,245,0
Alcoholic Drinks,Alcoholic Drinks,"100,000.00",-,-,-,-,-,245,0
,Sub - Total,"1,207,832,173.00","255,947,203.00","176,799,757.35","22,042,707.00",20.4,8.6,245,0
"Sports, Culture, Gender and Youth Affairs",,,,,,,,245,0
"Youth Training and
Development","Youth Training
Facilities","655,848.00",-,"386,433.00",-,58.9,-,245,0
"Sports Management
and Development",Sports Management,-,"5,000,000.00",-,-,-,-,245,0
"Gender and Social
Development","Gender and Disability
Mainstreaming","563,250.00",-,-,-,-,-,245,0
,"Social Development
Facilities","804,000.00",-,"501,000.00",-,62.3,-,245,0
,"Betting Control
Services","200,000.00",-,-,-,-,-,245,0
"Sports Management
and Development",Sports Management,"2,332,235.00",-,"1,463,800.00",-,62.8,-,245,0
,Talent Development,"21,780,010.00",,"13,012,447.50",,59.7,,245,0
"Sports Stadia
Development",Sports Academy,"9,916,500.00",-,"2,013,383.00",-,20.3,-,245,0
"Routine Nutritional
Survey","Routine Nutritional
Survey","2,000,000.00",-,"256,200.00",-,12.8,-,245,0
"Culture and Heritage
Development","Culture and Heritage
Development","14,226,375.00",-,"10,060,407.50",-,70.7,-,245,0
"Artistic Talent
Development","Artistic Talent
Development","2,496,900.00",-,"1,185,150.00",-,47.5,-,245,0
,,(Kshs.),,(Kshs.),,,,246,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",246,0
,Sub - Total,"54,975,118.00","5,000,000.00","28,878,821.00",-,52.5,-,246,0
"Infrastructure, Energy and Public Works",,,,,,,,246,0
"County Roads
and Public Works
Management","General
Administration and
Public Works","160,404,479",-,"87,674,335.30",-,54.7,-,246,0
,"Road Construction
and Maintenance
Services","86,000,000",-,"36,000,000",-,41.9,-,246,0
