Program,Sub Program,"Approved
Estimates (Kshs)","Actual Expenditure
(Kshs)","Absorption Rate
(%)",page_number,table_index
,"General Administration Sports and Vocational
Training","7,484,499","6,226,044",83.2,578,0
Early Childhood Education,School Feeding,"105,000,000","104,929,034",99.9,578,0
,Infrastructure Development,"283,522,678","130,010,325",45.9,578,0
"Social Protection Programs/
Affirmative Action",ECDE Governance,"6,010,805","4,375,000",72.8,579,0
,"Turkana County Persons with Disability
Development","22,300,000","19,856,030",89.0,579,0
,Marginalized and Minority groups support,"4,460,000","4,394,400",98.5,579,0
,Child Rescue Centres,"10,000,000","7,976,610",79.8,579,0
,Child Care and Protection,"26,726,348","26,136,857",97.8,579,0
County Library Services,Library Governance,"1,970,070","1,046,100",53.1,579,0
,Library Infrastructure,"40,000,000",-,-,579,0
Vocational Training,Youth Polytechnic Infrastructure,"20,000,000","20,000,000",100.0,579,0
,Training and Development,"2,002,400","1,864,227",93.1,579,0
,Co-Curricular Activities,"2,600,000","2,263,970",87.1,579,0
,Youth Polytechnics- Conditional,"12,714,291","12,709,894",100.0,579,0
Sports and arts programme,Construction of sports Stadia,"14,450,000","10,759,148",74.5,579,0
,Sports Infrastructure,"17,000,000","14,315,080",84.2,579,0
,Sub - Total,"1,119,934,772","909,122,504",81.2,579,0
"Public Services, Decentralized Administration and Disaster Management",,,,,579,0
"General Administration,
Planning and Support Services","General Administration, Planning and Support
Services-Public Service","5,348,817,366","5,346,803,169",100.0,579,0
,"General Administration, Planning and Support
Services-Administration","25,475,200","25,265,043",99.2,579,0
Human resource management,Payroll administration,"1,600,000","526,870",32.9,579,0
,County registry,"1,200,000","1,200,000",100.0,579,0
,"Human Resource Management
and Development","5,504,000","5,279,000",95.9,579,0
,GHRIS Module,"4,287,840","3,309,300",77.2,579,0
Human resource management,County performance management,"5,732,560","5,490,190",95.8,579,0
Decentralized Services,"Sub County Administration Support
Programme","17,706,300","16,819,802",95.0,579,0
,Ward Administration Support Programme,"69,696,318","69,113,900",99.2,579,0
,Village Administration Support Programme,"52,225,200","50,647,404",97.0,579,0
"Governance and public
participation",Civic education Programme,"7,369,900","5,612,679",76.2,579,0
,Public Participation and access to information,"10,035,050","8,750,924",87.2,579,0
Disaster risk management,"Stakeholders Coordination and Support
Programme","1,850,000","1,560,988",84.4,579,0
,Disaster Risk Management,"1,700,000","2,096,000",123.3,579,0
,Disaster Preparedness Mitigation & Response,"560,342,100","559,303,815",99.8,579,0
Inspectorate services,Enforcement & Coordination Services,"4,486,100","3,003,100",66.9,579,0
,County Inspectorate Training Institute,"12,500,000","11,140,191",89.1,579,0
,Sub - Total,"6,130,527,934","6,115,922,374",99.8,579,0
"Infrastructure, Transport and Public Works",,,,,579,0
"General Administration and
Support Services","General Administration- Infrastructure and
Transport","45,509,318","38,943,748",85.6,579,0
,General Administration- Public works,"27,530,000","25,302,563",91.9,579,0
Develop and maintain roads,Roads Maintenance Levy Fund (RMLF),"105,632,247","101,366,625",96.0,579,0
,"Designing & Construction of Roads and
Bridges","159,212,408","157,282,401",98.8,579,0
Transport Services,Roads Safety initiatives,"2,300,000","1,917,000",83.3,579,0
,Fleet Management,"3,650,000","2,538,143",69.5,579,0
Public Works,Protection and Gabion works,"4,500,000","4,500,000",100.0,579,0
,Government Structures/Buildings,"18,800,000","15,553,095",82.7,579,0
,Material Testing Laboratory,"10,000,000","9,997,140",100.0,579,0
,Sub - Total,"377,133,973","357,400,715",94.8,579,0
"Agriculture, Pastoral Economy and Fisheries",,,,,580,0
"General Administration and
Support Services","General Administration and Support Services-
Agriculture and Land Reclamation","5,000,000","4,122,609",82.5,580,0
,"General Administration Livestock
Development","5,900,000","4,736,891",80.3,580,0
,"General Administration Fisheries &
Aquaculture","6,124,320","3,420,593",55.9,580,0
Agriculture Programme,Agricultural Mechanization,"15,700,000","15,296,800",97.4,580,0
,Agriculture market Access,"24,315,035","20,585,141",84.7,580,0
,Agriculture Extension and Development,-,-,-,580,0
,Crop Production,"3,000,000","3,000,000",100.0,580,0
,Nutrition Sensitive Agriculture,"5,000,000","659,497",13.2,580,0
"Irrigation and Land
Reclamation","Rehabilitation and Expansion of Existing
Irrigation Scheme","58,950,000","41,810,817",70.9,580,0
,Soil & Water Conservation,"21,000,000","13,258,855",63.1,580,0
,Water Saving Irrigation Technologies,"56,900,000","17,943,626",31.5,580,0
,Climate Proofing of Irrigation Infrastructure,"6,500,000","6,500,000",100.0,580,0
,Policy Formulation,"7,650,000","7,648,301",100.0,580,0
,Extension Research and Development,"7,300,000","6,836,375",93.6,580,0
"Agricultural
Sector Development Support
Programme (ASDSP)","Agricultural Sector Development Support
Programme (ASDSP)","30,579,931","16,731,177",54.7,580,0
"National Agricultural Rural
Inclusive Growth Project",NARIGP,"150,000,000","4,261,826",2.8,580,0
"Drought Resilience in
Northern Kenya Programme",DRNKP/KfW,"612,590,978","126,443,958",20.6,580,0
"Emergency Locust Response
Project",Emergency Locust Response Project,"220,986,952","157,890,000",71.4,580,0
Livestock breed improvement,"Development and improvement of livestock
feeds","22,300,000","21,393,700",95.9,580,0
,Livestock Production Extension Services,"1,600,000","1,300,000",81.3,580,0
,"Livestock diversification and breed
improvement","1,800,000","1,777,000",98.7,580,0
,Livestock Risk Mgt,"15,200,000","11,439,439",75.3,580,0
,Livestock Value Chain,"23,800,000","13,552,490",56.9,580,0
,Livestock Productivity Infrastructure,"16,300,000","7,476,088",45.9,580,0
,Rang land Management,"4,100,000","3,130,150",76.3,580,0
,Research & Development,"900,000","736,452",81.8,580,0
"De-Risking & Value
Enhancement",De-Risking & Value Enhancement,"215,141,980","215,141,980",100.0,580,0
Veterinary Services,Livestock Health Management,"56,900,000","39,974,797",70.3,580,0
,"Livestock Disease Control, PDS and
Monitoring","23,450,000","19,868,879",84.7,580,0
,"Veterinary public
health and Extension","8,022,836","1,826,755",22.8,580,0
,Veterinary Quality assurance and regulation,"1,700,000","1,289,400",75.8,580,0
"Fish market infrastructure/
fish value addition",Fisheries Value Chain & Market Systems,"1,348,686","1,021,592",75.7,580,0
,Fisheries Extension Services,"22,349,999","10,524,181",47.1,580,0
,Fisheries resource management,"2,702,225","1,747,972",64.7,580,0
,Fisheries Infrastructure Development,"20,168,843","11,537,110",57.2,580,0
,Aquaculture Production,"24,501,418","16,727,997",68.3,580,0
,Fisheries Quality Assurance & Regulation,"750,000","489,640",65.3,580,0
